#,Заказной код,Размер,"Параметр:Размер:D,",Параметр:Размер:D1,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,,38M-50M,Hy-Lok 38mm,ниппель 50mm,,,
,,1-2,"Hy-Lok 1/16""","ниппель 1/8""",,,
,,1-4,"Hy-Lok 1/16""","ниппель 1/4""",,,
,,2-1,"Hy-Lok 1/8""","ниппель 1/16""",,,
,,2-2,"Hy-Lok 1/8""","ниппель 1/8""",,,
,,2-3,"Hy-Lok 1/8""","ниппель 3/16""",,,
,,2-4,"Hy-Lok 1/8""","ниппель 1/4""",,,
,,2-6,"Hy-Lok 1/8""","ниппель 3/8""",,,
,,2-8,"Hy-Lok 1/8""","ниппель 1/2""",,,
,,3-2,"Hy-Lok 3/16""","ниппель 1/8""",,,
,,3-4,"Hy-Lok 3/16""","ниппель 1/4""",,,
,,4-2,"Hy-Lok 1/4""","ниппель 1/8""",,,
,,4-3,"Hy-Lok 1/4""","ниппель 3/16""",,,
,,4-4,"Hy-Lok 1/4""","ниппель 1/4""",,,
,,4-5,"Hy-Lok 1/4""","ниппель 5/16""",,,
,,4-6,"Hy-Lok 1/4""","ниппель 3/8""",,,
,,4-8,"Hy-Lok 1/4""","ниппель 1/2""",,,
,,4-10,"Hy-Lok 1/4""","ниппель 5/8""",,,
,,4-12,"Hy-Lok 1/4""","ниппель 3/4""",,,
,,5-6,"Hy-Lok 5/16""","ниппель 3/8""",,,
,,5-8,"Hy-Lok 5/16""","ниппель 1/2""",,,
,,6-4,"Hy-Lok 3/8""","ниппель 1/4""",,,
,,6-6,"Hy-Lok 3/8""","ниппель 3/8""",,,
,,6-8,"Hy-Lok 3/8""","ниппель 1/2""",,,
,,6-10,"Hy-Lok 3/8""","ниппель 5/8""",,,
,,6-12,"Hy-Lok 3/8""","ниппель 3/4""",,,
,,8-4,"Hy-Lok 1/2""","ниппель 1/4""",,,
,,8-6,"Hy-Lok 1/2""","ниппель 3/8""",,,
,,8-8,"Hy-Lok 1/2""","ниппель 1/2""",,,
,,8-10,"Hy-Lok 1/2""","ниппель 5/8""",,,
,,8-12,"Hy-Lok 1/2""","ниппель 3/4""",,,
,,8-16,"Hy-Lok 1/2""","ниппель 1""",,,
,,10-12,"Hy-Lok 5/8""","ниппель 3/4""",,,
,,10-14,"Hy-Lok 5/8""","ниппель 7/8""",,,
,,10-16,"Hy-Lok 5/8""","ниппель 1""",,,
,,12-4,"Hy-Lok 3/4""","ниппель 1/4""",,,
,,12-8,"Hy-Lok 3/4""","ниппель 1/2""",,,
,,12-16,"Hy-Lok 3/4""","ниппель 1""",,,
,,16-20,"Hy-Lok 1""","ниппель 1 1/4""",,,
,,16-24,"Hy-Lok 1""","ниппель 1 1/2""",,,
,,16-32,"Hy-Lok 1""","ниппель 2""",,,
,,20-24,"Hy-Lok 1 1/4""","ниппель 1 1/2""",,,
,,20-32,"Hy-Lok 1 1/4""","ниппель 2""",,,
,,24-32,"Hy-Lok 1 1/2""","ниппель 2""",,,
,,2-3M,"Hy-Lok 1/8""",ниппель 3mm,,,
,,2-6M,"Hy-Lok 1/8""",ниппель 6mm,,,
,,2-8M,"Hy-Lok 1/8""",ниппель 8mm,,,
,,2-10M,"Hy-Lok 1/8""",ниппель 10mm,,,
,,4-6M,"Hy-Lok 1/4""",ниппель 6mm,,,
,,4-8M,"Hy-Lok 1/4""",ниппель 8mm,,,
,,4-12M,"Hy-Lok 1/4""",ниппель 12mm,,,
,,4-14M,"Hy-Lok 1/4""",ниппель 14mm,,,
,,8-12M,"Hy-Lok 1/2""",ниппель 12mm,,,
,,12-12M,"Hy-Lok 3/4""",ниппель 12mm,,,
,,3M-2,Hy-Lok 3mm,"ниппель 1/8""",,,
,,3M-4,Hy-Lok 3mm,"ниппель 1/4""",,,
,,6M-1,Hy-Lok 6mm,"ниппель 1/16""",,,
,,6M-2,Hy-Lok 6mm,"ниппель 1/8""",,,
,,6M-4,Hy-Lok 6mm,"ниппель 1/4""",,,
,,6M-6,Hy-Lok 6mm,"ниппель 3/8""",,,
,,6M-8,Hy-Lok 6mm,"ниппель 1/2""",,,
,,8M-2,Hy-Lok 8mm,"ниппель 1/8""",,,
,,8M-4,Hy-Lok 8mm,"ниппель 1/4""",,,
,,8M-6,Hy-Lok 8mm,"ниппель 3/8""",,,
,,10M-6,Hy-Lok 10mm,"ниппель 3/8""",,,
,,12M-8,Hy-Lok 12mm,"ниппель 1/2""",,,
