#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:BSPP;Условное обозначение:Размер:Наруж. диаметр трубы (D);Условное обозначение:Размер:BSPP;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;;2-8G;Hy-Lok 1/8;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;2-6G;Hy-Lok 1/8;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;25M-8G;Hy-Lok 25mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;25M-16G;Hy-Lok 25mm;"""1""";Подсоединение;Подсоединение BSPP;;;
;;25M-12G;Hy-Lok 25mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;2-4G;Hy-Lok 1/8;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;22M-16G;Hy-Lok 22mm;"""1""";Подсоединение;Подсоединение BSPP;;;
;;22M-12G;Hy-Lok 22mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;2-2G;Hy-Lok 1/8;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;2-1G;Hy-Lok 1/8;"""1/16""";Подсоединение;Подсоединение BSPP;;;
;;20M-8G;Hy-Lok 20mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;20M-16G;Hy-Lok 20mm;"""1""";Подсоединение;Подсоединение BSPP;;;
;;20M-12G;Hy-Lok 20mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;18M-8G;Hy-Lok 18mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;18M-12G;Hy-Lok 18mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;16M-8G;Hy-Lok 16mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;16M-6G;Hy-Lok 16mm;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;16M-12G;Hy-Lok 16mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;16-8G;Hy-Lok 1;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;16-24G;Hy-Lok 1;"""1 1/2""";Подсоединение;Подсоединение BSPP;;;
;;16-16G;Hy-Lok 1;"""1""";Подсоединение;Подсоединение BSPP;;;
;;16-12G;Hy-Lok 1;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;14M-8G;Hy-Lok 14mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;14M-6G;Hy-Lok 14mm;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;14M-4G;Hy-Lok 14mm;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;14M-2G;Hy-Lok 14mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;14M-12G;Hy-Lok 14mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;14-16G;Hy-Lok 7/8;"""1""";Подсоединение;Подсоединение BSPP;;;
;;14-12G;Hy-Lok 7/8;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;12M-8G;Hy-Lok 12mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;12M-6G;Hy-Lok 12mm;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;12M-4G;Hy-Lok 12mm;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;12M-2G;Hy-Lok 12mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;12M-16G;Hy-Lok 12mm;"""1""";Подсоединение;Подсоединение BSPP;;;
;;12M-12G;Hy-Lok 12mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;1-2G;Hy-Lok 1/16;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;12-8G;Hy-Lok 3/4;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;12-16G;Hy-Lok 3/4;"""1""";Подсоединение;Подсоединение BSPP;;;
;;12-12G;Hy-Lok 3/4;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;1-1G;Hy-Lok 1/16;"""1/16""";Подсоединение;Подсоединение BSPP;;;
;;10M-8G;Hy-Lok 10mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;10M-6G;Hy-Lok 10mm;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;10M-4G;Hy-Lok 10mm;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;10M-2G;Hy-Lok 10mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;10M-12G;Hy-Lok 10mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;10-8G;Hy-Lok 5/8;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;10-6G;Hy-Lok 5/8;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;10-12G;Hy-Lok 5/8;"""3/4""";Подсоединение;Подсоединение BSPP;;;
