#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Аналог продукции,,,,,
,VSTI42X2EDCF,M42x2,STEL,DVSTI-M42ED-STEL,,,,,
,VSTI48X2EDCF,M48x1,STEL,DVSTI-M48ED-STEL,,,,,
,VSTI10X1EDMS,M10x1,BRAS,DVSTI-M10ED-BRAS,,,,,
,VSTI12X1.5EDMS,"M12x1,5",BRAS,DVSTI-M12ED-BRAS,,,,,
,VSTI14X1.5EDMS,"M14x1,5",BRAS,DVSTI-M14ED-BRAS,,,,,
,VSTI16X1.5EDMS,"M16x1,5",BRAS,DVSTI-M16ED-BRAS,,,,,
,VSTI18X1.5EDMS,"M18x1,5",BRAS,DVSTI-M18ED-BRAS,,,,,
,VSTI20X1.5EDMS,"M20x1,5",BRAS,DVSTI-M20ED-BRAS,,,,,
,VSTI22X1.5EDMS,"M22x1,5",BRAS,DVSTI-M22ED-BRAS,,,,,
,VSTI26X1.5EDMS,"M26x1,5",BRAS,DVSTI-M26ED-BRAS,,,,,
,VSTI27X2EDMS,M27x2,BRAS,DVSTI-M27ED-BRAS,,,,,
,VSTI33X2EDMS,M33x2,BRAS,DVSTI-M33ED-BRAS,,,,,
,VSTI42X2EDMS,M42x2,BRAS,DVSTI-M42ED-BRAS,,,,,
,VSTI48X2EDMS,M48x1,BRAS,DVSTI-M48ED-BRAS,,,,,
,VSTI10X1OR71,M10x1,S316,DVSTI-M10,,,,,
,VSTI12X1OR71,"M12x1,5",S316,DVSTI-M12,,,,,
,VSTI14X1OR71,"M14x1,5",S316,DVSTI-M14,,,,,
,VSTI16X1OR71,"M16x1,5",S316,DVSTI-M16,,,,,
,VSTI18X1OR71,"M18x1,5",S316,DVSTI-M18,,,,,
,VSTI22X1OR71,"M22x1,5",S316,DVSTI-M22,,,,,
,VSTI26X1OR71,"M26x1,5",S316,DVSTI-M26,,,,,
,VSTI27X1OR71,M27x2,S316,DVSTI-M27,,,,,
,VSTI33X1OR71,M33x2,S316,DVSTI-M33,,,,,
,VSTI42X1OR71,M42x2,S316,DVSTI-M42,,,,,
,VSTI10X1ORCF,M10x1,STEL,DVSTI-M10-STEL,,,,,
,VSTI12X1ORCF,"M12x1,5",STEL,DVSTI-M12-STEL,,,,,
,VSTI14X1ORCF,"M14x1,5",STEL,DVSTI-M14-STEL,,,,,
,VSTI16X1ORCF,"M16x1,5",STEL,DVSTI-M16-STEL,,,,,
,VSTI18X1ORCF,"M18x1,5",STEL,DVSTI-M18-STEL,,,,,
,VSTI22X1ORCF,"M22x1,5",STEL,DVSTI-M22-STEL,,,,,
,VSTI26X1ORCF,"M26x1,5",STEL,DVSTI-M26-STEL,,,,,
,VSTI27X1ORCF,M27x2,STEL,DVSTI-M27-STEL,,,,,
,VSTI33X1ORCF,M33x2,STEL,DVSTI-M33-STEL,,,,,
,VSTI42X1ORCF,M42x2,STEL,DVSTI-M42-STEL,,,,,
,VSTI10X1ORMS,M10x1,BRAS,DVSTI-M10-BRAS,,,,,
,VSTI12X1ORMS,"M12x1,5",BRAS,DVSTI-M12-BRAS,,,,,
,VSTI14X1ORMS,"M14x1,5",BRAS,DVSTI-M14-BRAS,,,,,
,VSTI16X1ORMS,"M16x1,5",BRAS,DVSTI-M16-BRAS,,,,,
,VSTI18X1ORMS,"M18x1,5",BRAS,DVSTI-M18-BRAS,,,,,
,VSTI22X1ORMS,"M22x1,5",BRAS,DVSTI-M22-BRAS,,,,,
,VSTI26X1ORMS,"M26x1,5",BRAS,DVSTI-M26-BRAS,,,,,
,VSTI27X1ORMS,M27x2,BRAS,DVSTI-M27-BRAS,,,,,
,VSTI33X1ORMS,M33x2,BRAS,DVSTI-M33-BRAS,,,,,
,VSTI42X1ORMS,M42x2,BRAS,DVSTI-M42-BRAS,,,,,
