#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:NPT (BSPT);Условное обозначение:Размер:Наруж. диаметр трубы (D);Условное обозначение:Размер:NPT (BSPT);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;;10M-4N;Hy-Lok 10mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;10M-6N;Hy-Lok 10mm;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;10M-8N;Hy-Lok 10mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;10M-12N;Hy-Lok 10mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12M-2N;Hy-Lok 12mm;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12M-4N;Hy-Lok 12mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12M-6N;Hy-Lok 12mm;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12M-8N;Hy-Lok 12mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12M-12N;Hy-Lok 12mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12M-16N;Hy-Lok 12mm;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;14M-12N;Hy-Lok 14mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;14M-8N;Hy-Lok 14mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;14M-6N;Hy-Lok 14mm;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;14M-4N;Hy-Lok 14mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;14M-2N;Hy-Lok 14mm;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;16M-4N;Hy-Lok 16mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;16M-6N;Hy-Lok 16mm;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;16M-8N;Hy-Lok 16mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;16M-12N;Hy-Lok 16mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;16M-16N;Hy-Lok 16mm;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;18M-4N;Hy-Lok 18mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;18M-6N;Hy-Lok 18mm;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;18M-8N;Hy-Lok 18mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;18M-12N;Hy-Lok 18mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;18M-16N;Hy-Lok 18mm;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;20M-8N;Hy-Lok 20mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;20M-12N;Hy-Lok 20mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;20M-16N;Hy-Lok 20mm;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;22M-4N;Hy-Lok 22mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;22M-8N;Hy-Lok 22mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;22M-12N;Hy-Lok 22mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;22M-16N;Hy-Lok 22mm;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;25M-8N;Hy-Lok 25mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;25M-12N;Hy-Lok 25mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;25M-16N;Hy-Lok 25mm;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;32M-16N;Hy-Lok 32mm;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;32M-20N;Hy-Lok 32mm;"""1 1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;32M-24N;Hy-Lok 32mm;"""1 1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;38M-24N;Hy-Lok 38mm;"""1 1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;50M-32N;Hy-Lok 50mm;"""2""";Подсоединение;Подсоединение NPT (BSPT);;;
