#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:RT;Условное обозначение:Размер:Наруж. диаметр трубы (D);Условное обозначение:Размер:RT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;;8M-6R;Hy-Lok 8mm;"""3/8""";Подсоединение;Подсоединение RT;;;
;;8M-8R;Hy-Lok 8mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;10M-2R;Hy-Lok 10mm;"""1/8""";Подсоединение;Подсоединение RT;;;
;;10M-4R;Hy-Lok 10mm;"""1/4""";Подсоединение;Подсоединение RT;;;
;;10M-6R;Hy-Lok 10mm;"""3/8""";Подсоединение;Подсоединение RT;;;
;;10M-8R;Hy-Lok 10mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;10M-12R;Hy-Lok 10mm;"""3/4""";Подсоединение;Подсоединение RT;;;
;;12M-2R;Hy-Lok 12mm;"""1/8""";Подсоединение;Подсоединение RT;;;
;;12M-4R;Hy-Lok 12mm;"""1/4""";Подсоединение;Подсоединение RT;;;
;;12M-6R;Hy-Lok 12mm;"""3/8""";Подсоединение;Подсоединение RT;;;
;;12M-8R;Hy-Lok 12mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;12M-12R;Hy-Lok 12mm;"""3/4""";Подсоединение;Подсоединение RT;;;
;;12M-16R;Hy-Lok 12mm;"""1""";Подсоединение;Подсоединение RT;;;
;;14M-4R;Hy-Lok 14mm;"""1/4""";Подсоединение;Подсоединение RT;;;
;;14M-8R;Hy-Lok 14mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;16M-6R;Hy-Lok 16mm;"""3/8""";Подсоединение;Подсоединение RT;;;
;;16M-8R;Hy-Lok 16mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;16M-12R;Hy-Lok 16mm;"""3/4""";Подсоединение;Подсоединение RT;;;
;;18M-12R;Hy-Lok 18mm;"""3/4""";Подсоединение;Подсоединение RT;;;
;;20M-8R;Hy-Lok 20mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;20M-12R;Hy-Lok 20mm;"""3/4""";Подсоединение;Подсоединение RT;;;
;;20M-16R;Hy-Lok 20mm;"""1""";Подсоединение;Подсоединение RT;;;
;;22M-12R;Hy-Lok 22mm;"""3/4""";Подсоединение;Подсоединение RT;;;
;;22M-16R;Hy-Lok 22mm;"""1""";Подсоединение;Подсоединение RT;;;
;;25M-8R;Hy-Lok 25mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;25M-12R;Hy-Lok 25mm;"""3/4""";Подсоединение;Подсоединение RT;;;
;;25M-16R;Hy-Lok 25mm;"""1""";Подсоединение;Подсоединение RT;;;
;;32M-16R;Hy-Lok 32mm;"""1""";Подсоединение;Подсоединение RT;;;
;;32M-20R;Hy-Lok 32mm;"""1 1/4""";Подсоединение;Подсоединение RT;;;
;;32M-24R;Hy-Lok 32mm;"""1 1/2""";Подсоединение;Подсоединение RT;;;
;;38M-24R;Hy-Lok 38mm;"""1 1/2""";Подсоединение;Подсоединение RT;;;
;;50M-32R;Hy-Lok 50mm;"""2""";Подсоединение;Подсоединение RT;;;
