#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2,Параметр:Заказной код:Аналог продукции,Параметр:Материал:Материал,
,TH35LROMDCF,Hy-Lok 38mm,"Hy-Lok 1 1/4""",DSVT-35L-10G-STEL,STEL,
,TH42LROMDCF,Hy-Lok 38mm,"Hy-Lok 1 1/2""",DSVT-42L-12G-STEL,STEL,
,TH06LROMDMS,Hy-Lok 14mm,"Hy-Lok 1/8""",DSVT-06L-01G-BRAS,BRAS,
,TH08LROMDMS,Hy-Lok 16mm,"Hy-Lok 1/4""",DSVT-08L-02G-BRAS,BRAS,
,TH10LROMDMS,Hy-Lok 20mm,"Hy-Lok 1/4""",DSVT-10L-02G-BRAS,BRAS,
,TH12LROMDMS,Hy-Lok 25mm,"Hy-Lok 3/8""",DSVT-12L-03G-BRAS,BRAS,
,TH15LROMDMS,Hy-Lok 30mm,"Hy-Lok 1/2""",DSVT-15L-04G-BRAS,BRAS,
,TH18LROMDMS,Hy-Lok 38mm,"Hy-Lok 1/2""",DSVT-18L-04G-BRAS,BRAS,
,TH22LROMDMS,Hy-Lok 6mm,"Hy-Lok 3/4""",DSVT-22L-06G-BRAS,BRAS,
,TH28LROMDMS,Hy-Lok 8mm,"Hy-Lok 1""",DSVT-28L-08G-BRAS,BRAS,
,TH35LROMDMS,Hy-Lok 10mm,"Hy-Lok 1 1/4""",DSVT-35L-10G-BRAS,BRAS,
,TH42LROMDMS,Hy-Lok 12mm,"Hy-Lok 1 1/2""",DSVT-42L-12G-BRAS,BRAS,
,TH06SROMD71,Hy-Lok 6mm,"Hy-Lok 1/4""",DSVT-06S-02G,S316,
,TH08SROMD71,Hy-Lok 8mm,"Hy-Lok 1/4""",DSVT-08S-02G,S316,
,TH10SROMD71,Hy-Lok 10mm,"Hy-Lok 3/8""",DSVT-10S-03G,S316,
,TH12SROMD71,Hy-Lok 12mm,"Hy-Lok 3/8""",DSVT-12S-03G,S316,
,TH14SROMD71,Hy-Lok 14mm,"Hy-Lok 1/2""",DSVT-14S-04G,S316,
,TH16SROMD71,Hy-Lok 16mm,"Hy-Lok 1/2""",DSVT-16S-04G,S316,
,TH20SROMD71,Hy-Lok 20mm,"Hy-Lok 3/4""",DSVT-20S-06G,S316,
,TH25SROMD71,Hy-Lok 25mm,"Hy-Lok 1""",DSVT-25S-08G,S316,
,TH30SROMD71,Hy-Lok 30mm,"Hy-Lok 1 1/4""",DSVT-30S-10G,S316,
,TH38SROMD71,Hy-Lok 38mm,"Hy-Lok 1 1/2""",DSVT-38S-12G,S316,
,TH06SROMDCF,Hy-Lok 38mm,"Hy-Lok 1/4""",DSVT-06S-02G-STEL,STEL,
,TH08SROMDCF,Hy-Lok 38mm,"Hy-Lok 1/4""",DSVT-08S-02G-STEL,STEL,
,TH10SROMDCF,Hy-Lok 10mm,"Hy-Lok 3/8""",DSVT-10S-03G-STEL,STEL,
,TH12SROMDCF,Hy-Lok 10mm,"Hy-Lok 3/8""",DSVT-12S-03G-STEL,STEL,
,TH14SROMDCF,Hy-Lok 12mm,"Hy-Lok 1/2""",DSVT-14S-04G-STEL,STEL,
,TH16SROMDCF,Hy-Lok 12mm,"Hy-Lok 1/2""",DSVT-16S-04G-STEL,STEL,
,TH20SROMDCF,Hy-Lok 16mm,"Hy-Lok 3/4""",DSVT-20S-06G-STEL,STEL,
,TH25SROMDCF,Hy-Lok 20mm,"Hy-Lok 1""",DSVT-25S-08G-STEL,STEL,
,TH30SROMDCF,Hy-Lok 20mm,"Hy-Lok 1 1/4""",DSVT-30S-10G-STEL,STEL,
,TH38SROMDCF,Hy-Lok 25mm,"Hy-Lok 1 1/2""",DSVT-38S-12G-STEL,STEL,
,TH06SROMDMS,Hy-Lok 15mm,"Hy-Lok 1/4""",DSVT-06S-02G-BRAS,BRAS,
,TH08SROMDMS,Hy-Lok 18mm,"Hy-Lok 1/4""",DSVT-08S-02G-BRAS,BRAS,
,TH10SROMDMS,Hy-Lok 22mm,"Hy-Lok 3/8""",DSVT-10S-03G-BRAS,BRAS,
,TH12SROMDMS,Hy-Lok 28mm,"Hy-Lok 3/8""",DSVT-12S-03G-BRAS,BRAS,
,TH14SROMDMS,Hy-Lok 35mm,"Hy-Lok 1/2""",DSVT-14S-04G-BRAS,BRAS,
,TH16SROMDMS,Hy-Lok 42mm,"Hy-Lok 1/2""",DSVT-16S-04G-BRAS,BRAS,
,TH20SROMDMS,Hy-Lok 14mm,"Hy-Lok 3/4""",DSVT-20S-06G-BRAS,BRAS,
,TH25SROMDMS,Hy-Lok 16mm,"Hy-Lok 1""",DSVT-25S-08G-BRAS,BRAS,
,TH30SROMDMS,Hy-Lok 20mm,"Hy-Lok 1 1/4""",DSVT-30S-10G-BRAS,BRAS,
,TH38SROMDMS,Hy-Lok 25mm,"Hy-Lok 1 1/2""",DSVT-38S-12G-BRAS,BRAS,
,TH06LMOMD71,Hy-Lok 6mm,M10x1.5,DSVT-06L-M10,S316,
,TH08LMOMD71,Hy-Lok 8mm,M12x1.5,DSVT-08L-M12,S316,
,TH10LMOMD71,Hy-Lok 10mm,M14x1.5,DSVT-10L-M14,S316,
,TH12LMOMD71,Hy-Lok 12mm,M16x1.5,DSVT-12L-M16,S316,
,TH15LMOMD71,Hy-Lok 15mm,M18x1.5,DSVT-15L-M18,S316,
,TH18LMOMD71,Hy-Lok 18mm,M22x1.5,DSVT-18L-M22,S316,
,TH22LMOMD71,Hy-Lok 22mm,M26x1.5,DSVT-22L-M26,S316,
,TH28LMOMD71,Hy-Lok 28mm,M33x2,DSVT-28L-M33,S316,
,TH35LMOMD71,Hy-Lok 35mm,M42x2,DSVT-35L-M42,S316,
,TH42LMOMD71,Hy-Lok 42mm,M48x2,DSVT-42L-M48,S316,
,TH06LMOMDCF,Hy-Lok 25mm,M10x1.5,DSVT-06L-M10-STEL,STEL,
,TH08LMOMDCF,Hy-Lok 30mm,M12x1.5,DSVT-08L-M12-STEL,STEL,
,TH10LMOMDCF,Hy-Lok 30mm,M14x1.5,DSVT-10L-M14-STEL,STEL,
,TH12LMOMDCF,Hy-Lok 30mm,M16x1.5,DSVT-12L-M16-STEL,STEL,
,TH15LMOMDCF,Hy-Lok 38mm,M18x1.5,DSVT-15L-M18-STEL,STEL,
,TH18LMOMDCF,Hy-Lok 38mm,M22x1.5,DSVT-18L-M22-STEL,STEL,
,TH22LMOMDCF,Hy-Lok 38mm,M26x1.5,DSVT-22L-M26-STEL,STEL,
,TH28LMOMDCF,Hy-Lok 38mm,M33x2,DSVT-28L-M33-STEL,STEL,
,TH35LMOMDCF,Hy-Lok 6mm,M42x2,DSVT-35L-M42-STEL,STEL,
,TH42LMOMDCF,Hy-Lok 8mm,M48x2,DSVT-42L-M48-STEL,STEL,
,TH06LMOMDMS,Hy-Lok 30mm,M10x1.5,DSVT-06L-M10-BRAS,BRAS,
,TH08LMOMDMS,Hy-Lok 38mm,M12x1.5,DSVT-08L-M12-BRAS,BRAS,
,TH10LMOMDMS,Hy-Lok 6mm,M14x1.5,DSVT-10L-M14-BRAS,BRAS,
,TH12LMOMDMS,Hy-Lok 8mm,M16x1.5,DSVT-12L-M16-BRAS,BRAS,
,TH15LMOMDMS,Hy-Lok 10mm,M18x1.5,DSVT-15L-M18-BRAS,BRAS,
,TH18LMOMDMS,Hy-Lok 12mm,M22x1.5,DSVT-18L-M22-BRAS,BRAS,
,TH22LMOMDMS,Hy-Lok 12mm,M26x1.5,DSVT-22L-M26-BRAS,BRAS,
,TH28LMOMDMS,Hy-Lok 15mm,M33x2,DSVT-28L-M33-BRAS,BRAS,
,TH35LMOMDMS,Hy-Lok 16mm,M42x2,DSVT-35L-M42-BRAS,BRAS,
,TH42LMOMDMS,Hy-Lok 18mm,M48x2,DSVT-42L-M48-BRAS,BRAS,
,TH06SMOMD71,Hy-Lok 6mm,M12x1.5,DSVT-06S-M12,S316,
,TH08SMOMD71,Hy-Lok 8mm,M14x1.5,DSVT-08S-M14,S316,
,TH10SMOMD71,Hy-Lok 10mm,M16x1.5,DSVT-10S-M16,S316,
,TH12SMOMD71,Hy-Lok 12mm,M18x1.5,DSVT-12S-M18,S316,
,TH14SMOMD71,Hy-Lok 14mm,M20x1.5,DSVT-14S-M20,S316,
,TH16SMOMD71,Hy-Lok 16mm,M22x1.5,DSVT-16S-M22,S316,
,TH20SMOMD71,Hy-Lok 20mm,M27x2,DSVT-20S-M27,S316,
,TH25SMOMD71,Hy-Lok 25mm,M33x2,DSVT-25S-M33,S316,
,TH30SMOMD71,Hy-Lok 30mm,M42x2,DSVT-30S-M42,S316,
,TH38SMOMD71,Hy-Lok 38mm,M48x2,DSVT-38S-M48,S316,
,TH06SMOMDCF,Hy-Lok 10mm,M12x1.5,DSVT-06S-M12-STEL,STEL,
,TH08SMOMDCF,Hy-Lok 12mm,M14x1.5,DSVT-08S-M14-STEL,STEL,
,TH10SMOMDCF,Hy-Lok 15mm,M16x1.5,DSVT-10S-M16-STEL,STEL,
,TH12SMOMDCF,Hy-Lok 18mm,M18x1.5,DSVT-12S-M18-STEL,STEL,
,TH14SMOMDCF,Hy-Lok 22mm,M20x1.5,DSVT-14S-M20-STEL,STEL,
,TH16SMOMDCF,Hy-Lok 28mm,M22x1.5,DSVT-16S-M22-STEL,STEL,
,TH20SMOMDCF,Hy-Lok 35mm,M27x2,DSVT-20S-M27-STEL,STEL,
,TH25SMOMDCF,Hy-Lok 42mm,M33x2,DSVT-25S-M33-STEL,STEL,
,TH30SMOMDCF,Hy-Lok 6mm,M42x2,DSVT-30S-M42-STEL,STEL,
,TH38SMOMDCF,Hy-Lok 8mm,M48x2,DSVT-38S-M48-STEL,STEL,
,TH06SMOMDMS,Hy-Lok 22mm,M12x1.5,DSVT-06S-M12-BRAS,BRAS,
,TH08SMOMDMS,Hy-Lok 28mm,M14x1.5,DSVT-08S-M14-BRAS,BRAS,
,TH10SMOMDMS,Hy-Lok 30mm,M16x1.5,DSVT-10S-M16-BRAS,BRAS,
,TH12SMOMDMS,Hy-Lok 35mm,M18x1.5,DSVT-12S-M18-BRAS,BRAS,
,TH14SMOMDMS,Hy-Lok 42mm,M20x1.5,DSVT-14S-M20-BRAS,BRAS,
,TH16SMOMDMS,Hy-Lok 16mm,M22x1.5,DSVT-16S-M22-BRAS,BRAS,
,TH20SMOMDMS,Hy-Lok 20mm,M27x2,DSVT-20S-M27-BRAS,BRAS,
,TH25SMOMDMS,Hy-Lok 25mm,M33x2,DSVT-25S-M33-BRAS,BRAS,
,TH30SMOMDMS,Hy-Lok 30mm,M42x2,DSVT-30S-M42-BRAS,BRAS,
,TH38SMOMDMS,Hy-Lok 38mm,M48x2,DSVT-38S-M48-BRAS,BRAS,
,,,,,,
,,,,,,
