#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Расход,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Панель индикации,Параметр:Заказной код:Среда,Параметр:Заказной код:Материал поплавка,Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Защитный материал,Параметр:Заказной код:Концевые выключатели
,P-Type-PS-1-3-3-1-2-2-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,SS316,Витон,SS316,Два
,P-Type-PS-1-3-3-1-3-1-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВХ,NBR,SS316,Нет
,P-Type-PS-1-3-3-1-3-1-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВХ,NBR,SS316,Один
,P-Type-PS-1-3-3-1-3-1-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВХ,NBR,SS316,Два
,P-Type-PS-1-3-3-1-3-2-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВХ,Витон,SS316,Нет
,P-Type-PS-1-3-3-1-3-2-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВХ,Витон,SS316,Один
,P-Type-PS-1-3-3-1-3-2-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВХ,Витон,SS316,Два
,P-Type-PS-1-3-3-1-4-1-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Полипропилен,NBR,SS316,Нет
,P-Type-PS-1-3-3-1-4-1-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Полипропилен,NBR,SS316,Один
,P-Type-PS-1-3-3-1-4-1-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Полипропилен,NBR,SS316,Два
,P-Type-PS-1-3-3-1-4-2-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Полипропилен,Витон,SS316,Нет
,P-Type-PS-1-3-3-1-4-2-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Полипропилен,Витон,SS316,Один
,P-Type-PS-1-3-3-1-4-2-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Полипропилен,Витон,SS316,Два
,P-Type-PS-1-3-3-1-5-1-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Нейлон,NBR,SS316,Нет
,P-Type-PS-1-3-3-1-5-1-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Нейлон,NBR,SS316,Один
,P-Type-PS-1-3-3-1-5-1-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Нейлон,NBR,SS316,Два
,P-Type-PS-1-3-3-1-5-2-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Нейлон,Витон,SS316,Нет
,P-Type-PS-1-3-3-1-5-2-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Нейлон,Витон,SS316,Один
,P-Type-PS-1-3-3-1-5-2-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Нейлон,Витон,SS316,Два
,P-Type-PS-1-3-3-1-6-1-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВДФ,NBR,SS316,Нет
,P-Type-PS-1-3-3-1-6-1-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВДФ,NBR,SS316,Один
,P-Type-PS-1-3-3-1-6-1-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВДФ,NBR,SS316,Два
,P-Type-PS-1-3-3-1-6-2-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВДФ,Витон,SS316,Нет
