#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Управление,Параметр:Заказной код:Блок питания
,ULFC-02-A-1-0-1-B-1-2,0-50 нсм³/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-02-A-1-0-2-A-1-1,0-50 нсм³/мин,4-20 мА,Ручное,Есть
,ULFC-02-A-2-0-1-A-1-2,0-50 нсм³/мин,4-20 мА,Ручное,Нет
,ULFC-02-A-2-0-1-B-1-1,0-50 нсм³/мин,4-20 мА,0-5 VDC,Есть
,ULFC-02-A-2-0-1-B-1-2,0-50 нсм³/мин,4-20 мА,0-5 VDC,Нет
,ULFC-03-A-1-0-1-A-1-1,0-100 нсм³/мин,0-5 VDC,Ручное,Есть
,ULFC-03-A-1-0-1-A-1-2,0-100 нсм³/мин,0-5 VDC,Ручное,Нет
,ULFC-03-A-1-0-1-B-1-1,0-100 нсм³/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-03-A-1-0-1-B-1-2,0-100 нсм³/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-03-A-1-0-2-A-1-1,0-100 нсм³/мин,4-20 мА,Ручное,Есть
,ULFC-03-A-2-0-1-A-1-2,0-100 нсм³/мин,4-20 мА,Ручное,Нет
,ULFC-03-A-2-0-1-B-1-1,0-100 нсм³/мин,4-20 мА,0-5 VDC,Есть
,ULFC-03-A-2-0-1-B-1-2,0-100 нсм³/мин,4-20 мА,0-5 VDC,Нет
,ULFC-04-A-1-0-1-A-1-1,0-200 нсм³/мин,0-5 VDC,Ручное,Есть
,ULFC-04-A-1-0-1-A-1-2,0-200 нсм³/мин,0-5 VDC,Ручное,Нет
,ULFC-04-A-1-0-1-B-1-1,0-200 нсм³/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-04-A-1-0-1-B-1-2,0-200 нсм³/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-04-A-1-0-2-A-1-1,0-200 нсм³/мин,4-20 мА,Ручное,Есть
,ULFC-04-A-2-0-1-A-1-2,0-200 нсм³/мин,4-20 мА,Ручное,Нет
,ULFC-04-A-2-0-1-B-1-1,0-200 нсм³/мин,4-20 мА,0-5 VDC,Есть
,ULFC-04-A-2-0-1-B-1-2,0-200 нсм³/мин,4-20 мА,0-5 VDC,Нет
,ULFC-05-A-1-0-1-A-1-1,0-500 нсм³/мин,0-5 VDC,Ручное,Есть
,ULFC-05-A-1-0-1-A-1-2,0-500 нсм³/мин,0-5 VDC,Ручное,Нет
,ULFC-05-A-1-0-1-B-1-1,0-500 нсм³/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-05-A-1-0-1-B-1-2,0-500 нсм³/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-05-A-1-0-2-A-1-1,0-500 нсм³/мин,4-20 мА,Ручное,Есть
,ULFC-05-A-2-0-1-A-1-2,0-500 нсм³/мин,4-20 мА,Ручное,Нет
,ULFC-05-A-2-0-1-B-1-1,0-500 нсм³/мин,4-20 мА,0-5 VDC,Есть
,ULFC-05-A-2-0-1-B-1-2,0-500 нсм³/мин,4-20 мА,0-5 VDC,Нет
,ULFC-06-A-1-0-1-A-1-1,0-1 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-06-A-1-0-1-A-1-2,0-1 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-06-A-1-0-1-B-1-1,0-1 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-06-A-1-0-1-B-1-2,0-1 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-06-A-1-0-2-A-1-1,0-1 нл/мин,4-20 мА,Ручное,Есть
,ULFC-06-A-2-0-1-A-1-2,0-1 нл/мин,4-20 мА,Ручное,Нет
,ULFC-06-A-2-0-1-B-1-1,0-1 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-06-A-2-0-1-B-1-2,0-1 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-07-A-1-0-1-A-1-1,0-2 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-07-A-1-0-1-A-1-2,0-2 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-07-A-1-0-1-B-1-1,0-2 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-07-A-1-0-1-B-1-2,0-2 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-07-A-1-0-2-A-1-1,0-2 нл/мин,4-20 мА,Ручное,Есть
,ULFC-07-A-2-0-1-A-1-2,0-2 нл/мин,4-20 мА,Ручное,Нет
,ULFC-07-A-2-0-1-B-1-1,0-2 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-07-A-2-0-1-B-1-2,0-2 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-08-A-1-0-1-A-1-1,0-5 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-08-A-1-0-1-A-1-2,0-5 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-08-A-1-0-1-B-1-1,0-5 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-08-A-1-0-1-B-1-2,0-5 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-08-A-1-0-2-A-1-1,0-5 нл/мин,4-20 мА,Ручное,Есть
,ULFC-08-A-2-0-1-A-1-2,0-5 нл/мин,4-20 мА,Ручное,Нет
,ULFC-08-A-2-0-1-B-1-1,0-5 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-08-A-2-0-1-B-1-2,0-5 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-09-A-1-0-1-A-1-1,0-10 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-09-A-1-0-1-A-1-2,0-10 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-09-A-1-0-1-B-1-1,0-10 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-09-A-1-0-1-B-1-2,0-10 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-09-A-1-0-2-A-1-1,0-10 нл/мин,4-20 мА,Ручное,Есть
,ULFC-09-A-2-0-1-A-1-2,0-10 нл/мин,4-20 мА,Ручное,Нет
,ULFC-09-A-2-0-1-B-1-1,0-10 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-09-A-2-0-1-B-1-2,0-10 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-10-A-1-0-1-A-1-1,0-15 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-10-A-1-0-1-A-1-2,0-15 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-10-A-1-0-1-B-1-1,0-15 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-10-A-1-0-1-B-1-2,0-15 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-10-A-1-0-2-A-1-1,0-15 нл/мин,4-20 мА,Ручное,Есть
,ULFC-10-A-2-0-1-A-1-2,0-15 нл/мин,4-20 мА,Ручное,Нет
,ULFC-10-A-2-0-1-B-1-1,0-15 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-10-A-2-0-1-B-1-2,0-15 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-11-A-1-0-1-A-1-1,0-20 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-11-A-1-0-1-A-1-2,0-20 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-11-A-1-0-1-B-1-1,0-20 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-11-A-1-0-1-B-1-2,0-20 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-11-A-1-0-2-A-1-1,0-20 нл/мин,4-20 мА,Ручное,Есть
,ULFC-11-A-2-0-1-A-1-2,0-20 нл/мин,4-20 мА,Ручное,Нет
,ULFC-11-A-2-0-1-B-1-1,0-20 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-11-A-2-0-1-B-1-2,0-20 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-12-A-1-0-1-A-1-1,0-25 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-12-A-1-0-1-A-1-2,0-25 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-12-A-1-0-1-B-1-1,0-25 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-12-A-1-0-1-B-1-2,0-25 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-12-A-1-0-2-A-1-1,0-25 нл/мин,4-20 мА,Ручное,Есть
,ULFC-12-A-2-0-1-A-1-2,0-25 нл/мин,4-20 мА,Ручное,Нет
,ULFC-12-A-2-0-1-B-1-1,0-25 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-12-A-2-0-1-B-1-2,0-25 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-13-A-1-0-1-A-1-1,0-30 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-13-A-1-0-1-A-1-2,0-30 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-13-A-1-0-1-B-1-1,0-30 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-13-A-1-0-1-B-1-2,0-30 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-13-A-1-0-2-A-1-1,0-30 нл/мин,4-20 мА,Ручное,Есть
,ULFC-13-A-2-0-1-A-1-2,0-30 нл/мин,4-20 мА,Ручное,Нет
,ULFC-13-A-2-0-1-B-1-1,0-30 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-13-A-2-0-1-B-1-2,0-30 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-14-A-1-0-1-A-1-1,0-35 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-14-A-1-0-1-A-1-2,0-35 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-14-A-1-0-1-B-1-1,0-35 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-14-A-1-0-1-B-1-2,0-35 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-14-A-1-0-2-A-1-1,0-35 нл/мин,4-20 мА,Ручное,Есть
,ULFC-14-A-2-0-1-A-1-2,0-35 нл/мин,4-20 мА,Ручное,Нет
,ULFC-14-A-2-0-1-B-1-1,0-35 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-14-A-2-0-1-B-1-2,0-35 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-15-A-1-0-1-A-1-1,0-40 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-15-A-1-0-1-A-1-2,0-40 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-15-A-1-0-1-B-1-1,0-40 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-15-A-1-0-1-B-1-2,0-40 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-15-A-1-0-2-A-1-1,0-40 нл/мин,4-20 мА,Ручное,Есть
,ULFC-15-A-2-0-1-A-1-2,0-40 нл/мин,4-20 мА,Ручное,Нет
,ULFC-15-A-2-0-1-B-1-1,0-40 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-15-A-2-0-1-B-1-2,0-40 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-16-A-1-0-1-A-1-1,0-45 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-16-A-1-0-1-A-1-2,0-45 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-16-A-1-0-1-B-1-1,0-45 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-16-A-1-0-1-B-1-2,0-45 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-16-A-1-0-2-A-1-1,0-45 нл/мин,4-20 мА,Ручное,Есть
,ULFC-16-A-2-0-1-A-1-2,0-45 нл/мин,4-20 мА,Ручное,Нет
,ULFC-16-A-2-0-1-B-1-1,0-45 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-16-A-2-0-1-B-1-2,0-45 нл/мин,4-20 мА,0-5 VDC,Нет
,ULFC-17-A-1-0-1-A-1-1,0-50 нл/мин,0-5 VDC,Ручное,Есть
,ULFC-17-A-1-0-1-A-1-2,0-50 нл/мин,0-5 VDC,Ручное,Нет
,ULFC-17-A-1-0-1-B-1-1,0-50 нл/мин,0-5 VDC,0-5 VDC,Есть
,ULFC-17-A-1-0-1-B-1-2,0-50 нл/мин,0-5 VDC,0-5 VDC,Нет
,ULFC-17-A-1-0-2-A-1-1,0-50 нл/мин,4-20 мА,Ручное,Есть
,ULFC-17-A-2-0-1-A-1-2,0-50 нл/мин,4-20 мА,Ручное,Нет
,ULFC-17-A-2-0-1-B-1-1,0-50 нл/мин,4-20 мА,0-5 VDC,Есть
,ULFC-17-A-2-0-1-B-1-2,0-50 нл/мин,4-20 мА,0-5 VDC,Нет
