#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Исполнение привода,Параметр:Заказной код:Концевой выключаетель
,H3B-H-25M-PK-ML-APB-O,Hy-Lok 25мм,410 бар,,,PEEK,да,Нормально открытый,нет
,H1B-H-6M-ML-APB-C-LS,Hy-Lok 6мм,414 бар,1.2,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-10M-ML-APB-C-LS,Hy-Lok 10мм,414 бар,3.7,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-12M-ML-APB-C-LS,Hy-Lok 12мм,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-14M-ML-APB-C-LS,Hy-Lok 14мм,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H2B-H-16M-ML-APB-C-LS,Hy-Lok 16мм,340 бар,10,12.7мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H2B-H-18M-ML-APB-C-LS,Hy-Lok 18мм,340 бар,10,12.7мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H3B-H-20M-ML-APB-C-LS,Hy-Lok 20мм,,,,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H3B-H-25M-ML-APB-C-LS,Hy-Lok 25мм,340 бар,30,19мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-F-4N-ML-APB-C-LS,NPT 1/4 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-F-8N-ML-APB-C-LS,NPT 1/2 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-H-3M-APB-C-LS,Hy-Lok 3мм,414 бар,0.18,2.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-H-6M-APB-C-LS,Hy-Lok 6мм,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB2-H-8M-APB-C-LS,Hy-Lok 8мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB2-H-10M-APB-C-LS,Hy-Lok 10мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB3-H-12M-APB-C-LS,Hy-Lok 12мм,414 бар,5.57,9.5мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB3-H-16M-APB-C-LS,Hy-Lok 16мм,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-M-2N-APB-C-LS,1/8” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-M-4N-APB-C-LS,1/4” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-F-2N-APB-C-LS,1/8” NPT внутр.,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB2-F-4N-APB-C-LS,1/4” NPT внутр.,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB3-F-6N-APB-C-LS,3/8” NPT внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB3-F-8N-APB-C-LS,NPT 1/2 внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-6M-PK-ML-APB-C-LS,Hy-Lok 6мм,690 бар,1.2,10мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-10M-PK-ML-APB-C-LS,Hy-Lok 10мм,690 бар,3.7,10мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-12M-PK-ML-APB-C-LS,Hy-Lok 12мм,690 бар,7.5,10мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-14M-PK-ML-APB-C-LS,Hy-Lok 14мм,690 бар,7.5,10мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H2B-H-16M-PK-ML-APB-C-LS,Hy-Lok 16мм,410 бар,10,12.7мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H2B-H-18M-PK-ML-APB-C-LS,Hy-Lok 18мм,410 бар,10,12.7мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H3B-H-20M-PK-ML-APB-C-LS,Hy-Lok 20мм,410 бар,,,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H3B-H-25M-PK-ML-APB-C-LS,Hy-Lok 25мм,410 бар,,,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-6M-ML-APB-O-LS,Hy-Lok 6мм,414 бар,1.2,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-10M-ML-APB-O-LS,Hy-Lok 10мм,414 бар,3.7,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-12M-ML-APB-O-LS,Hy-Lok 12мм,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-14M-ML-APB-O-LS,Hy-Lok 14мм,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H2B-H-16M-ML-APB-O-LS,Hy-Lok 16мм,340 бар,10,12.7мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H2B-H-18M-ML-APB-O-LS,Hy-Lok 18мм,340 бар,10,12.7мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H3B-H-20M-ML-APB-O-LS,Hy-Lok 20мм,,,,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H3B-H-25M-ML-APB-O-LS,Hy-Lok 25мм,340 бар,30,19мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-F-4N-ML-APB-O-LS,NPT 1/4 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-F-8N-ML-APB-O-LS,NPT 1/2 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-H-3M-APB-O-LS,Hy-Lok 3мм,414 бар,0.18,2.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-H-6M-APB-O-LS,Hy-Lok 6мм,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB2-H-8M-APB-O-LS,Hy-Lok 8мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB2-H-10M-APB-O-LS,Hy-Lok 10мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB3-H-12M-APB-O-LS,Hy-Lok 12мм,414 бар,5.57,9.5мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB3-H-16M-APB-O-LS,Hy-Lok 16мм,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-M-2N-APB-O-LS,1/8” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-M-4N-APB-O-LS,1/4” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB1-F-2N-APB-O-LS,1/8” NPT внутр.,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB2-F-4N-APB-O-LS,1/4” NPT внутр.,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB3-F-6N-APB-O-LS,3/8” NPT внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,HB3-F-8N-APB-O-LS,NPT 1/2 внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-6M-PK-ML-APB-O-LS,Hy-Lok 6мм,690 бар,1.2,10мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-10M-PK-ML-APB-O-LS,Hy-Lok 10мм,690 бар,3.7,10мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-12M-PK-ML-APB-O-LS,Hy-Lok 12мм,690 бар,7.5,10мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-14M-PK-ML-APB-O-LS,Hy-Lok 14мм,690 бар,7.5,10мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H2B-H-16M-PK-ML-APB-O-LS,Hy-Lok 16мм,410 бар,10,12.7мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H2B-H-18M-PK-ML-APB-O-LS,Hy-Lok 18мм,410 бар,10,12.7мм,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H3B-H-20M-PK-ML-APB-O-LS,Hy-Lok 20мм,410 бар,,,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H3B-H-25M-PK-ML-APB-O-LS,Hy-Lok 25мм,410 бар,,,PEEK,да,Нормально закрытый,Концевой выключатель влагозащищенный
,H1B-H-6M-ML-APB-D,Hy-Lok 6мм,414 бар,1.2,10мм,PVDF (стандарт),да,Двойного действия,нет
,H1B-H-10M-ML-APB-D,Hy-Lok 10мм,414 бар,3.7,10мм,PVDF (стандарт),да,Двойного действия,нет
,H1B-H-12M-ML-APB-D,Hy-Lok 12мм,414 бар,7.5,10мм,PVDF (стандарт),да,Двойного действия,нет
,H1B-H-14M-ML-APB-D,Hy-Lok 14мм,414 бар,7.5,10мм,PVDF (стандарт),да,Двойного действия,нет
,H2B-H-16M-ML-APB-D,Hy-Lok 16мм,340 бар,10,12.7мм,PVDF (стандарт),да,Двойного действия,нет
,H2B-H-18M-ML-APB-D,Hy-Lok 18мм,340 бар,10,12.7мм,PVDF (стандарт),да,Двойного действия,нет
,H3B-H-20M-ML-APB-D,Hy-Lok 20мм,,,,PVDF (стандарт),да,Двойного действия,нет
,H3B-H-25M-ML-APB-D,Hy-Lok 25мм,340 бар,30,19мм,PVDF (стандарт),да,Двойного действия,нет
,H1B-F-4N-ML-APB-D,NPT 1/4 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Двойного действия,нет
,H1B-F-8N-ML-APB-D,NPT 1/2 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Двойного действия,нет
,HB1-H-3M-APB-D,Hy-Lok 3мм,414 бар,0.18,2.2мм,PVDF (стандарт),нет,Двойного действия,нет
,HB1-H-6M-APB-D,Hy-Lok 6мм,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Двойного действия,нет
,HB2-H-8M-APB-D,Hy-Lok 8мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Двойного действия,нет
,HB2-H-10M-APB-D,Hy-Lok 10мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Двойного действия,нет
,HB3-H-12M-APB-D,Hy-Lok 12мм,414 бар,5.57,9.5мм,PVDF (стандарт),нет,Двойного действия,нет
,HB3-H-16M-APB-D,Hy-Lok 16мм,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Двойного действия,нет
,HB1-M-2N-APB-D,1/8” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Двойного действия,нет
,HB1-M-4N-APB-D,1/4” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Двойного действия,нет
,HB1-F-2N-APB-D,1/8” NPT внутр.,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Двойного действия,нет
,HB2-F-4N-APB-D,1/4” NPT внутр.,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Двойного действия,нет
,HB3-F-6N-APB-D,3/8” NPT внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Двойного действия,нет
,HB3-F-8N-APB-D,NPT 1/2 внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Двойного действия,нет
,H1B-H-6M-PK-ML-APB-D,Hy-Lok 6мм,690 бар,1.2,10мм,PEEK,да,Двойного действия,нет
,H1B-H-10M-PK-ML-APB-D,Hy-Lok 10мм,690 бар,3.7,10мм,PEEK,да,Двойного действия,нет
,H1B-H-12M-PK-ML-APB-D,Hy-Lok 12мм,690 бар,7.5,10мм,PEEK,да,Двойного действия,нет
,H1B-H-14M-PK-ML-APB-D,Hy-Lok 14мм,690 бар,7.5,10мм,PEEK,да,Двойного действия,нет
,H2B-H-16M-PK-ML-APB-D,Hy-Lok 16мм,410 бар,10,12.7мм,PEEK,да,Двойного действия,нет
,H2B-H-18M-PK-ML-APB-D,Hy-Lok 18мм,410 бар,10,12.7мм,PEEK,да,Двойного действия,нет
,H3B-H-20M-PK-ML-APB-D,Hy-Lok 20мм,410 бар,,,PEEK,да,Двойного действия,нет
,H3B-H-25M-PK-ML-APB-D,Hy-Lok 25мм,410 бар,,,PEEK,да,Двойного действия,нет
,H1B-H-6M-ML-APB-D-LS,Hy-Lok 6мм,414 бар,1.2,10мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H1B-H-10M-ML-APB-D-LS,Hy-Lok 10мм,414 бар,3.7,10мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H1B-H-12M-ML-APB-D-LS,Hy-Lok 12мм,414 бар,7.5,10мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H1B-H-14M-ML-APB-D-LS,Hy-Lok 14мм,414 бар,7.5,10мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H2B-H-16M-ML-APB-D-LS,Hy-Lok 16мм,340 бар,10,12.7мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H2B-H-18M-ML-APB-D-LS,Hy-Lok 18мм,340 бар,10,12.7мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H3B-H-20M-ML-APB-D-LS,Hy-Lok 20мм,,,,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H3B-H-25M-ML-APB-D-LS,Hy-Lok 25мм,340 бар,30,19мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H1B-F-4N-ML-APB-D-LS,NPT 1/4 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,H1B-F-8N-ML-APB-D-LS,NPT 1/2 внутр.,414 бар,7.5,10мм,PVDF (стандарт),да,Двойного действия,Концевой выключатель влагозащищенный
,HB1-H-3M-APB-D-LS,Hy-Lok 3мм,414 бар,0.18,2.2мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB1-H-6M-APB-D-LS,Hy-Lok 6мм,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB2-H-8M-APB-D-LS,Hy-Lok 8мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB2-H-10M-APB-D-LS,Hy-Lok 10мм,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB3-H-12M-APB-D-LS,Hy-Lok 12мм,414 бар,5.57,9.5мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB3-H-16M-APB-D-LS,Hy-Lok 16мм,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB1-M-2N-APB-D-LS,1/8” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB1-M-4N-APB-D-LS,1/4” NPT,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB1-F-2N-APB-D-LS,1/8” NPT внутр.,414 бар,0.93,4.2мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB2-F-4N-APB-D-LS,1/4” NPT внутр.,414 бар,2.34,6.4мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB3-F-6N-APB-D-LS,3/8” NPT внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,HB3-F-8N-APB-D-LS,NPT 1/2 внутр.,414 бар,6.42,10.3мм,PVDF (стандарт),нет,Двойного действия,Концевой выключатель влагозащищенный
,H1B-H-6M-PK-ML-APB-D-LS,Hy-Lok 6мм,690 бар,1.2,10мм,PEEK,да,Двойного действия,Концевой выключатель влагозащищенный
,H1B-H-10M-PK-ML-APB-D-LS,Hy-Lok 10мм,690 бар,3.7,10мм,PEEK,да,Двойного действия,Концевой выключатель влагозащищенный
,H1B-H-12M-PK-ML-APB-D-LS,Hy-Lok 12мм,690 бар,7.5,10мм,PEEK,да,Двойного действия,Концевой выключатель влагозащищенный
,H1B-H-14M-PK-ML-APB-D-LS,Hy-Lok 14мм,690 бар,7.5,10мм,PEEK,да,Двойного действия,Концевой выключатель влагозащищенный
,H2B-H-16M-PK-ML-APB-D-LS,Hy-Lok 16мм,410 бар,10,12.7мм,PEEK,да,Двойного действия,Концевой выключатель влагозащищенный
,H2B-H-18M-PK-ML-APB-D-LS,Hy-Lok 18мм,410 бар,10,12.7мм,PEEK,да,Двойного действия,Концевой выключатель влагозащищенный
,H3B-H-20M-PK-ML-APB-D-LS,Hy-Lok 20мм,410 бар,,,PEEK,да,Двойного действия,Концевой выключатель влагозащищенный
,H3B-H-25M-PK-ML-APB-D-LS,Hy-Lok 25мм,410 бар,,,PEEK,да,Двойного действия,Концевой выключатель влагозащищенный
