#,Заказной код,Параметр:Заказной код:Давления открытия,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,CVA-MF-8N-D-BU,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Buna N,206 бар,-23°,121°C
,CVA-F-4N-A-KA,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 внутр.,Kalrez,206 бар,-23°,315°C
,CVA-F-8N-A-KA,"0,2..3,5бар",Ø 10мм,NPT 1/2 внутр.,Kalrez,206 бар,-23°,315°C
,CVA-M-4N-A-KA,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-8N-A-KA,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-4R-A-KA,"0,2..3,5бар","Ø 4,8мм",RT 1/4 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-8R-A-KA,"0,2..3,5бар",Ø 10мм,RT 1/2 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-MF-4N-A-KA,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Kalrez,206 бар,-23°,315°C
,CVA-MF-8N-A-KA,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Kalrez,206 бар,-23°,315°C
,CVA-F-4N-B-KA,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 внутр.,Kalrez,206 бар,-23°,315°C
,CVA-F-8N-B-KA,"3,5..10,3бар",Ø 10мм,NPT 1/2 внутр.,Kalrez,206 бар,-23°,315°C
,CVA-M-4N-B-KA,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-8N-B-KA,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-4R-B-KA,"3,5..10,3бар","Ø 4,8мм",RT 1/4 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-8R-B-KA,"3,5..10,3бар",Ø 10мм,RT 1/2 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-MF-4N-B-KA,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Kalrez,206 бар,-23°,315°C
,CVA-MF-8N-B-KA,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Kalrez,206 бар,-23°,315°C
,CVA-F-4N-C-KA,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 внутр.,Kalrez,206 бар,-23°,315°C
,CVA-F-8N-C-KA,"10,3..24,1бар",Ø 10мм,NPT 1/2 внутр.,Kalrez,206 бар,-23°,315°C
,CVA-M-4N-C-KA,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-8N-C-KA,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-4R-C-KA,"10,3..24,1бар","Ø 4,8мм",RT 1/4 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-8R-C-KA,"10,3..24,1бар",Ø 10мм,RT 1/2 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-MF-4N-C-KA,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Kalrez,206 бар,-23°,315°C
,CVA-MF-8N-C-KA,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Kalrez,206 бар,-23°,315°C
,CVA-F-4N-D-KA,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 внутр.,Kalrez,206 бар,-23°,315°C
,CVA-F-8N-D-KA,"24,1..41,4бар",Ø 10мм,NPT 1/2 внутр.,Kalrez,206 бар,-23°,315°C
,CVA-M-4N-D-KA,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-8N-D-KA,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-4R-D-KA,"24,1..41,4бар","Ø 4,8мм",RT 1/4 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-M-8R-D-KA,"24,1..41,4бар",Ø 10мм,RT 1/2 наруж.,Kalrez,206 бар,-23°,315°C
,CVA-MF-4N-D-KA,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Kalrez,206 бар,-23°,315°C
,CVA-MF-8N-D-KA,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Kalrez,206 бар,-23°,315°C
,CVA-F-4N-A-PE,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 внутр.,PTFE,206 бар,-46°,232°C
,CVA-F-8N-A-PE,"0,2..3,5бар",Ø 10мм,NPT 1/2 внутр.,PTFE,206 бар,-46°,232°C
,CVA-M-4N-A-PE,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-8N-A-PE,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-4R-A-PE,"0,2..3,5бар","Ø 4,8мм",RT 1/4 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-8R-A-PE,"0,2..3,5бар",Ø 10мм,RT 1/2 наруж.,PTFE,206 бар,-46°,232°C
,CVA-MF-4N-A-PE,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,PTFE,206 бар,-46°,232°C
,CVA-MF-8N-A-PE,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж. и внутр.,PTFE,206 бар,-46°,232°C
,CVA-F-4N-B-PE,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 внутр.,PTFE,206 бар,-46°,232°C
,CVA-F-8N-B-PE,"3,5..10,3бар",Ø 10мм,NPT 1/2 внутр.,PTFE,206 бар,-46°,232°C
,CVA-M-4N-B-PE,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-8N-B-PE,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-4R-B-PE,"3,5..10,3бар","Ø 4,8мм",RT 1/4 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-8R-B-PE,"3,5..10,3бар",Ø 10мм,RT 1/2 наруж.,PTFE,206 бар,-46°,232°C
,CVA-MF-4N-B-PE,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,PTFE,206 бар,-46°,232°C
,CVA-MF-8N-B-PE,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж. и внутр.,PTFE,206 бар,-46°,232°C
,CVA-F-4N-C-PE,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 внутр.,PTFE,206 бар,-46°,232°C
,CVA-F-8N-C-PE,"10,3..24,1бар",Ø 10мм,NPT 1/2 внутр.,PTFE,206 бар,-46°,232°C
,CVA-M-4N-C-PE,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-8N-C-PE,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-4R-C-PE,"10,3..24,1бар","Ø 4,8мм",RT 1/4 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-8R-C-PE,"10,3..24,1бар",Ø 10мм,RT 1/2 наруж.,PTFE,206 бар,-46°,232°C
,CVA-MF-4N-C-PE,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,PTFE,206 бар,-46°,232°C
,CVA-MF-8N-C-PE,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж. и внутр.,PTFE,206 бар,-46°,232°C
,CVA-F-4N-D-PE,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 внутр.,PTFE,206 бар,-46°,232°C
,CVA-F-8N-D-PE,"24,1..41,4бар",Ø 10мм,NPT 1/2 внутр.,PTFE,206 бар,-46°,232°C
,CVA-M-4N-D-PE,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-8N-D-PE,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-4R-D-PE,"24,1..41,4бар","Ø 4,8мм",RT 1/4 наруж.,PTFE,206 бар,-46°,232°C
,CVA-M-8R-D-PE,"24,1..41,4бар",Ø 10мм,RT 1/2 наруж.,PTFE,206 бар,-46°,232°C
,CVA-MF-4N-D-PE,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,PTFE,206 бар,-46°,232°C
,CVA-MF-8N-D-PE,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж. и внутр.,PTFE,206 бар,-46°,232°C
,CVA-F-4N-A-NE,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 внутр.,Neoprene,206 бар,-40°,121°C
,CVA-F-8N-A-NE,"0,2..3,5бар",Ø 10мм,NPT 1/2 внутр.,Neoprene,206 бар,-40°,121°C
,CVA-M-4N-A-NE,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-8N-A-NE,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-4R-A-NE,"0,2..3,5бар","Ø 4,8мм",RT 1/4 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-8R-A-NE,"0,2..3,5бар",Ø 10мм,RT 1/2 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-MF-4N-A-NE,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Neoprene,206 бар,-40°,121°C
,CVA-MF-8N-A-NE,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Neoprene,206 бар,-40°,121°C
,CVA-F-4N-B-NE,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 внутр.,Neoprene,206 бар,-40°,121°C
,CVA-F-8N-B-NE,"3,5..10,3бар",Ø 10мм,NPT 1/2 внутр.,Neoprene,206 бар,-40°,121°C
,CVA-M-4N-B-NE,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-8N-B-NE,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-4R-B-NE,"3,5..10,3бар","Ø 4,8мм",RT 1/4 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-8R-B-NE,"3,5..10,3бар",Ø 10мм,RT 1/2 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-MF-4N-B-NE,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Neoprene,206 бар,-40°,121°C
,CVA-MF-8N-B-NE,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Neoprene,206 бар,-40°,121°C
,CVA-F-4N-C-NE,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 внутр.,Neoprene,206 бар,-40°,121°C
,CVA-F-8N-C-NE,"10,3..24,1бар",Ø 10мм,NPT 1/2 внутр.,Neoprene,206 бар,-40°,121°C
,CVA-M-4N-C-NE,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-8N-C-NE,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-4R-C-NE,"10,3..24,1бар","Ø 4,8мм",RT 1/4 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-8R-C-NE,"10,3..24,1бар",Ø 10мм,RT 1/2 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-MF-4N-C-NE,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Neoprene,206 бар,-40°,121°C
,CVA-MF-8N-C-NE,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Neoprene,206 бар,-40°,121°C
,CVA-F-4N-D-NE,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 внутр.,Neoprene,206 бар,-40°,121°C
,CVA-F-8N-D-NE,"24,1..41,4бар",Ø 10мм,NPT 1/2 внутр.,Neoprene,206 бар,-40°,121°C
,CVA-M-4N-D-NE,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-8N-D-NE,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-4R-D-NE,"24,1..41,4бар","Ø 4,8мм",RT 1/4 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-M-8R-D-NE,"24,1..41,4бар",Ø 10мм,RT 1/2 наруж.,Neoprene,206 бар,-40°,121°C
,CVA-MF-4N-D-NE,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Neoprene,206 бар,-40°,121°C
,CVA-MF-8N-D-NE,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Neoprene,206 бар,-40°,121°C
,CVA-F-4N-A-EP,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-F-8N-A-EP,"0,2..3,5бар",Ø 10мм,NPT 1/2 внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-4N-A-EP,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж.,Этиленпропилен,206 бар,-46°,149°C
