#,Заказной код,Параметр:Заказной код:Давление открытия,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,CV6-M-16N-1/3-NE,"0,023бар",8,18,NPT 1 наруж.,Neoprene,137бар,-40°С,121°С
,CV6-M-16R-1/3-NE,"0,023бар",8,18,RT 1 наруж.,Neoprene,137бар,-40°С,121°С
,CV1-H-3M-1/3-EP,"0,023бар","0,16","4,8",Hy-Lok 3mm,Этиленпропилен,206бар,-46°С,149°С
,CV1-H-6M-1/3-EP,"0,023бар","0,47","4,8",Hy-Lok 6mm,Этиленпропилен,206бар,-46°С,149°С
,CV2-H-8M-1/3-EP,"0,023бар","0,47","4,8",Hy-Lok 8mm,Этиленпропилен,206бар,-46°С,149°С
,CV2-H-10M-1/3-EP,"0,023бар","1,48","7,1",Hy-Lok 10mm,Этиленпропилен,206бар,-46°С,149°С
,CV3-H-12M-1/3-EP,"0,023бар","1,7",10,Hy-Lok 12mm,Этиленпропилен,206бар,-46°С,149°С
,CV6-H-25M-1/3-EP,"0,023бар",8,18,Hy-Lok 25mm,Этиленпропилен,137бар,-46°С,149°С
,CV1-H-2T-1/3-EP,"0,023бар","0,16","4,8",Hy-Lok 1/8,Этиленпропилен,206бар,-46°С,149°С
,CV1-H-4T-1/3-EP,"0,023бар","0,47","4,8",Hy-Lok 1/4,Этиленпропилен,206бар,-46°С,149°С
,CV2-H-6T-1/3-EP,"0,023бар","1,48","7,1",Hy-Lok 3/8,Этиленпропилен,206бар,-46°С,149°С
,CV3-H-8T-1/3-EP,"0,023бар","1,7",10,Hy-Lok 1/2,Этиленпропилен,206бар,-46°С,149°С
,CV4-H-10T-1/3-EP,"0,023бар","2,6","13,5",Hy-Lok 5/8,Этиленпропилен,206бар,-46°С,149°С
,CV5-H-12T-1/3-EP,"0,023бар","5,2",16,Hy-Lok 3/4,Этиленпропилен,137бар,-46°С,149°С
,CV6-H-16T-1/3-EP,"0,023бар",8,18,Hy-Lok 1,Этиленпропилен,137бар,-46°С,149°С
,CV1-F-2N-1/3-EP,"0,023бар","0,47","4,8",NPT 1/8 внутр.,Этиленпропилен,206бар,-46°С,149°С
,CV1-F-2R-1/3-EP,"0,023бар","0,47","4,8",RT 1/8 внутр.,Этиленпропилен,206бар,-46°С,149°С
,CV1-F-4N-1/3-EP,"0,023бар","1,48","7,1",NPT 1/4 внутр.,Этиленпропилен,206бар,-46°С,149°С
,CV2-F-4R-1/3-EP,"0,023бар","1,48","7,1",RT 1/4 внутр.,Этиленпропилен,206бар,-46°С,149°С
