#;Заказной код;Параметр:Заказной код:Подсоединение;Параметр:Заказной код:Давление;Параметр:Заказной код:Cv;Параметр:Заказной код:Ø;Параметр:Заказной код:Температура минимальная;Параметр:Заказной код:Температура максимальная;Параметр:Заказной код:Материал седла;Параметр:Заказной код:Форма корпуса;Условное обозначение:Заказной код:Подсоединение
;HB2-B3-H-10M;Hy-Lok 10мм;414 бар;0,87;6,4;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 10мм
;HB2-B3-H-10M-P;Hy-Lok 10мм;414 бар;0,87;6,4;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 10мм
;HB2-B3-H-10M-PK;Hy-Lok 10мм;414 бар;0,87;6,4;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 10мм
;HB1-B3-H-4T;Hy-Lok 1/4;414 бар;0,63;4,2;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 1/4
;HB1-B3-H-4T-P;Hy-Lok 1/4;103 бар;0,63;4,2;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 1/4
;HB2-B3-H-6T;Hy-Lok 3/8;414 бар;0,87;6,4;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 3/8
;HB2-B3-H-6T-P;Hy-Lok 3/8;103 бар;0,87;6,4;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 3/8
;HB3-B3-H-8T;Hy-Lok 1/2;414 бар;3,62;10,3;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 1/2
;HB3-B3-H-8T-P;Hy-Lok 1/2;103 бар;3,62;10,3;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;Hy-Lok 1/2
;HB2-B3-F-4N;NPT 1/4;414 бар;0,87;6,4;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/4 внутр.
