#,Заказной код,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:CV,Параметр:Заказной код:Ду(мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Минимальная температура,Параметр:Заказной код:Максимальная температура,Параметр:Заказной код:Седло Шара,Параметр:Заказной код:Уплотнение штуцеров,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Сальник
,H1B-3S-F-6R-ML,внутр.,"331,2 бар","7,5",10,RT 3/8,-30°C,130°C,PVDF,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3S-F-6R-PC,внутр.,"331,2 бар","7,5",10,RT 3/8,-30°C,130°C,PCTFE,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3S-F-6R-PC-ML,внутр.,"331,2 бар","7,5",10,RT 3/8,-30°C,130°C,PCTFE,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3S-F-6R-PK,внутр.,"331,2 бар","7,5",10,RT 3/8,-30°C,130°C,PEEK,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3S-F-6R-PK-ML,внутр.,552 бар,"7,5",10,RT 3/8,-54°C,260°C,PEEK,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3S-F-8N,внутр.,"331,2 бар","7,5",10,NPT 1/2,-30°C,130°C,PVDF,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3S-F-8N-ML,внутр.,"331,2 бар","7,5",10,NPT 1/2,-30°C,130°C,PVDF,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3S-F-8N-PC,внутр.,"331,2 бар","7,5",10,NPT 1/2,-30°C,130°C,PCTFE,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3S-F-8N-PC-ML,внутр.,"331,2 бар","7,5",10,NPT 1/2,-30°C,130°C,PCTFE,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3S-F-8N-PK,внутр.,552 бар,"7,5",10,NPT 1/2,-54°C,260°C,PEEK,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3S-F-8N-PK-ML,внутр.,552 бар,"7,5",10,NPT 1/2,-54°C,260°C,PEEK,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3S-F-8R,внутр.,"331,2 бар",10,"12,7",RT 1/2,-30°C,130°C,PVDF,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3S-F-8R-ML,внутр.,552 бар,10,"12,7",RT 1/2,-54°C,260°C,PVDF,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3S-F-8R-PC,внутр.,"331,2 бар",10,"12,7",RT 1/2,-30°C,130°C,PCTFE,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3S-F-8R-PC-ML,внутр.,552 бар,10,"12,7",RT 1/2,-54°C,260°C,PCTFE,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-3S-F-8R-PK,внутр.,"331,2 бар",10,"12,7",RT 1/2,-30°C,130°C,PEEK,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-3S-F-8R-PK-ML,внутр.,552 бар,10,"12,7",RT 1/2,-54°C,260°C,PEEK,PTFE,3-х ходовой вход сбоку<br/><img src=assets/inventory/105_3SH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-10M,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-10M-ML,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-10M-PC,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-10M-PC-ML,,414 бар,"3,7","7,1",Hy-Lok 10мм,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-10M-PK,,690 бар,"3,7","7,1",Hy-Lok 10мм,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-10M-PK-ML,,690 бар,"3,7","7,1",Hy-Lok 10мм,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-12M,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-12M-ML,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-12M-PC,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-12M-PC-ML,,414 бар,"7,5",10,Hy-Lok 12мм,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-12M-PK,,690 бар,"7,5",10,Hy-Lok 12мм,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-12M-PK-ML,,690 бар,"7,5",10,Hy-Lok 12мм,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-4T,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-4T-ML,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-4T-PC,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-4T-PC-ML,,414 бар,"1,2","4,8",Hy-Lok 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-4T-PK,,690 бар,"1,2","4,8",Hy-Lok 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-4T-PK-ML,,690 бар,"1,2","4,8",Hy-Lok 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-6M,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-6M-ML,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-6M-PC,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-6M-PC-ML,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-6M-PK,,690 бар,"1,2","4,8",Hy-Lok 6мм,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-6M-PK-ML,,690 бар,"1,2","4,8",Hy-Lok 6мм,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-6T,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-6T-ML,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-6T-PC,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-6T-PC-ML,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-6T-PK,,690 бар,"3,7","7,1",Hy-Lok 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-6T-PK-ML,,690 бар,"3,7","7,1",Hy-Lok 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-8T,,414 бар,"3,7","7,1",Hy-Lok 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-8T-ML,,414 бар,"7,5",10,Hy-Lok 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-8T-PC,,414 бар,"3,7","7,1",Hy-Lok 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-8T-PC-ML,,414 бар,"7,5",10,Hy-Lok 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-H-8T-PK,,690 бар,"3,7","7,1",Hy-Lok 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-H-8T-PK-ML,,690 бар,"7,5",10,Hy-Lok 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-4N,внутр.,414 бар,"7,5",10,NPT 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-4N-ML,внутр.,414 бар,"7,5",10,NPT 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-4N-PC,внутр.,414 бар,"7,5",10,NPT 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-4N-PC-ML,внутр.,414 бар,"7,5",10,NPT 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-4N-PK,внутр.,690 бар,"7,5",10,NPT 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-4N-PK-ML,внутр.,690 бар,"7,5",10,NPT 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-4R,внутр.,414 бар,"7,5",10,RT 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-4R-ML,внутр.,414 бар,"7,5",10,RT 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-4R-PC,внутр.,414 бар,"7,5",10,RT 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-4R-PC-ML,внутр.,414 бар,"7,5",10,RT 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-4R-PK,внутр.,690 бар,"7,5",10,RT 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-4R-PK-ML,внутр.,690 бар,"7,5",10,RT 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-6N,внутр.,414 бар,"7,5",10,NPT 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-6N-ML,внутр.,414 бар,"7,5",10,NPT 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-6N-PC,внутр.,414 бар,"7,5",10,NPT 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-6N-PC-ML,внутр.,414 бар,"7,5",10,NPT 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-6N-PK,внутр.,690 бар,"7,5",10,NPT 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-6N-PK-ML,внутр.,690 бар,"7,5",10,NPT 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-6R,внутр.,414 бар,"7,5",10,RT 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-6R-ML,внутр.,414 бар,"7,5",10,RT 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-6R-PC,внутр.,414 бар,"7,5",10,RT 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-6R-PC-ML,внутр.,414 бар,"7,5",10,RT 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-6R-PK,внутр.,690 бар,"7,5",10,RT 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-6R-PK-ML,внутр.,690 бар,"7,5",10,RT 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-8N,внутр.,414 бар,"7,5",10,NPT 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-8N-ML,внутр.,414 бар,"7,5",10,NPT 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-8N-PC,внутр.,414 бар,"7,5",10,NPT 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-8N-PC-ML,внутр.,414 бар,"7,5",10,NPT 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-8N-PK,внутр.,690 бар,"7,5",10,NPT 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-8N-PK-ML,внутр.,690 бар,"7,5",10,NPT 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-8R,внутр.,414 бар,"7,5",10,RT 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-8R-ML,внутр.,414 бар,"7,5",10,RT 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-8R-PC,внутр.,414 бар,"7,5",10,RT 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-8R-PC-ML,внутр.,414 бар,"7,5",10,RT 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-F-8R-PK,внутр.,690 бар,"7,5",10,RT 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-F-8R-PK-ML,внутр.,690 бар,"7,5",10,RT 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-4N,наруж.,414 бар,"3,7","7,1",NPT 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-4N-ML,наруж.,414 бар,"3,7","7,1",NPT 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-4N-PC-ML,наруж.,414 бар,"3,7","7,1",NPT 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-4N-PK-ML,наруж.,690 бар,"3,7","7,1",NPT 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-4R-ML,наруж.,414 бар,"3,7","7,1",RT 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-4R-PC-ML,наруж.,414 бар,"3,7","7,1",RT 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-4R-PK-ML,наруж.,690 бар,"3,7","7,1",RT 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-6N-ML,наруж.,414 бар,"7,2","9,7",NPT 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-6N-PC-ML,наруж.,414 бар,"7,2","9,7",NPT 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-6N-PK-ML,наруж.,690 бар,"7,2","9,7",NPT 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-6R-ML,наруж.,414 бар,"7,2","9,7",RT 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-6R-PC-ML,наруж.,414 бар,"7,2","9,7",RT 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-6R-PK-ML,наруж.,690 бар,"7,2","9,7",RT 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-8N-ML,наруж.,414 бар,"7,5",10,NPT 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-8N-PC-ML,наруж.,414 бар,"7,5",10,NPT 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-A-M-8N-PK-ML,наруж.,690 бар,"7,5",10,NPT 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
