#,Заказной код,Параметр:Заказной код:Усилие на валу,Параметр:Заказной код:Напряжение,Параметр:Заказной код:Дополнительные опции
,AR31E080.INT.E.220/50,8000 Н ,220/50,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E100.INT.E.220/50,10000 Н,220/50,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E160.INT.E.220/50,16000 Н ,220/50,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E200.INT.E.220/50,20000 Н ,220/50,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E300.INT.E.220/50,30000 Н,220/50,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E030.INT.E.24/DC,3000 Н ,24/DC,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E050.INT.E.24/DC,5000 Н,24/DC,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E080.INT.E.24/DC,8000 Н ,24/DC,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E100.INT.E.24/DC,10000 Н,24/DC,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E160.INT.E.24/DC,16000 Н ,24/DC,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E200.INT.E.24/DC,20000 Н ,24/DC,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E300.INT.E.24/DC,30000 Н,24/DC,интеллектуальный блок ручное управление  позиционер -40°С   
,AR31E030.INT.F.220/50,3000 Н ,220/50,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E050.INT.F.220/50,5000 Н,220/50,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E080.INT.F.220/50,8000 Н ,220/50,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E100.INT.F.220/50,10000 Н,220/50,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E160.INT.F.220/50,16000 Н ,220/50,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E200.INT.F.220/50,20000 Н ,220/50,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E300.INT.F.220/50,30000 Н,220/50,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E030.INT.F.24/DC,3000 Н ,24/DC,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E050.INT.F.24/DC,5000 Н,24/DC,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E080.INT.F.24/DC,8000 Н ,24/DC,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E100.INT.F.24/DC,10000 Н,24/DC,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E160.INT.F.24/DC,16000 Н ,24/DC,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E200.INT.F.24/DC,20000 Н ,24/DC,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E300.INT.F.24/DC,30000 Н,24/DC,интеллектуальный блок выносное  ручное управление вкл/выкл  -40°С
,AR31E030.INT.G.220/50,3000 Н ,220/50,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E050.INT.G.220/50,5000 Н,220/50,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E080.INT.G.220/50,8000 Н ,220/50,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E100.INT.G.220/50,10000 Н,220/50,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E160.INT.G.220/50,16000 Н ,220/50,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E200.INT.G.220/50,20000 Н ,220/50,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E300.INT.G.220/50,30000 Н,220/50,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E030.INT.G.24/DC,3000 Н ,24/DC,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E050.INT.G.24/DC,5000 Н,24/DC,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E080.INT.G.24/DC,8000 Н ,24/DC,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E100.INT.G.24/DC,10000 Н,24/DC,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E160.INT.G.24/DC,16000 Н ,24/DC,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E200.INT.G.24/DC,20000 Н ,24/DC,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
,AR31E300.INT.G.24/DC,30000 Н,24/DC,интеллектуальный блок выносное ручное управление позиционер -40°С  ATEX
