Заказной код,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал кольца,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
CVH2-F-8N-1/3,"1,8","7,8",NPT 1/2 внутр.,Viton,414 бар,-23°C,191°C
CVH3-F-12N-1/3,"4,7",15,NPT 3/4 внутр.,Viton,345 бар,-23°C,191°C
CVH3-F-16N-1/3,"4,7",15,NPT 1 внутр.,Viton,345 бар,-23°C,191°C
CVH1-F-4G-1/3,"0,67","4,8",G 1/4 внутр.,Viton,414 бар,-23°C,191°C
CVH2-F-8G-1/3,"1,8","7,8",G 1/2 внутр.,Viton,414 бар,-23°C,191°C
CVH1-M-4N-1/3,"0,67","4,8",NPT 1/4 наруж.,Viton,414 бар,-23°C,191°C
CVH2-M-6N-1/3,"1,8","7,8",NPT 3/4 наруж.,Viton,414 бар,-23°C,191°C
CVH2-M-8N-1/3,"1,8","7,8",NPT 1/2 наруж.,Viton,414 бар,-23°C,191°C
CVH3-M-12N-1/3,"4,7",15,NPT 3/4 наруж.,Viton,345 бар,-23°C,191°C
CVH3-M-16N-1/3,"4,7",15,NPT 1 наруж.,Viton,345 бар,-23°C,191°C
CVH1-H-3M-1/3-BU,"0,67","4,8",Hy-Lok 3mm,Buna N,414 бар,-23°C,121°C
CVH1-H-6M-1/3-BU,"0,67","4,8",Hy-Lok 6mm,Buna N,414 бар,-23°C,121°C
CVH2-H-8M-1/3-BU,"1,8","7,8",Hy-Lok 8mm,Buna N,414 бар,-23°C,121°C
CVH2-H-10M-1/3-BU,"1,8","7,8",Hy-Lok 10mm,Buna N,414 бар,-23°C,121°C
CVH2-H-12M-1/3-BU,"1,8","7,8",Hy-Lok 12mm,Buna N,414 бар,-23°C,121°C
CVH2-H-14M-1/3-BU,"1,8","7,8",Hy-Lok 14mm,Buna N,414 бар,-23°C,121°C
CVH2-H-16M-1/3-BU,"1,8","7,8",Hy-Lok 16mm,Buna N,414 бар,-23°C,121°C
CVH3-H-18M-1/3-BU,"4,7",15,Hy-Lok 18mm,Buna N,345 бар,-23°C,121°C
CVH3-H-22M-1/3-BU,"4,7",15,Hy-Lok 22mm,Buna N,345 бар,-23°C,121°C
CVH3-H-25M-1/3-BU,"4,7",15,Hy-Lok 25mm,Buna N,345 бар,-23°C,121°C
CVH1-H-2T-1/3-BU,"0,67","4,8",Hy-Lok 1/8,Buna N,414 бар,-23°C,121°C
CVH1-H-4T-1/3-BU,"1,8","4,8",Hy-Lok 1/4,Buna N,414 бар,-23°C,121°C
CVH2-H-6T-1/3-BU,"1,8","7,8",Hy-Lok 3/8,Buna N,414 бар,-23°C,121°C
CVH2-H-8T-1/3-BU,"1,8","7,8",Hy-Lok 1/2,Buna N,414 бар,-23°C,121°C
CVH3-H-12T-1/3-BU,"4,7",15,Hy-Lok 3/4,Buna N,345 бар,-23°C,121°C
CVH3-H-16T-1/3-BU,"4,7",15,Hy-Lok 1,Buna N,345 бар,-23°C,121°C
CVH1-F-4N-1/3-BU,"0,67","4,8",NPT 1/4 внутр.,Buna N,414 бар,-23°C,121°C
CVH2-F-6N-1/3-BU,"1,8","7,8",NPT 3/8 внутр.,Buna N,414 бар,-23°C,121°C
CVH2-F-8N-1/3-BU,"1,8","7,8",NPT 1/2 внутр.,Buna N,414 бар,-23°C,121°C
CVH3-F-12N-1/3-BU,"4,7",15,NPT 3/4 внутр.,Buna N,345 бар,-23°C,121°C
CVH3-F-16N-1/3-BU,"4,7",15,NPT 1 внутр.,Buna N,345 бар,-23°C,121°C
CVH1-F-4G-1/3-BU,"0,67","4,8",G 1/4 внутр.,Buna N,414 бар,-23°C,121°C
CVH2-F-8G-1/3-BU,"1,8","7,8",G 1/2 внутр.,Buna N,414 бар,-23°C,121°C
CVH1-M-4N-1/3-BU,"0,67","4,8",NPT 1/4 наруж.,Buna N,414 бар,-23°C,121°C
CVH2-M-6N-1/3-BU,"1,8","7,8",NPT 3/4 наруж.,Buna N,414 бар,-23°C,121°C
CVH2-M-8N-1/3-BU,"1,8","7,8",NPT 1/2 наруж.,Buna N,414 бар,-23°C,121°C
CVH3-M-12N-1/3-BU,"4,7",15,NPT 3/4 наруж.,Buna N,345 бар,-23°C,121°C
CVH3-M-16N-1/3-BU,"4,7",15,NPT 1 наруж.,Buna N,345 бар,-23°C,121°C
CVH1-H-3M-1/3-EP,"0,67","4,8",Hy-Lok 3mm,Этиленпропилен,414 бар,-46°C,149°C
CVH1-H-6M-1/3-EP,"0,67","4,8",Hy-Lok 6mm,Этиленпропилен,414 бар,-46°C,149°C
CVH2-H-8M-1/3-EP,"1,8","7,8",Hy-Lok 8mm,Этиленпропилен,414 бар,-46°C,149°C
CVH2-H-10M-1/3-EP,"1,8","7,8",Hy-Lok 10mm,Этиленпропилен,414 бар,-46°C,149°C
CVH2-H-12M-1/3-EP,"1,8","7,8",Hy-Lok 12mm,Этиленпропилен,414 бар,-46°C,149°C
CVH2-H-14M-1/3-EP,"1,8","7,8",Hy-Lok 14mm,Этиленпропилен,414 бар,-46°C,149°C
CVH2-H-16M-1/3-EP,"1,8","7,8",Hy-Lok 16mm,Этиленпропилен,414 бар,-46°C,149°C
CVH3-H-18M-1/3-EP,"4,7",15,Hy-Lok 18mm,Этиленпропилен,345 бар,-46°C,149°C
CVH3-H-22M-1/3-EP,"4,7",15,Hy-Lok 22mm,Этиленпропилен,345 бар,-46°C,149°C
CVH3-H-25M-1/3-EP,"4,7",15,Hy-Lok 25mm,Этиленпропилен,345 бар,-46°C,149°C
CVH1-H-2T-1/3-EP,"0,67","4,8",Hy-Lok 1/8,Этиленпропилен,414 бар,-46°C,149°C
CVH1-H-4T-1/3-EP,"1,8","4,8",Hy-Lok 1/4,Этиленпропилен,414 бар,-46°C,149°C
CVH2-H-6T-1/3-EP,"1,8","7,8",Hy-Lok 3/8,Этиленпропилен,414 бар,-46°C,149°C
CVH2-H-8T-1/3-EP,"1,8","7,8",Hy-Lok 1/2,Этиленпропилен,414 бар,-46°C,149°C
CVH3-H-12T-1/3-EP,"4,7",15,Hy-Lok 3/4,Этиленпропилен,345 бар,-46°C,149°C
CVH3-H-16T-1/3-EP,"4,7",15,Hy-Lok 1,Этиленпропилен,345 бар,-46°C,149°C
CVH1-F-4N-1/3-EP,"0,67","4,8",NPT 1/4 внутр.,Этиленпропилен,414 бар,-46°C,149°C
CVH2-F-6N-1/3-EP,"1,8","7,8",NPT 3/8 внутр.,Этиленпропилен,414 бар,-46°C,149°C
CVH2-F-8N-1/3-EP,"1,8","7,8",NPT 1/2 внутр.,Этиленпропилен,414 бар,-46°C,149°C
CVH3-F-12N-1/3-EP,"4,7",15,NPT 3/4 внутр.,Этиленпропилен,345 бар,-46°C,149°C
CVH3-F-16N-1/3-EP,"4,7",15,NPT 1 внутр.,Этиленпропилен,345 бар,-46°C,149°C
CVH1-F-4G-1/3-EP,"0,67","4,8",G 1/4 внутр.,Этиленпропилен,414 бар,-46°C,149°C
CVH2-F-8G-1/3-EP,"1,8","7,8",G 1/2 внутр.,Этиленпропилен,414 бар,-46°C,149°C
CVH1-M-4N-1/3-EP,"0,67","4,8",NPT 1/4 наруж.,Этиленпропилен,414 бар,-46°C,149°C
CVH2-M-6N-1/3-EP,"1,8","7,8",NPT 3/4 наруж.,Этиленпропилен,414 бар,-46°C,149°C
CVH2-M-8N-1/3-EP,"1,8","7,8",NPT 1/2 наруж.,Этиленпропилен,414 бар,-46°C,149°C
CVH3-M-12N-1/3-EP,"4,7",15,NPT 3/4 наруж.,Этиленпропилен,345 бар,-46°C,149°C
CVH3-M-16N-1/3-EP,"4,7",15,NPT 1 наруж.,Этиленпропилен,345 бар,-46°C,149°C
