#,Заказной код,Размер,Материал,Параметр:Материал:Материал,Параметр:Размер:Подсоединение,Параметр:Размер:Ду,Параметр:Размер:Cv,Параметр:Размер:Давление,Параметр:Размер:Температура
,,H-16M-BRAS,,,Hy-Lok 16мм,"Ø 12,5мм",8,69 бар,до 232°C
,,H-18M-BRAS,,,Hy-Lok 18мм,"Ø 12,5мм",8,69 бар,до 232°C
,,H-20M-BRAS,,,Hy-Lok 20мм,"Ø 12,5мм",8,69 бар,до 232°C
,,H-25M-BRAS,,,Hy-Lok 25мм,Ø 16мм,25,69 бар,до 232°C
,,H-2T-BRAS,,,"Hy-Lok 1/8""",-,-,69 бар,до 232°C
,,H-4T-BRAS,,,"Hy-Lok 1/4""",Ø 5мм,0.84,69 бар,до 232°C
,,H-6T-BRAS,,,"Hy-Lok 3/8""","Ø 7,5мм",4.2,69 бар,до 232°C
,,H-8T-BRAS,,,"Hy-Lok 1/2""",Ø 9мм,4.2,69 бар,до 232°C
,,H-10T-BRAS,,,"Hy-Lok 5/8""","Ø 12,5мм",8,69 бар,до 232°C
,,H-12T-BRAS,,,"Hy-Lok 3/4""","Ø 12,5мм",8,69 бар,до 232°C
,,H-16T-BRAS,,,"Hy-Lok 1""",Ø 16мм,25,69 бар,до 232°C
,,F-4N,,,"NPT 1/4""",Ø 5мм,0.84,69 бар,до 232°C
,,F-6N,,,"NPT 3/8""","Ø 7,5мм",4.2,69 бар,до 232°C
,,F-8N,,,"NPT 1/2""",Ø 9мм,4.2,69 бар,до 232°C
,,F-12N,,,"NPT 3/4""","Ø 12,5мм",8,69 бар,до 232°C
,,F-16N,,,"NPT 1""",Ø 16мм,25,69 бар,до 232°C
,,F-4R,,,"RT 1/4""",Ø 5мм,0.84,69 бар,до 232°C
,,F-6R,,,"RT 3/8""","Ø 7,5мм",4.2,69 бар,до 232°C
,,F-8R,,,"RT 1/2""",Ø 9мм,4.2,69 бар,до 232°C
,,F-12R,,,"RT 3/4""","Ø 12,5мм",8,69 бар,до 232°C
,,F-16R,,,"RT 1""",Ø 16мм,25,69 бар,до 232°C
,,F-4G,,,"G 1/4""",Ø 5мм,0.84,69 бар,до 232°C
,,F-6G,,,"G 3/8""",Ø 5мм,0.84,69 бар,до 232°C
,,F-8G,,,"G 1/2""",Ø 9мм,4.2,69 бар,до 232°C
,,F-12G,,,"G 3/4""","Ø 12,5мм",8,69 бар,до 232°C
,,F-16G,,,"G 1""",Ø 16мм,25,69 бар,до 232°C
,,F-4N-BRAS,,,"NPT 1/4""",Ø 5мм,0.84,69 бар,до 232°C
,,F-6N-BRAS,,,"NPT 3/8""","Ø 7,5мм",4.2,69 бар,до 232°C
,,F-8N-BRAS,,,"NPT 1/2""",Ø 9мм,4.2,69 бар,до 232°C
,,F-12N-BRAS,,,"NPT 3/4""","Ø 12,5мм",8,69 бар,до 232°C
,,F-16N-BRAS,,,"NPT 1""",Ø 16мм,25,69 бар,до 232°C
,,F-4R-BRAS,,,"RT 1/4""",Ø 5мм,0.84,69 бар,до 232°C
,,F-6R-BRAS,,,"RT 3/8""","Ø 7,5мм",4.2,69 бар,до 232°C
,,F-8R-BRAS,,,"RT 1/2""",Ø 9мм,4.2,69 бар,до 232°C
,,F-12R-BRAS,,,"RT 3/4""","Ø 12,5мм",8,69 бар,до 232°C
,,F-16R-BRAS,,,"RT 1""",Ø 16мм,25,69 бар,до 232°C
,,F-4G-BRAS,,,"G 1/4""",Ø 5мм,0.84,69 бар,до 232°C
,,F-6G-BRAS,,,"G 3/8""",Ø 5мм,0.84,69 бар,до 232°C
,,F-8G-BRAS,,,"G 1/2""",Ø 9мм,4.2,69 бар,до 232°C
,,F-12G-BRAS,,,"G 3/4""","Ø 12,5мм",8,69 бар,до 232°C
,,F-16G-BRAS,,,"G 1""",Ø 16мм,25,69 бар,до 232°C
