#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Блок питания,Параметр:Заказной код:Корпус,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Управление
,TLFC-04-A-1-B-2-A-1-1,0-200 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-04-A-1-B-2-A-1-2,0-200 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-04-A-1-B-2-B-1-1,0-200 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-04-A-1-B-2-B-1-2,0-200 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-04-T-1-W-1-A-1-1,0-200 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-04-T-1-W-1-A-1-2,0-200 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-04-T-1-W-1-B-1-1,0-200 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-04-T-1-W-1-B-1-2,0-200 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-04-T-1-W-2-A-1-1,0-200 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-04-T-1-W-2-A-1-2,0-200 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-04-T-1-W-2-B-1-1,0-200 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-04-T-1-W-2-B-1-2,0-200 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-04-T-1-B-1-A-1-1,0-200 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-04-T-1-B-1-A-1-2,0-200 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-04-T-1-B-1-B-1-1,0-200 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-04-T-1-B-1-B-1-2,0-200 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-04-T-1-B-2-A-1-1,0-200 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-04-T-1-B-2-A-1-2,0-200 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-04-T-1-B-2-B-1-1,0-200 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-04-T-1-B-2-B-1-2,0-200 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-05-A-1-W-1-A-1-1,0-500 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-05-A-1-W-1-A-1-2,0-500 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-05-A-1-W-1-B-1-1,0-500 нсм³/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-05-A-1-W-1-B-1-2,0-500 нсм³/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-05-A-1-W-2-A-1-1,0-500 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-05-A-1-W-2-A-1-2,0-500 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-05-A-1-W-2-B-1-1,0-500 нсм³/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-05-A-1-W-2-B-1-2,0-500 нсм³/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-05-A-1-B-1-A-1-1,0-500 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-05-A-1-B-1-A-1-2,0-500 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-05-A-1-B-1-B-1-1,0-500 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-05-A-1-B-1-B-1-2,0-500 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-05-A-1-B-2-A-1-1,0-500 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-05-A-1-B-2-A-1-2,0-500 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-05-A-1-B-2-B-1-1,0-500 нсм³/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-05-A-1-B-2-B-1-2,0-500 нсм³/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-05-T-1-W-1-A-1-1,0-500 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-05-T-1-W-1-A-1-2,0-500 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-05-T-1-W-1-B-1-1,0-500 нсм³/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-05-T-1-W-1-B-1-2,0-500 нсм³/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-05-T-1-W-2-A-1-1,0-500 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-05-T-1-W-2-A-1-2,0-500 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-05-T-1-W-2-B-1-1,0-500 нсм³/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-05-T-1-W-2-B-1-2,0-500 нсм³/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-05-T-1-B-1-A-1-1,0-500 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-05-T-1-B-1-A-1-2,0-500 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-05-T-1-B-1-B-1-1,0-500 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-05-T-1-B-1-B-1-2,0-500 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-05-T-1-B-2-A-1-1,0-500 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-05-T-1-B-2-A-1-2,0-500 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-05-T-1-B-2-B-1-1,0-500 нсм³/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-05-T-1-B-2-B-1-2,0-500 нсм³/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-06-A-1-W-1-A-1-1,0-1 нл/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-06-A-1-W-1-A-1-2,0-1 нл/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-06-A-1-W-1-B-1-1,0-1 нл/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-06-A-1-W-1-B-1-2,0-1 нл/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-06-A-1-W-2-A-1-1,0-1 нл/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-06-A-1-W-2-A-1-2,0-1 нл/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-06-A-1-W-2-B-1-1,0-1 нл/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-06-A-1-W-2-B-1-2,0-1 нл/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-06-A-1-B-1-A-1-1,0-1 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-06-A-1-B-1-A-1-2,0-1 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-06-A-1-B-1-B-1-1,0-1 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-06-A-1-B-1-B-1-2,0-1 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-06-A-1-B-2-A-1-1,0-1 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-06-A-1-B-2-A-1-2,0-1 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-06-A-1-B-2-B-1-1,0-1 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-06-A-1-B-2-B-1-2,0-1 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-06-T-1-W-1-A-1-1,0-1 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-06-T-1-W-1-A-1-2,0-1 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-06-T-1-W-1-B-1-1,0-1 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-06-T-1-W-1-B-1-2,0-1 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-06-T-1-W-2-A-1-1,0-1 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-06-T-1-W-2-A-1-2,0-1 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-06-T-1-W-2-B-1-1,0-1 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-06-T-1-W-2-B-1-2,0-1 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-06-T-1-B-1-A-1-1,0-1 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-06-T-1-B-1-A-1-2,0-1 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-06-T-1-B-1-B-1-1,0-1 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-06-T-1-B-1-B-1-2,0-1 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-06-T-1-B-2-A-1-1,0-1 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-06-T-1-B-2-A-1-2,0-1 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-06-T-1-B-2-B-1-1,0-1 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-06-T-1-B-2-B-1-2,0-1 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-07-A-1-W-1-A-1-1,0-2 нл/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-07-A-1-W-1-A-1-2,0-2 нл/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-07-A-1-W-1-B-1-1,0-2 нл/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-07-A-1-W-1-B-1-2,0-2 нл/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-07-A-1-W-2-A-1-1,0-2 нл/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-07-A-1-W-2-A-1-2,0-2 нл/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-07-A-1-W-2-B-1-1,0-2 нл/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-07-A-1-W-2-B-1-2,0-2 нл/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-07-A-1-B-1-A-1-1,0-2 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-07-A-1-B-1-A-1-2,0-2 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-07-A-1-B-1-B-1-1,0-2 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-07-A-1-B-1-B-1-2,0-2 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-07-A-1-B-2-A-1-1,0-2 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-07-A-1-B-2-A-1-2,0-2 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-07-A-1-B-2-B-1-1,0-2 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-07-A-1-B-2-B-1-2,0-2 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-07-T-1-W-1-A-1-1,0-2 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-07-T-1-W-1-A-1-2,0-2 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-07-T-1-W-1-B-1-1,0-2 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-07-T-1-W-1-B-1-2,0-2 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-07-T-1-W-2-A-1-1,0-2 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-07-T-1-W-2-A-1-2,0-2 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-07-T-1-W-2-B-1-1,0-2 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-07-T-1-W-2-B-1-2,0-2 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-07-T-1-B-1-A-1-1,0-2 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-07-T-1-B-1-A-1-2,0-2 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-07-T-1-B-1-B-1-1,0-2 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-07-T-1-B-1-B-1-2,0-2 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-07-T-1-B-2-A-1-1,0-2 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-07-T-1-B-2-A-1-2,0-2 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-07-T-1-B-2-B-1-1,0-2 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-07-T-1-B-2-B-1-2,0-2 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-08-A-1-W-1-A-1-1,0-5 нл/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-08-A-1-W-1-A-1-2,0-5 нл/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-08-A-1-W-1-B-1-1,0-5 нл/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-08-A-1-W-1-B-1-2,0-5 нл/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-08-A-1-W-2-A-1-1,0-5 нл/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-08-A-1-W-2-A-1-2,0-5 нл/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-08-A-1-W-2-B-1-1,0-5 нл/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-08-A-1-W-2-B-1-2,0-5 нл/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-08-A-1-B-1-A-1-1,0-5 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-08-A-1-B-1-A-1-2,0-5 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-08-A-1-B-1-B-1-1,0-5 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-08-A-1-B-1-B-1-2,0-5 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-08-A-1-B-2-A-1-1,0-5 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-08-A-1-B-2-A-1-2,0-5 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-08-A-1-B-2-B-1-1,0-5 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-08-A-1-B-2-B-1-2,0-5 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-08-T-1-W-1-A-1-1,0-5 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-08-T-1-W-1-A-1-2,0-5 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-08-T-1-W-1-B-1-1,0-5 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-08-T-1-W-1-B-1-2,0-5 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-08-T-1-W-2-A-1-1,0-5 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-08-T-1-W-2-A-1-2,0-5 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-08-T-1-W-2-B-1-1,0-5 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-08-T-1-W-2-B-1-2,0-5 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-08-T-1-B-1-A-1-1,0-5 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-08-T-1-B-1-A-1-2,0-5 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-08-T-1-B-1-B-1-1,0-5 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-08-T-1-B-1-B-1-2,0-5 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-08-T-1-B-2-A-1-1,0-5 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-08-T-1-B-2-A-1-2,0-5 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-08-T-1-B-2-B-1-1,0-5 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-08-T-1-B-2-B-1-2,0-5 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-09-A-1-W-1-A-1-1,0-10 нл/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-09-A-1-W-1-A-1-2,0-10 нл/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-09-A-1-W-1-B-1-1,0-10 нл/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-09-A-1-W-1-B-1-2,0-10 нл/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-09-A-1-W-2-A-1-1,0-10 нл/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-09-A-1-W-2-A-1-2,0-10 нл/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-09-A-1-W-2-B-1-1,0-10 нл/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-09-A-1-W-2-B-1-2,0-10 нл/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-09-A-1-B-1-A-1-1,0-10 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-09-A-1-B-1-A-1-2,0-10 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-09-A-1-B-1-B-1-1,0-10 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-09-A-1-B-1-B-1-2,0-10 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-09-A-1-B-2-A-1-1,0-10 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-09-A-1-B-2-A-1-2,0-10 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-09-A-1-B-2-B-1-1,0-10 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-09-A-1-B-2-B-1-2,0-10 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-09-T-1-W-1-A-1-1,0-10 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-09-T-1-W-1-A-1-2,0-10 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-09-T-1-W-1-B-1-1,0-10 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-09-T-1-W-1-B-1-2,0-10 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-09-T-1-W-2-A-1-1,0-10 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-09-T-1-W-2-A-1-2,0-10 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-09-T-1-W-2-B-1-1,0-10 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-09-T-1-W-2-B-1-2,0-10 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-09-T-1-B-1-A-1-1,0-10 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-09-T-1-B-1-A-1-2,0-10 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-09-T-1-B-1-B-1-1,0-10 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-09-T-1-B-1-B-1-2,0-10 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-09-T-1-B-2-A-1-1,0-10 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-09-T-1-B-2-A-1-2,0-10 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-09-T-1-B-2-B-1-1,0-10 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-09-T-1-B-2-B-1-2,0-10 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-10-A-1-W-1-A-1-1,0-15 нл/мин,Есть,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-10-A-1-W-1-A-1-2,0-15 нл/мин,Нет,SS316,Дисплей,0~5 VDC,Ручное
,TLFC-10-A-1-W-1-B-1-1,0-15 нл/мин,Есть,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-10-A-1-W-1-B-1-2,0-15 нл/мин,Нет,SS316,Дисплей,0~5 VDC,0~5 VDC
,TLFC-10-A-1-W-2-A-1-1,0-15 нл/мин,Есть,SS316,Дисплей,4~20 мА,Ручное
,TLFC-10-A-1-W-2-A-1-2,0-15 нл/мин,Нет,SS316,Дисплей,4~20 мА,Ручное
,TLFC-10-A-1-W-2-B-1-1,0-15 нл/мин,Есть,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-10-A-1-W-2-B-1-2,0-15 нл/мин,Нет,SS316,Дисплей,4~20 мА,0~5 VDC
,TLFC-10-A-1-B-1-A-1-1,0-15 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-10-A-1-B-1-A-1-2,0-15 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-10-A-1-B-1-B-1-1,0-15 нл/мин,Есть,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-10-A-1-B-1-B-1-2,0-15 нл/мин,Нет,SS316,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-10-A-1-B-2-A-1-1,0-15 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-10-A-1-B-2-A-1-2,0-15 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-10-A-1-B-2-B-1-1,0-15 нл/мин,Есть,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-10-A-1-B-2-B-1-2,0-15 нл/мин,Нет,SS316,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
,TLFC-10-T-1-W-1-A-1-1,0-15 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-10-T-1-W-1-A-1-2,0-15 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,Ручное
,TLFC-10-T-1-W-1-B-1-1,0-15 нл/мин,Есть,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-10-T-1-W-1-B-1-2,0-15 нл/мин,Нет,Тапкон,Дисплей,0~5 VDC,0~5 VDC
,TLFC-10-T-1-W-2-A-1-1,0-15 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-10-T-1-W-2-A-1-2,0-15 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,Ручное
,TLFC-10-T-1-W-2-B-1-1,0-15 нл/мин,Есть,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-10-T-1-W-2-B-1-2,0-15 нл/мин,Нет,Тапкон,Дисплей,4~20 мА,0~5 VDC
,TLFC-10-T-1-B-1-A-1-1,0-15 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-10-T-1-B-1-A-1-2,0-15 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,Ручное
,TLFC-10-T-1-B-1-B-1-1,0-15 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-10-T-1-B-1-B-1-2,0-15 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC
,TLFC-10-T-1-B-2-A-1-1,0-15 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-10-T-1-B-2-A-1-2,0-15 нл/мин,Нет,Тапкон,Дисплей с синей подсветкой,4~20 мА,Ручное
,TLFC-10-T-1-B-2-B-1-1,0-15 нл/мин,Есть,Тапкон,Дисплей с синей подсветкой,4~20 мА,0~5 VDC
