#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Блок питания,Параметр:Заказной код:Корпус,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Управление
,TLFC-06-T-1-0-2-A-1-1,0-1 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-06-T-1-0-2-A-1-2,0-1 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-06-T-1-0-2-B-1-1,0-1 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-06-T-1-0-2-B-1-2,0-1 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-07-A-1-0-1-A-1-1,0-2 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-07-A-1-0-1-A-1-2,0-2 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-07-A-1-0-1-B-1-1,0-2 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-07-A-1-0-1-B-1-2,0-2 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-07-A-1-0-2-A-1-1,0-2 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-07-A-1-0-2-A-1-2,0-2 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-07-A-1-0-2-B-1-1,0-2 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-07-A-1-0-2-B-1-2,0-2 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-07-T-1-0-1-A-1-1,0-2 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-07-T-1-0-1-A-1-2,0-2 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-07-T-1-0-1-B-1-1,0-2 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-07-T-1-0-1-B-1-2,0-2 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-07-T-1-0-2-A-1-1,0-2 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-07-T-1-0-2-A-1-2,0-2 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-07-T-1-0-2-B-1-1,0-2 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-07-T-1-0-2-B-1-2,0-2 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-08-A-1-0-1-A-1-1,0-5 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-08-A-1-0-1-A-1-2,0-5 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-08-A-1-0-1-B-1-1,0-5 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-08-A-1-0-1-B-1-2,0-5 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-08-A-1-0-2-A-1-1,0-5 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-08-A-1-0-2-A-1-2,0-5 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-08-A-1-0-2-B-1-1,0-5 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-08-A-1-0-2-B-1-2,0-5 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-08-T-1-0-1-A-1-1,0-5 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-08-T-1-0-1-A-1-2,0-5 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-08-T-1-0-1-B-1-1,0-5 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-08-T-1-0-1-B-1-2,0-5 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-08-T-1-0-2-A-1-1,0-5 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-08-T-1-0-2-A-1-2,0-5 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-08-T-1-0-2-B-1-1,0-5 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-08-T-1-0-2-B-1-2,0-5 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-09-A-1-0-1-A-1-1,0-10 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-09-A-1-0-1-A-1-2,0-10 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-09-A-1-0-1-B-1-1,0-10 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-09-A-1-0-1-B-1-2,0-10 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-09-A-1-0-2-A-1-1,0-10 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-09-A-1-0-2-A-1-2,0-10 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-09-A-1-0-2-B-1-1,0-10 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-09-A-1-0-2-B-1-2,0-10 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-09-T-1-0-1-A-1-1,0-10 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-09-T-1-0-1-A-1-2,0-10 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-09-T-1-0-1-B-1-1,0-10 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-09-T-1-0-1-B-1-2,0-10 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-09-T-1-0-2-A-1-1,0-10 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-09-T-1-0-2-A-1-2,0-10 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-09-T-1-0-2-B-1-1,0-10 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-09-T-1-0-2-B-1-2,0-10 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-10-A-1-0-1-A-1-1,0-15 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-10-A-1-0-1-A-1-2,0-15 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-10-A-1-0-1-B-1-1,0-15 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-10-A-1-0-1-B-1-2,0-15 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-10-A-1-0-2-A-1-1,0-15 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-10-A-1-0-2-A-1-2,0-15 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-10-A-1-0-2-B-1-1,0-15 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-10-A-1-0-2-B-1-2,0-15 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-10-T-1-0-1-A-1-1,0-15 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-10-T-1-0-1-A-1-2,0-15 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-10-T-1-0-1-B-1-1,0-15 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-10-T-1-0-1-B-1-2,0-15 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-10-T-1-0-2-A-1-1,0-15 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-10-T-1-0-2-A-1-2,0-15 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-10-T-1-0-2-B-1-1,0-15 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-10-T-1-0-2-B-1-2,0-15 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-11-A-1-0-1-A-1-1,0-20 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-11-A-1-0-1-A-1-2,0-20 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-11-A-1-0-1-B-1-1,0-20 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-11-A-1-0-1-B-1-2,0-20 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-11-A-1-0-2-A-1-1,0-20 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-11-A-1-0-2-A-1-2,0-20 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-11-A-1-0-2-B-1-1,0-20 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-11-A-1-0-2-B-1-2,0-20 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-11-T-1-0-1-A-1-1,0-20 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-11-T-1-0-1-A-1-2,0-20 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-11-T-1-0-1-B-1-1,0-20 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-11-T-1-0-1-B-1-2,0-20 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-11-T-1-0-2-A-1-1,0-20 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-11-T-1-0-2-A-1-2,0-20 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-11-T-1-0-2-B-1-1,0-20 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-11-T-1-0-2-B-1-2,0-20 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-12-A-1-0-1-A-1-1,0-25 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-12-A-1-0-1-A-1-2,0-25 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-12-A-1-0-1-B-1-1,0-25 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-12-A-1-0-1-B-1-2,0-25 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-12-A-1-0-2-A-1-1,0-25 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-12-A-1-0-2-A-1-2,0-25 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-12-A-1-0-2-B-1-1,0-25 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-12-A-1-0-2-B-1-2,0-25 нл/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-12-T-1-0-1-A-1-1,0-25 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-12-T-1-0-1-A-1-2,0-25 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-12-T-1-0-1-B-1-1,0-25 нл/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-12-T-1-0-1-B-1-2,0-25 нл/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-12-T-1-0-2-A-1-1,0-25 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-12-T-1-0-2-A-1-2,0-25 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-12-T-1-0-2-B-1-1,0-25 нл/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-12-T-1-0-2-B-1-2,0-25 нл/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-13-A-1-0-1-A-1-1,0-30 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-13-A-1-0-1-A-1-2,0-30 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-13-A-1-0-1-B-1-1,0-30 нл/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-13-A-1-0-1-B-1-2,0-30 нл/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-13-A-1-0-2-A-1-1,0-30 нл/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-13-A-1-0-2-A-1-2,0-30 нл/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-13-A-1-0-2-B-1-1,0-30 нл/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
