#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Входное давление,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Управление,Параметр:Заказной код:Выходное давление,Параметр:Заказной код:Тип регулятора,Параметр:Заказной код:Конфигурация портов
,DR115-BL-007M-N2,NPT 3/4,42 бар,Латунь,рукоятка,7 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR115-BL-007M-N3,NPT 1,42 бар,Латунь,рукоятка,7 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR115-BL-010M-N1,NPT 1/2,42 бар,Латунь,рукоятка,10 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR115-BL-010M-N2,NPT 3/4,42 бар,Латунь,рукоятка,10 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR115-BL-010M-N3,NPT 1,42 бар,Латунь,рукоятка,10 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR115-BL-020M-N1,NPT 1/2,42 бар,Латунь,рукоятка,20 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR115-BL-020M-N2,NPT 3/4,42 бар,Латунь,рукоятка,20 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR115-BL-020M-N3,NPT 1,42 бар,Латунь,рукоятка,20 бар,Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-002C-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-002C-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-002C-N3,NPT 1,42 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-004C-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-004C-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-004C-N3,NPT 1,42 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-007C-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-007C-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-007C-N3,NPT 1,42 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-010C-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-010C-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-010C-N3,NPT 1,42 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-020C-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-020C-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-020C-N3,NPT 1,42 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-002C-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-002C-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-002C-N3,NPT 1,150 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-004C-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-004C-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-004C-N3,NPT 1,150 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-007C-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-007C-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-007C-N3,NPT 1,150 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-010C-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-010C-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-010C-N3,NPT 1,150 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-020C-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-020C-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SS-020C-N3,NPT 1,150 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-002C-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-002C-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-002C-N3,NPT 1,250 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-004C-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-004C-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-004C-N3,NPT 1,250 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-007C-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-007C-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-007C-N3,NPT 1,250 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-010C-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-010C-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-010C-N3,NPT 1,250 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-020C-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-020C-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SH-020C-N3,NPT 1,250 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-SL-002M-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-002M-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-002M-N3,NPT 1,42 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-004M-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-004M-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-004M-N3,NPT 1,42 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-007M-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-007M-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-007M-N3,NPT 1,42 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-010M-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-010M-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-010M-N3,NPT 1,42 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-020M-N1,NPT 1/2,42 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-020M-N2,NPT 3/4,42 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SL-020M-N3,NPT 1,42 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-002M-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-002M-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-002M-N3,NPT 1,150 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-004M-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-004M-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-004M-N3,NPT 1,150 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-007M-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-007M-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-007M-N3,NPT 1,150 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-010M-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-010M-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-010M-N3,NPT 1,150 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-020M-N1,NPT 1/2,150 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-020M-N2,NPT 3/4,150 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SS-020M-N3,NPT 1,150 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-002M-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-002M-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-002M-N3,NPT 1,250 бар,Нерж.сталь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-004M-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-004M-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-004M-N3,NPT 1,250 бар,Нерж.сталь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-007M-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-007M-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-007M-N3,NPT 1,250 бар,Нерж.сталь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-010M-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-010M-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-010M-N3,NPT 1,250 бар,Нерж.сталь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-020M-N1,NPT 1/2,250 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-020M-N2,NPT 3/4,250 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-SH-020M-N3,NPT 1,250 бар,Нерж.сталь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-BL-002C-N1,NPT 1/2,42 бар,Латунь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-002C-N2,NPT 3/4,42 бар,Латунь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-002C-N3,NPT 1,42 бар,Латунь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-004C-N1,NPT 1/2,42 бар,Латунь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-004C-N2,NPT 3/4,42 бар,Латунь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-004C-N3,NPT 1,42 бар,Латунь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-007C-N1,NPT 1/2,42 бар,Латунь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-007C-N2,NPT 3/4,42 бар,Латунь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-007C-N3,NPT 1,42 бар,Латунь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-010C-N1,NPT 1/2,42 бар,Латунь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-010C-N2,NPT 3/4,42 бар,Латунь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-010C-N3,NPT 1,42 бар,Латунь,Винт,10 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-020C-N1,NPT 1/2,42 бар,Латунь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-020C-N2,NPT 3/4,42 бар,Латунь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-020C-N3,NPT 1,42 бар,Латунь,Винт,20 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>
,DR110-BL-002M-N1,NPT 1/2,42 бар,Латунь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-BL-002M-N2,NPT 3/4,42 бар,Латунь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-BL-002M-N3,NPT 1,42 бар,Латунь,Винт,2 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-BL-004M-N1,NPT 1/2,42 бар,Латунь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-BL-004M-N2,NPT 3/4,42 бар,Латунь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-BL-004M-N3,NPT 1,42 бар,Латунь,Винт,4 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-BL-007M-N1,NPT 1/2,42 бар,Латунь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
,DR110-BL-007M-N2,NPT 3/4,42 бар,Латунь,Винт,7 бар,Серия DR110 (винт)<br><img src=assets/images/port/flow/vint.png width=100>,M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>
