#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Опция высокой температуры
,088S-050A-2S-H1,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-050A-2S-H2,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-050A-2O,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050A-2O-H1,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-050A-2O-H2,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-050L-1S,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050L-1S-H1,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-050L-1S-H2,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-050L-1O,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050L-1O-H1,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-050L-1O-H2,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-050L-2S,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050L-2S-H1,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-050L-2S-H2,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-050L-2O,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050L-2O-H1,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-050L-2O-H2,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-050R-1S,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050R-1S-H1,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-050R-1S-H2,NPT 1/4,50 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-050R-1O,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050R-1O-H1,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-050R-1O-H2,NPT 1/4,50 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-050R-2S,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050R-2S-H1,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-050R-2S-H2,NPT 1/2,50 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-050R-2O,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-050R-2O-H1,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-050R-2O-H2,NPT 1/2,50 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-100A-1S,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100A-1S-H1,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-100A-1S-H2,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-100A-1O,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100A-1O-H1,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-100A-1O-H2,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-100A-2S,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100A-2S-H1,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-100A-2S-H2,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-100A-2O,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100A-2O-H1,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-100A-2O-H2,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-100L-1S,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100L-1S-H1,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-100L-1S-H2,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-100L-1O,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100L-1O-H1,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-100L-1O-H2,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-100L-2S,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100L-2S-H1,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-100L-2S-H2,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-100L-2O,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100L-2O-H1,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-100L-2O-H2,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-100R-1S,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100R-1S-H1,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-100R-1S-H2,NPT 1/4,100 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-100R-1O,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100R-1O-H1,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-100R-1O-H2,NPT 1/4,100 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-100R-2S,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100R-2S-H1,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-100R-2S-H2,NPT 1/2,100 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-100R-2O,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-100R-2O-H1,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-100R-2O-H2,NPT 1/2,100 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-250A-1S,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250A-1S-H1,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-250A-1S-H2,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-250A-1O,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250A-1O-H1,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-250A-1O-H2,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-250A-2S,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250A-2S-H1,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-250A-2S-H2,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-250A-2O,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250A-2O-H1,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-250A-2O-H2,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-250L-1S,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250L-1S-H1,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-250L-1S-H2,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-250L-1O,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250L-1O-H1,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-250L-1O-H2,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-250L-2S,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250L-2S-H1,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-250L-2S-H2,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-250L-2O,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250L-2O-H1,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-250L-2O-H2,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-250R-1S,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250R-1S-H1,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-250R-1S-H2,NPT 1/4,250 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-250R-1O,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250R-1O-H1,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-250R-1O-H2,NPT 1/4,250 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-250R-2S,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250R-2S-H1,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-250R-2S-H2,NPT 1/2,250 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-250R-2O,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-250R-2O-H1,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-250R-2O-H2,NPT 1/2,250 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-500A-1S,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500A-1S-H1,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-500A-1S-H2,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-500A-1O,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500A-1O-H1,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-500A-1O-H2,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-500A-2S,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500A-2S-H1,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-500A-2S-H2,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-500A-2O,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500A-2O-H1,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-500A-2O-H2,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-500L-1S,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500L-1S-H1,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-500L-1S-H2,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-500L-1O,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500L-1O-H1,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-500L-1O-H2,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-500L-2S,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500L-2S-H1,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-500L-2S-H2,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-500L-2O,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500L-2O-H1,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-500L-2O-H2,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-500R-1S,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500R-1S-H1,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-500R-1S-H2,NPT 1/4,500 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-500R-1O,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500R-1O-H1,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-500R-1O-H2,NPT 1/4,500 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-500R-2S,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500R-2S-H1,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-500R-2S-H2,NPT 1/2,500 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-500R-2O,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-500R-2O-H1,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-500R-2O-H2,NPT 1/2,500 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-700A-1S,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700A-1S-H1,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-700A-1S-H2,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-700A-1O,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700A-1O-H1,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-700A-1O-H2,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-700A-2S,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700A-2S-H1,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-700A-2S-H2,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-700A-2O,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700A-2O-H1,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-700A-2O-H2,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-700L-1S,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700L-1S-H1,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-700L-1S-H2,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-700L-1O,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700L-1O-H1,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-700L-1O-H2,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-700L-2S,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700L-2S-H1,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-700L-2S-H2,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-700L-2O,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700L-2O-H1,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-700L-2O-H2,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-700R-1S,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700R-1S-H1,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-700R-1S-H2,NPT 1/4,700 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-700R-1O,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700R-1O-H1,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-700R-1O-H2,NPT 1/4,700 бар,0.6,Нерж.сталь 316L,до 250°C
,088S-700R-2S,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700R-2S-H1,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до +120°С
,088S-700R-2S-H2,NPT 1/2,700 бар,0.05,Нерж.сталь 316L,до 250°C
,088S-700R-2O,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до +70°C (Стандарт)
,088S-700R-2O-H1,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до +120°С
,088S-700R-2O-H2,NPT 1/2,700 бар,0.6,Нерж.сталь 316L,до 250°C
