"#","Код","Параметр:Код:Подсоединение","Параметр:Код:Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Наружный диаметр штока","Параметр:Код: Диапазон температур (W - с заполнением жидкостью / G - с заполнением газом).","Параметр:Код:Диаметр штока x Длина штока/Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Длина штока (мм)"
,"ETS3000X-B-L(~10~+50)-0-A-2-120-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(~10~+50°С)","ø8ммx120мм<br>нет","SPDTx1","120мм"
,"ETS3000X-B-L(~10~+50)-0-A-2-120-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(~10~+50°С)","ø8ммx120мм<br>нет","SPDTx2","120мм"
,"ETS3000X-B-L(~10~+50)-0-A-4-110-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(~10~+50°С)","ø12ммx110мм<br>нет","SPDTx1","110мм"
,"ETS3000X-B-L(~10~+50)-0-A-4-110-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(~10~+50°С)","ø12ммx110мм<br>нет","SPDTx2","110мм"
,"ETS3000X-B-L(~10~+50)-0-B-1-260-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(~10~+50°С)","ø6ммx260мм<br>нет","SPDTx1","260мм"
,"ETS3000X-B-L(~10~+50)-0-B-1-260-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(~10~+50°С)","ø6ммx260мм<br>нет","SPDTx2","260мм"
,"ETS3000X-B-L(~10~+50)-0-B-2-120-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(~10~+50°С)","ø8ммx120мм<br>нет","SPDTx1","120мм"
,"ETS3000X-B-L(~10~+50)-0-B-2-120-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(~10~+50°С)","ø8ммx120мм<br>нет","SPDTx2","120мм"
,"ETS3000X-B-L(~10~+50)-0-B-4-110-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(~10~+50°С)","ø12ммx110мм<br>нет","SPDTx1","110мм"
,"ETS3000X-B-L(~10~+50)-0-B-4-110-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(~10~+50°С)","ø12ммx110мм<br>нет","SPDTx2","110мм"
,"ETS3000X-B-L(~10~+100)-0-A-1-142-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(~10~+100°С)","ø6ммx142мм<br>нет","SPDTx1","142мм"
,"ETS3000X-B-L(~10~+100)-0-A-1-142-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(~10~+100°С)","ø6ммx142мм<br>нет","SPDTx2","142мм"
,"ETS3000X-B-L(~10~+100)-0-A-2-90-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(~10~+100°С)","ø8ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~10~+100)-0-A-2-90-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(~10~+100°С)","ø8ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~10~+100)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(~10~+100°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(~10~+100)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(~10~+100°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(~10~+100)-0-B-1-142-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(~10~+100°С)","ø6ммx142мм<br>нет","SPDTx1","142мм"
,"ETS3000X-B-L(~10~+100)-0-B-1-142-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(~10~+100°С)","ø6ммx142мм<br>нет","SPDTx2","142мм"
,"ETS3000X-B-L(~10~+100)-0-B-2-90-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(~10~+100°С)","ø8ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(~10~+100)-0-B-2-90-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(~10~+100°С)","ø8ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(~10~+100)-0-B-4-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(~10~+100°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(~10~+100)-0-B-4-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(~10~+100°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~50)-0-A-1-312-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~50°С)","ø6ммx312мм<br>нет","SPDTx1","312мм"
,"ETS3000X-B-L(0~50)-0-A-1-312-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~50°С)","ø6ммx312мм<br>нет","SPDTx2","312мм"
,"ETS3000X-B-L(0~50)-0-A-2-140-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~50°С)","ø8ммx140мм<br>нет","SPDTx1","140мм"
,"ETS3000X-B-L(0~50)-0-A-2-140-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~50°С)","ø8ммx140мм<br>нет","SPDTx2","140мм"
,"ETS3000X-B-L(0~50)-0-A-4-120-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~50°С)","ø12ммx120мм<br>нет","SPDTx1","120мм"
,"ETS3000X-B-L(0~50)-0-A-4-120-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~50°С)","ø12ммx120мм<br>нет","SPDTx2","120мм"
,"ETS3000X-B-L(0~50)-0-B-1-312-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~50°С)","ø6ммx312мм<br>нет","SPDTx1","312мм"
,"ETS3000X-B-L(0~50)-0-B-1-312-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~50°С)","ø6ммx312мм<br>нет","SPDTx2","312мм"
,"ETS3000X-B-L(0~50)-0-B-2-140-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~50°С)","ø8ммx140мм<br>нет","SPDTx1","140мм"
,"ETS3000X-B-L(0~50)-0-B-2-140-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~50°С)","ø8ммx140мм<br>нет","SPDTx2","140мм"
,"ETS3000X-B-L(0~50)-0-B-4-120-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~50°С)","ø12ммx120мм<br>нет","SPDTx1","120мм"
,"ETS3000X-B-L(0~50)-0-B-4-120-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~50°С)","ø12ммx120мм<br>нет","SPDTx2","120мм"
,"ETS3000X-B-L(0~60)-0-A-1-312-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~60°С)","ø6ммx312мм<br>нет","SPDTx1","312мм"
,"ETS3000X-B-L(0~60)-0-A-1-312-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~60°С)","ø6ммx312мм<br>нет","SPDTx2","312мм"
,"ETS3000X-B-L(0~60)-0-A-2-140-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~60°С)","ø8ммx140мм<br>нет","SPDTx1","140мм"
,"ETS3000X-B-L(0~60)-0-A-2-140-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~60°С)","ø8ммx140мм<br>нет","SPDTx2","140мм"
,"ETS3000X-B-L(0~60)-0-A-4-120-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~60°С)","ø12ммx120мм<br>нет","SPDTx1","120мм"
,"ETS3000X-B-L(0~60)-0-A-4-120-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~60°С)","ø12ммx120мм<br>нет","SPDTx2","120мм"
,"ETS3000X-B-L(0~60)-0-B-1-312-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~60°С)","ø6ммx312мм<br>нет","SPDTx1","312мм"
,"ETS3000X-B-L(0~60)-0-B-1-312-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~60°С)","ø6ммx312мм<br>нет","SPDTx2","312мм"
,"ETS3000X-B-L(0~60)-0-B-2-140-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~60°С)","ø8ммx140мм<br>нет","SPDTx1","140мм"
,"ETS3000X-B-L(0~60)-0-B-2-140-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~60°С)","ø8ммx140мм<br>нет","SPDTx2","140мм"
,"ETS3000X-B-L(0~60)-0-B-4-120-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~60°С)","ø12ммx120мм<br>нет","SPDTx1","120мм"
,"ETS3000X-B-L(0~60)-0-B-4-120-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~60°С)","ø12ммx120мм<br>нет","SPDTx2","120мм"
,"ETS3000X-B-L(0~80)-0-A-1-195-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~80°С)","ø6ммx195мм<br>нет","SPDTx1","195мм"
,"ETS3000X-B-L(0~80)-0-A-1-195-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~80°С)","ø6ммx195мм<br>нет","SPDTx2","195мм"
,"ETS3000X-B-L(0~80)-0-A-2-110-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~80°С)","ø8ммx110мм<br>нет","SPDTx1","110мм"
,"ETS3000X-B-L(0~80)-0-A-2-110-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~80°С)","ø8ммx110мм<br>нет","SPDTx2","110мм"
,"ETS3000X-B-L(0~80)-0-A-4-90-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~80°С)","ø12ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(0~80)-0-A-4-90-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~80°С)","ø12ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(0~80)-0-B-1-195-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~80°С)","ø6ммx195мм<br>нет","SPDTx1","195мм"
,"ETS3000X-B-L(0~80)-0-B-1-195-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~80°С)","ø6ммx195мм<br>нет","SPDTx2","195мм"
,"ETS3000X-B-L(0~80)-0-B-2-110-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~80°С)","ø8ммx110мм<br>нет","SPDTx1","110мм"
,"ETS3000X-B-L(0~80)-0-B-2-110-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~80°С)","ø8ммx110мм<br>нет","SPDTx2","110мм"
,"ETS3000X-B-L(0~80)-0-B-4-90-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~80°С)","ø12ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(0~80)-0-B-4-90-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~80°С)","ø12ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(0~100)-0-A-1-156-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~100°С)","ø6ммx156мм<br>нет","SPDTx1","156мм"
,"ETS3000X-B-L(0~100)-0-A-1-156-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~100°С)","ø6ммx156мм<br>нет","SPDTx2","156мм"
,"ETS3000X-B-L(0~100)-0-A-2-100-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~100°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-L(0~100)-0-A-2-100-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~100°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-L(0~100)-0-A-4-90-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~100°С)","ø12ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(0~100)-0-A-4-90-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~100°С)","ø12ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(0~100)-0-B-1-156-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~100°С)","ø6ммx156мм<br>нет","SPDTx1","156мм"
,"ETS3000X-B-L(0~100)-0-B-1-156-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~100°С)","ø6ммx156мм<br>нет","SPDTx2","156мм"
,"ETS3000X-B-L(0~100)-0-B-2-100-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~100°С)","ø8ммx100мм<br>нет","SPDTx1","100мм"
,"ETS3000X-B-L(0~100)-0-B-2-100-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~100°С)","ø8ммx100мм<br>нет","SPDTx2","100мм"
,"ETS3000X-B-L(0~100)-0-B-4-90-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~100°С)","ø12ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(0~100)-0-B-4-90-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~100°С)","ø12ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(0~120)-0-A-1-130-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~120°С)","ø6ммx130мм<br>нет","SPDTx1","130мм"
,"ETS3000X-B-L(0~120)-0-A-1-130-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~120°С)","ø6ммx130мм<br>нет","SPDTx2","130мм"
,"ETS3000X-B-L(0~120)-0-A-2-90-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~120°С)","ø8ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(0~120)-0-A-2-90-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~120°С)","ø8ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(0~120)-0-A-4-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~120°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~120)-0-A-4-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~120°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~120)-0-B-1-130-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø6мм","L(0~120°С)","ø6ммx130мм<br>нет","SPDTx1","130мм"
,"ETS3000X-B-L(0~120)-0-B-1-130-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø6мм","L(0~120°С)","ø6ммx130мм<br>нет","SPDTx2","130мм"
,"ETS3000X-B-L(0~120)-0-B-2-90-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø8мм","L(0~120°С)","ø8ммx90мм<br>нет","SPDTx1","90мм"
,"ETS3000X-B-L(0~120)-0-B-2-90-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø8мм","L(0~120°С)","ø8ммx90мм<br>нет","SPDTx2","90мм"
,"ETS3000X-B-L(0~120)-0-B-4-80-1","MNPT 3/4","нет","1 точка настройки SPDTx1","ø12мм","L(0~120°С)","ø12ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~120)-0-B-4-80-2","MNPT 3/4","нет","2 точки настройки SPDTx2","ø12мм","L(0~120°С)","ø12ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~150)-0-A-1-104-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø6мм","L(0~150°С)","ø6ммx104мм<br>нет","SPDTx1","104мм"
,"ETS3000X-B-L(0~150)-0-A-1-104-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø6мм","L(0~150°С)","ø6ммx104мм<br>нет","SPDTx2","104мм"
,"ETS3000X-B-L(0~150)-0-A-2-80-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø8мм","L(0~150°С)","ø8ммx80мм<br>нет","SPDTx1","80мм"
,"ETS3000X-B-L(0~150)-0-A-2-80-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø8мм","L(0~150°С)","ø8ммx80мм<br>нет","SPDTx2","80мм"
,"ETS3000X-B-L(0~150)-0-A-4-70-1","MNPT 1/2","нет","1 точка настройки SPDTx1","ø12мм","L(0~150°С)","ø12ммx70мм<br>нет","SPDTx1","70мм"
,"ETS3000X-B-L(0~150)-0-A-4-70-2","MNPT 1/2","нет","2 точки настройки SPDTx2","ø12мм","L(0~150°С)","ø12ммx70мм<br>нет","SPDTx2","70мм"
