#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Диаметр корпуса,Параметр:Заказной код:Диаметр штока,Параметр:Заказной код:Длина штока,Параметр:Заказной код:Конфигурация
,36534937,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534946,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534950,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534953,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534957,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534959,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,63 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534995,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,63 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36534998,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535002,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,63 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535003,"гладкое, с шейкой для присоединения к защитной гильзе",0…300,63 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535006,"гладкое, с шейкой для присоединения к защитной гильзе",0…500,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535007,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535009,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535010,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,80 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535012,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,80 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535013,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535014,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535015,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,80 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535019,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,80 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535018,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535017,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535016,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,80 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535020,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,80 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535021,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535022,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535024,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,80 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535025,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,80 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535026,"гладкое, с шейкой для присоединения к защитной гильзе", ,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535027,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535032,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,80 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535030,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535029,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535028,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,80 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535034,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,80 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535036,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535037,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535038,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,80 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535045,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,80 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535043,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535042,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,80 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535040,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,80 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535046,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,80 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535047,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,80 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535048,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,80 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535055,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535053,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535052,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535050,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535049,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535061,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535064,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535065,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535066,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535068,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535075,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535074,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535073,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535071,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535069,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535146,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535150,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535151,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535153,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535155,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535168,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535167,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535166,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535165,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535164,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535170,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535172,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535173,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535175,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535176,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535183,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535182,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535181,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535180,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535177,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535184,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535185,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535186,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535187,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535188,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535194,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,100 мм,8 мм,45 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535193,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,100 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535192,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535190,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535189,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535196,"гладкое, с шейкой для присоединения к защитной гильзе",0…300,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535197,"гладкое, с шейкой для присоединения к защитной гильзе",0…300,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535198,"гладкое, с шейкой для присоединения к защитной гильзе",0…300,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535202,"гладкое, с шейкой для присоединения к защитной гильзе",0…400,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535200,"гладкое, с шейкой для присоединения к защитной гильзе",0…400,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535199,"гладкое, с шейкой для присоединения к защитной гильзе",0…400,100 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535211,"гладкое, с шейкой для присоединения к защитной гильзе",0…500,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535212,"гладкое, с шейкой для присоединения к защитной гильзе",0…500,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535216,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,160 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535218,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535219,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535220,"гладкое, с шейкой для присоединения к защитной гильзе",-30…50,160 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535226,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,160 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535224,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535222,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535221,"гладкое, с шейкой для присоединения к защитной гильзе",-20…60,160 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535227,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,160 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535228,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535229,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535230,"гладкое, с шейкой для присоединения к защитной гильзе",0…60,160 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535234,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,160 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535233,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535232,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535231,"гладкое, с шейкой для присоединения к защитной гильзе",0…80,160 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535235,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,160 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535236,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535237,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535238,"гладкое, с шейкой для присоединения к защитной гильзе",0…100,160 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535242,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,160 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535241,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535240,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535239,"гладкое, с шейкой для присоединения к защитной гильзе",0…120,160 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535243,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,160 мм,8 мм,63 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535244,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535245,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535246,"гладкое, с шейкой для присоединения к защитной гильзе",0…160,160 мм,8 мм,200 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535247,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535248,"гладкое, с шейкой для присоединения к защитной гильзе",0…200,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535250,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,160 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535249,"гладкое, с шейкой для присоединения к защитной гильзе",0…250,160 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535252,G 1/2 наруж.,0…300,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535253,G 1/2 наруж.,0…400,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535254,G 1/2 наруж.,0…400,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535255,G 1/2 наруж.,0…500,100 мм,8 мм,100 мм,"присоединение сзади по центру, нержавеющая сталь"
,36535256,G 1/2 наруж.,0…500,100 мм,8 мм,160 мм,"присоединение сзади по центру, нержавеющая сталь"
