#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Материал,Параметр:Заказной код:Фильтрующий элемент
,FI4-H-8T-WF-BRAS,Hy-Lok 1/2,10.4,BRAS,без фильтрующего элемента
,FI2-H-6M-WF-BRAS,Hy-Lok 6мм,4.8,BRAS,без фильтрующего элемента
,FI1-F-2N-05,NPT 1/8 внутр.,2.4,S316,"0,5 микрон"
,FI1-H-2T-05,Hy-Lok 1/8,2.4,S316,"0,5 микрон"
,FI1-H-3M-05,Hy-Lok 3мм,2.4,S316,"0,5 микрон"
,FI1-M-2N-05,NPT 1/8 наруж.,2.4,S316,"0,5 микрон"
,FI1-M-4N-05,NPT 1/4 наруж.,4.8,S316,"0,5 микрон"
,FI1-F-2N-2,NPT 1/8 внутр.,2.4,S316,2 микрона
,FI1-H-2T-2,Hy-Lok 1/8,2.4,S316,2 микрона
,FI1-H-3M-2,Hy-Lok 3мм,2.4,S316,2 микрона
,FI1-M-2N-2,NPT 1/8 наруж.,2.4,S316,2 микрона
,FI1-M-4N-2,NPT 1/4 наруж.,4.8,S316,2 микрона
,FI1-F-2N-7,NPT 1/8 внутр.,2.4,S316,7 микрон
,FI1-H-2T-7,Hy-Lok 1/8,2.4,S316,7 микрон
,FI1-H-3M-7,Hy-Lok 3мм,2.4,S316,7 микрон
,FI1-M-2N-7,NPT 1/8 наруж.,2.4,S316,7 микрон
,FI1-M-4N-7,NPT 1/4 наруж.,4.8,S316,7 микрон
,FI1-F-2N-15,NPT 1/8 внутр.,2.4,S316,15 микрон
,FI1-H-2T-15,Hy-Lok 1/8,2.4,S316,15 микрон
,FI1-H-3M-15,Hy-Lok 3мм,2.4,S316,15 микрон
,FI1-M-2N-15,NPT 1/8 наруж.,2.4,S316,15 микрон
,FI1-M-4N-15,NPT 1/4 наруж.,4.8,S316,15 микрон
,FI1-F-2N-60,NPT 1/8 внутр.,2.4,S316,60 микрон
,FI1-H-2T-60,Hy-Lok 1/8,2.4,S316,60 микрон
,FI1-H-3M-60,Hy-Lok 3мм,2.4,S316,60 микрон
,FI1-M-2N-60,NPT 1/8 наруж.,2.4,S316,60 микрон
,FI1-M-4N-60,NPT 1/4 наруж.,4.8,S316,60 микрон
,FI1-F-2N-90,NPT 1/8 внутр.,2.4,S316,90 микрон
,FI1-H-2T-90,Hy-Lok 1/8,2.4,S316,90 микрон
,FI1-H-3M-90,Hy-Lok 3мм,2.4,S316,90 микрон
,FI1-M-2N-90,NPT 1/8 наруж.,2.4,S316,90 микрон
,FI1-M-4N-90,NPT 1/4 наруж.,4.8,S316,90 микрон
,FI2-F-4N-05,NPT 1/4 внутр.,4.8,S316,"0,5 микрон"
,FI2-H-4T-05,Hy-Lok 1/4,4.8,S316,"0,5 микрон"
,FI2-H-6M-05,Hy-Lok 6мм,4.8,S316,"0,5 микрон"
,FI2-H-6T-05,Hy-Lok 3/8,7.1,S316,"0,5 микрон"
,FI2-H-8M-05,Hy-Lok 8мм,4.8,S316,"0,5 микрон"
,FI2-M-6N-05,NPT 3/8 наруж.,7.1,S316,"0,5 микрон"
,FI2-F-4N-2,NPT 1/4 внутр.,4.8,S316,2 микрона
,FI2-H-4T-2,Hy-Lok 1/4,4.8,S316,2 микрона
,FI2-H-6M-2,Hy-Lok 6мм,4.8,S316,2 микрона
,FI2-H-6T-2,Hy-Lok 3/8,7.1,S316,2 микрона
,FI2-H-8M-2,Hy-Lok 8мм,4.8,S316,2 микрона
,FI2-M-6N-2,NPT 3/8 наруж.,7.1,S316,2 микрона
,FI2-F-4N-7,NPT 1/4 внутр.,4.8,S316,7 микрон
,FI2-H-4T-7,Hy-Lok 1/4,4.8,S316,7 микрон
,FI2-H-6M-7,Hy-Lok 6мм,4.8,S316,7 микрон
,FI2-H-6T-7,Hy-Lok 3/8,7.1,S316,7 микрон
,FI2-H-8M-7,Hy-Lok 8мм,4.8,S316,7 микрон
,FI2-M-6N-7,NPT 3/8 наруж.,7.1,S316,7 микрон
,FI2-F-4N-15,NPT 1/4 внутр.,4.8,S316,15 микрон
,FI2-H-4T-15,Hy-Lok 1/4,4.8,S316,15 микрон
,FI2-H-6M-15,Hy-Lok 6мм,4.8,S316,15 микрон
,FI2-H-6T-15,Hy-Lok 3/8,7.1,S316,15 микрон
,FI2-H-8M-15,Hy-Lok 8мм,4.8,S316,15 микрон
,FI2-M-6N-15,NPT 3/8 наруж.,7.1,S316,15 микрон
,FI2-F-4N-60,NPT 1/4 внутр.,4.8,S316,60 микрон
,FI2-H-4T-60,Hy-Lok 1/4,4.8,S316,60 микрон
,FI2-H-6M-60,Hy-Lok 6мм,4.8,S316,60 микрон
,FI2-H-6T-60,Hy-Lok 3/8,7.1,S316,60 микрон
,FI2-H-8M-60,Hy-Lok 8мм,4.8,S316,60 микрон
,FI2-M-6N-60,NPT 3/8 наруж.,7.1,S316,60 микрон
,FI2-F-4N-90,NPT 1/4 внутр.,4.8,S316,90 микрон
,FI2-H-4T-90,Hy-Lok 1/4,4.8,S316,90 микрон
,FI2-H-6M-90,Hy-Lok 6мм,4.8,S316,90 микрон
,FI2-H-6T-90,Hy-Lok 3/8,7.1,S316,90 микрон
,FI2-H-8M-90,Hy-Lok 8мм,4.8,S316,90 микрон
,FI2-M-6N-90,NPT 3/8 наруж.,7.1,S316,90 микрон
,FI3-F-6N-05,NPT 3/8 внутр.,7.1,S316,"0,5 микрон"
,FI3-H-10M-05,Hy-Lok 10мм,7.1,S316,"0,5 микрон"
,FI3-H-12M-05,Hy-Lok 12мм,7.1,S316,"0,5 микрон"
,FI3-H-8T-05,Hy-Lok 1/2,10.4,S316,"0,5 микрон"
,FI3-M-8N-05,NPT 1/2 наруж.,10.4,S316,"0,5 микрон"
,FI3-F-6N-2,NPT 3/8 внутр.,7.1,S316,2 микрона
,FI3-H-10M-2,Hy-Lok 10мм,7.1,S316,2 микрона
,FI3-H-12M-2,Hy-Lok 12мм,7.1,S316,2 микрона
,FI3-H-8T-2,Hy-Lok 1/2,10.4,S316,2 микрона
,FI3-M-8N-2,NPT 1/2 наруж.,10.4,S316,2 микрона
,FI3-F-6N-7,NPT 3/8 внутр.,7.1,S316,7 микрон
,FI3-H-10M-7,Hy-Lok 10мм,7.1,S316,7 микрон
,FI3-H-12M-7,Hy-Lok 12мм,7.1,S316,7 микрон
,FI3-H-8T-7,Hy-Lok 1/2,10.4,S316,7 микрон
,FI3-M-8N-7,NPT 1/2 наруж.,10.4,S316,7 микрон
,FI3-F-6N-15,NPT 3/8 внутр.,7.1,S316,15 микрон
,FI3-H-10M-15,Hy-Lok 10мм,7.1,S316,15 микрон
,FI3-H-12M-15,Hy-Lok 12мм,7.1,S316,15 микрон
,FI3-H-8T-15,Hy-Lok 1/2,10.4,S316,15 микрон
,FI3-M-8N-15,NPT 1/2 наруж.,10.4,S316,15 микрон
,FI3-F-6N-60,NPT 3/8 внутр.,7.1,S316,60 микрон
,FI3-H-10M-60,Hy-Lok 10мм,7.1,S316,60 микрон
,FI3-H-12M-60,Hy-Lok 12мм,7.1,S316,60 микрон
,FI3-H-8T-60,Hy-Lok 1/2,10.4,S316,60 микрон
,FI3-M-8N-60,NPT 1/2 наруж.,10.4,S316,60 микрон
,FI3-F-6N-90,NPT 3/8 внутр.,7.1,S316,90 микрон
,FI3-H-10M-90,Hy-Lok 10мм,7.1,S316,90 микрон
,FI3-H-12M-90,Hy-Lok 12мм,7.1,S316,90 микрон
,FI3-H-8T-90,Hy-Lok 1/2,10.4,S316,90 микрон
,FI3-M-8N-90,NPT 1/2 наруж.,10.4,S316,90 микрон
,FI4-F-8N-05,NPT 1/2 внутр.,10.4,S316,"0,5 микрон"
,FI4-H-12M-05,Hy-Lok 12мм,10.4,S316,"0,5 микрон"
,FI4-H-8T-05,Hy-Lok 1/2,10.4,S316,"0,5 микрон"
,FI4-F-8N-2,NPT 1/2 внутр.,10.4,S316,2 микрона
,FI4-H-12M-2,Hy-Lok 12мм,10.4,S316,2 микрона
,FI4-H-8T-2,Hy-Lok 1/2,10.4,S316,2 микрона
,FI4-F-8N-7,NPT 1/2 внутр.,10.4,S316,7 микрон
,FI4-H-12M-7,Hy-Lok 12мм,10.4,S316,7 микрон
,FI4-H-8T-7,Hy-Lok 1/2,10.4,S316,7 микрон
,FI4-F-8N-15,NPT 1/2 внутр.,10.4,S316,15 микрон
,FI4-H-12M-15,Hy-Lok 12мм,10.4,S316,15 микрон
,FI4-H-8T-15,Hy-Lok 1/2,10.4,S316,15 микрон
,FI4-F-8N-60,NPT 1/2 внутр.,10.4,S316,60 микрон
,FI4-H-12M-60,Hy-Lok 12мм,10.4,S316,60 микрон
,FI4-H-8T-60,Hy-Lok 1/2,10.4,S316,60 микрон
,FI4-F-8N-90,NPT 1/2 внутр.,10.4,S316,90 микрон
,FI4-H-12M-90,Hy-Lok 12мм,10.4,S316,90 микрон
,FI4-H-8T-90,Hy-Lok 1/2,10.4,S316,90 микрон
,FI1-F-2N-05-BRAS,NPT 1/8 внутр.,2.4,BRAS,0.5 микрон
,FI1-H-2T-05-BRAS,Hy-Lok 1/8,2.4,BRAS,0.5 микрон
,FI1-H-3M-05-BRAS,Hy-Lok 3мм,2.4,BRAS,0.5 микрон
,FI1-M-2N-05-BRAS,NPT 1/8 наруж.,2.4,BRAS,0.5 микрон
,FI1-M-4N-05-BRAS,NPT 1/4 наруж.,4.8,BRAS,0.5 микрон
,FI1-F-2N-2-BRAS,NPT 1/8 внутр.,2.4,BRAS,2 микрона
,FI1-H-2T-2-BRAS,Hy-Lok 1/8,2.4,BRAS,2 микрона
,FI1-H-3M-2-BRAS,Hy-Lok 3мм,2.4,BRAS,2 микрона
,FI1-M-2N-2-BRAS,NPT 1/8 наруж.,2.4,BRAS,2 микрона
,FI1-M-4N-2-BRAS,NPT 1/4 наруж.,4.8,BRAS,2 микрона
,FI1-F-2N-7-BRAS,NPT 1/8 внутр.,2.4,BRAS,7 микрон
,FI1-H-2T-7-BRAS,Hy-Lok 1/8,2.4,BRAS,7 микрон
,FI1-H-3M-7-BRAS,Hy-Lok 3мм,2.4,BRAS,7 микрон
,FI1-M-2N-7-BRAS,NPT 1/8 наруж.,2.4,BRAS,7 микрон
,FI1-M-4N-7-BRAS,NPT 1/4 наруж.,4.8,BRAS,7 микрон
,FI1-F-2N-15-BRAS,NPT 1/8 внутр.,2.4,BRAS,15 микрон
,FI1-H-2T-15-BRAS,Hy-Lok 1/8,2.4,BRAS,15 микрон
,FI1-H-3M-15-BRAS,Hy-Lok 3мм,2.4,BRAS,15 микрон
,FI1-M-2N-15-BRAS,NPT 1/8 наруж.,2.4,BRAS,15 микрон
,FI1-M-4N-15-BRAS,NPT 1/4 наруж.,4.8,BRAS,15 микрон
,FI1-F-2N-60-BRAS,NPT 1/8 внутр.,2.4,BRAS,60 микрон
,FI1-H-2T-60-BRAS,Hy-Lok 1/8,2.4,BRAS,60 микрон
,FI1-H-3M-60-BRAS,Hy-Lok 3мм,2.4,BRAS,60 микрон
,FI1-M-2N-60-BRAS,NPT 1/8 наруж.,2.4,BRAS,60 микрон
,FI1-M-4N-60-BRAS,NPT 1/4 наруж.,4.8,BRAS,60 микрон
,FI1-F-2N-90-BRAS,NPT 1/8 внутр.,2.4,BRAS,90 микрон
,FI1-H-2T-90-BRAS,Hy-Lok 1/8,2.4,BRAS,90 микрон
,FI1-H-3M-90-BRAS,Hy-Lok 3мм,2.4,BRAS,90 микрон
,FI1-M-2N-90-BRAS,NPT 1/8 наруж.,2.4,BRAS,90 микрон
,FI1-M-4N-90-BRAS,NPT 1/4 наруж.,4.8,BRAS,90 микрон
,FI2-F-4N-05-BRAS,NPT 1/4 внутр.,4.8,BRAS,0.5 микрон
,FI2-H-4T-05-BRAS,Hy-Lok 1/4,4.8,BRAS,0.5 микрон
,FI2-H-6M-05-BRAS,Hy-Lok 6мм,4.8,BRAS,0.5 микрон
,FI2-H-6T-05-BRAS,Hy-Lok 3/8,7.1,BRAS,0.5 микрон
,FI2-H-8M-05-BRAS,Hy-Lok 8мм,4.8,BRAS,0.5 микрон
,FI2-M-6N-05-BRAS,NPT 3/8 наруж.,7.1,BRAS,0.5 микрон
,FI2-F-4N-2-BRAS,NPT 1/4 внутр.,4.8,BRAS,2 микрона
,FI2-H-4T-2-BRAS,Hy-Lok 1/4,4.8,BRAS,2 микрона
,FI2-H-6M-2-BRAS,Hy-Lok 6мм,4.8,BRAS,2 микрона
,FI2-H-6T-2-BRAS,Hy-Lok 3/8,7.1,BRAS,2 микрона
,FI2-H-8M-2-BRAS,Hy-Lok 8мм,4.8,BRAS,2 микрона
,FI2-M-6N-2-BRAS,NPT 3/8 наруж.,7.1,BRAS,2 микрона
,FI2-F-4N-7-BRAS,NPT 1/4 внутр.,4.8,BRAS,7 микрон
,FI2-H-4T-7-BRAS,Hy-Lok 1/4,4.8,BRAS,7 микрон
,FI2-H-6M-7-BRAS,Hy-Lok 6мм,4.8,BRAS,7 микрон
,FI2-H-6T-7-BRAS,Hy-Lok 3/8,7.1,BRAS,7 микрон
,FI2-H-8M-7-BRAS,Hy-Lok 8мм,4.8,BRAS,7 микрон
,FI2-M-6N-7-BRAS,NPT 3/8 наруж.,7.1,BRAS,7 микрон
,FI2-F-4N-15-BRAS,NPT 1/4 внутр.,4.8,BRAS,15 микрон
,FI2-H-4T-15-BRAS,Hy-Lok 1/4,4.8,BRAS,15 микрон
,FI2-H-6M-15-BRAS,Hy-Lok 6мм,4.8,BRAS,15 микрон
,FI2-H-6T-15-BRAS,Hy-Lok 3/8,7.1,BRAS,15 микрон
,FI2-H-8M-15-BRAS,Hy-Lok 8мм,4.8,BRAS,15 микрон
,FI2-M-6N-15-BRAS,NPT 3/8 наруж.,7.1,BRAS,15 микрон
,FI2-F-4N-60-BRAS,NPT 1/4 внутр.,4.8,BRAS,60 микрон
,FI2-H-4T-60-BRAS,Hy-Lok 1/4,4.8,BRAS,60 микрон
,FI2-H-6M-60-BRAS,Hy-Lok 6мм,4.8,BRAS,60 микрон
,FI2-H-6T-60-BRAS,Hy-Lok 3/8,7.1,BRAS,60 микрон
,FI2-H-8M-60-BRAS,Hy-Lok 8мм,4.8,BRAS,60 микрон
,FI2-M-6N-60-BRAS,NPT 3/8 наруж.,7.1,BRAS,60 микрон
,FI2-F-4N-90-BRAS,NPT 1/4 внутр.,4.8,BRAS,90 микрон
,FI2-H-4T-90-BRAS,Hy-Lok 1/4,4.8,BRAS,90 микрон
,FI2-H-6M-90-BRAS,Hy-Lok 6мм,4.8,BRAS,90 микрон
,FI2-H-6T-90-BRAS,Hy-Lok 3/8,7.1,BRAS,90 микрон
,FI2-H-8M-90-BRAS,Hy-Lok 8мм,4.8,BRAS,90 микрон
,FI2-M-6N-90-BRAS,NPT 3/8 наруж.,7.1,BRAS,90 микрон
,FI3-F-6N-05-BRAS,NPT 3/8 внутр.,7.1,BRAS,0.5 микрон
,FI3-H-10M-05-BRAS,Hy-Lok 10мм,7.1,BRAS,0.5 микрон
,FI3-H-12M-05-BRAS,Hy-Lok 12мм,7.1,BRAS,0.5 микрон
,FI3-H-8T-05-BRAS,Hy-Lok 1/2,10.4,BRAS,0.5 микрон
,FI3-M-8N-05-BRAS,NPT 1/2 наруж.,10.4,BRAS,0.5 микрон
,FI3-F-6N-2-BRAS,NPT 3/8 внутр.,7.1,BRAS,2 микрона
,FI3-H-10M-2-BRAS,Hy-Lok 10мм,7.1,BRAS,2 микрона
,FI3-H-12M-2-BRAS,Hy-Lok 12мм,7.1,BRAS,2 микрона
,FI3-H-8T-2-BRAS,Hy-Lok 1/2,10.4,BRAS,2 микрона
,FI3-M-8N-2-BRAS,NPT 1/2 наруж.,10.4,BRAS,2 микрона
,FI3-F-6N-7-BRAS,NPT 3/8 внутр.,7.1,BRAS,7 микрон
,FI3-H-10M-7-BRAS,Hy-Lok 10мм,7.1,BRAS,7 микрон
,FI3-H-12M-7-BRAS,Hy-Lok 12мм,7.1,BRAS,7 микрон
,FI3-H-8T-7-BRAS,Hy-Lok 1/2,10.4,BRAS,7 микрон
,FI3-M-8N-7-BRAS,NPT 1/2 наруж.,10.4,BRAS,7 микрон
,FI3-F-6N-15-BRAS,NPT 3/8 внутр.,7.1,BRAS,15 микрон
,FI3-H-10M-15-BRAS,Hy-Lok 10мм,7.1,BRAS,15 микрон
,FI3-H-12M-15-BRAS,Hy-Lok 12мм,7.1,BRAS,15 микрон
,FI3-H-8T-15-BRAS,Hy-Lok 1/2,10.4,BRAS,15 микрон
,FI3-M-8N-15-BRAS,NPT 1/2 наруж.,10.4,BRAS,15 микрон
,FI3-F-6N-60-BRAS,NPT 3/8 внутр.,7.1,BRAS,60 микрон
,FI3-H-10M-60-BRAS,Hy-Lok 10мм,7.1,BRAS,60 микрон
,FI3-H-12M-60-BRAS,Hy-Lok 12мм,7.1,BRAS,60 микрон
,FI3-H-8T-60-BRAS,Hy-Lok 1/2,10.4,BRAS,60 микрон
,FI3-M-8N-60-BRAS,NPT 1/2 наруж.,10.4,BRAS,60 микрон
,FI3-F-6N-90-BRAS,NPT 3/8 внутр.,7.1,BRAS,90 микрон
,FI3-H-10M-90-BRAS,Hy-Lok 10мм,7.1,BRAS,90 микрон
,FI3-H-12M-90-BRAS,Hy-Lok 12мм,7.1,BRAS,90 микрон
,FI3-H-8T-90-BRAS,Hy-Lok 1/2,10.4,BRAS,90 микрон
,FI3-M-8N-90-BRAS,NPT 1/2 наруж.,10.4,BRAS,90 микрон
,FI4-F-8N-05-BRAS,NPT 1/2 внутр.,10.4,BRAS,0.5 микрон
,FI4-H-12M-05-BRAS,Hy-Lok 12мм,10.4,BRAS,0.5 микрон
,FI4-H-8T-05-BRAS,Hy-Lok 1/2,10.4,BRAS,0.5 микрон
,FI4-F-8N-2-BRAS,NPT 1/2 внутр.,10.4,BRAS,2 микрона
,FI4-H-12M-2-BRAS,Hy-Lok 12мм,10.4,BRAS,2 микрона
,FI4-H-8T-2-BRAS,Hy-Lok 1/2,10.4,BRAS,2 микрона
,FI4-F-8N-7-BRAS,NPT 1/2 внутр.,10.4,BRAS,7 микрон
,FI4-H-12M-7-BRAS,Hy-Lok 12мм,10.4,BRAS,7 микрон
,FI4-H-8T-7-BRAS,Hy-Lok 1/2,10.4,BRAS,7 микрон
,FI4-F-8N-15-BRAS,NPT 1/2 внутр.,10.4,BRAS,15 микрон
,FI4-H-12M-15-BRAS,Hy-Lok 12мм,10.4,BRAS,15 микрон
,FI4-H-8T-15-BRAS,Hy-Lok 1/2,10.4,BRAS,15 микрон
,FI4-F-8N-60-BRAS,NPT 1/2 внутр.,10.4,BRAS,60 микрон
,FI4-H-12M-60-BRAS,Hy-Lok 12мм,10.4,BRAS,60 микрон
,FI4-H-8T-60-BRAS,Hy-Lok 1/2,10.4,BRAS,60 микрон
,FI4-F-8N-90-BRAS,NPT 1/2 внутр.,10.4,BRAS,90 микрон
,FI4-H-12M-90-BRAS,Hy-Lok 12мм,10.4,BRAS,90 микрон
,FI4-H-8T-90-BRAS,Hy-Lok 1/2,10.4,BRAS,90 микрон
