#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Фильтрующий элемент
,FT-H-3M-50-BRAS,Hy-Lok 3mm,BRAS,50 микрон
,FT-H-6M-50-BRAS,Hy-Lok 6mm,BRAS,50 микрон
,FT-H-8M-50-BRAS,Hy-Lok 8mm,BRAS,50 микрон
,FT-H-10M-50-BRAS,Hy-Lok 10mm,BRAS,50 микрон
,FT-H-12M-50-BRAS,Hy-Lok 12mm,BRAS,50 микрон
,FT-H-2T-50-BRAS,Hy-Lok 1/8,BRAS,50 микрон
,FT-H-4T-50-BRAS,Hy-Lok 1/4,BRAS,50 микрон
,FT-H-6T-50-BRAS,Hy-Lok 3/8,BRAS,50 микрон
,FT-H-8T-50-BRAS,Hy-Lok 1/2,BRAS,50 микрон
,FT-F-2N-50-BRAS,NPT 1/8 внутр.,BRAS,50 микрон
,FT-F-2R-50-BRAS,RT 1/8 внутр.,BRAS,50 микрон
,FT-F-4N-50-BRAS,NPT 1/4 внутр.,BRAS,50 микрон
,FT-F-4R-50-BRAS,RT 1/4 внутр.,BRAS,50 микрон
,FT-F-6N-50-BRAS,NPT 3/8 внутр.,BRAS,50 микрон
,FT-F-6R-50-BRAS,RT 3/8 внутр.,BRAS,50 микрон
,FT-F-8N-50-BRAS,NPT 1/2 внутр.,BRAS,50 микрон
,FT-F-8R-50-BRAS,RT 1/2 внутр.,BRAS,50 микрон
,FT-M-4N-50-BRAS,NPT 1/4 наруж.,BRAS,50 микрон
,FT-M-4R-50-BRAS,RT 1/4 наруж.,BRAS,50 микрон
,FT-H-3M-100,Hy-Lok 3mm,S316,100 микрон
,FT-H-6M-100,Hy-Lok 6mm,S316,100 микрон
,FT-H-8M-100,Hy-Lok 8mm,S316,100 микрон
,FT-H-10M-100,Hy-Lok 10mm,S316,100 микрон
,FT-H-12M-100,Hy-Lok 12mm,S316,100 микрон
,FT-H-2T-100,Hy-Lok 1/8,S316,100 микрон
,FT-H-4T-100,Hy-Lok 1/4,S316,100 микрон
,FT-H-6T-100,Hy-Lok 3/8,S316,100 микрон
,FT-H-8T-100,Hy-Lok 1/2,S316,100 микрон
,FT-F-2N-100,NPT 1/8 внутр.,S316,100 микрон
,FT-F-2R-100,RT 1/8 внутр.,S316,100 микрон
,FT-F-4N-100,NPT 1/4 внутр.,S316,100 микрон
,FT-F-4R-100,RT 1/4 внутр.,S316,100 микрон
,FT-F-6N-100,NPT 3/8 внутр.,S316,100 микрон
,FT-F-6R-100,RT 3/8 внутр.,S316,100 микрон
,FT-F-8N-100,NPT 1/2 внутр.,S316,100 микрон
,FT-F-8R-100,RT 1/2 внутр.,S316,100 микрон
,FT-M-4N-100,NPT 1/4 наруж.,S316,100 микрон
,FT-M-4R-100,RT 1/4 наруж.,S316,100 микрон
,FT-H-3M-100-BRAS,Hy-Lok 3mm,BRAS,100 микрон
,FT-H-6M-100-BRAS,Hy-Lok 6mm,BRAS,100 микрон
,FT-H-8M-100-BRAS,Hy-Lok 8mm,BRAS,100 микрон
,FT-H-10M-100-BRAS,Hy-Lok 10mm,BRAS,100 микрон
,FT-H-12M-100-BRAS,Hy-Lok 12mm,BRAS,100 микрон
,FT-H-2T-100-BRAS,Hy-Lok 1/8,BRAS,100 микрон
,FT-H-4T-100-BRAS,Hy-Lok 1/4,BRAS,100 микрон
,FT-H-6T-100-BRAS,Hy-Lok 3/8,BRAS,100 микрон
,FT-H-8T-100-BRAS,Hy-Lok 1/2,BRAS,100 микрон
,FT-F-2N-100-BRAS,NPT 1/8 внутр.,BRAS,100 микрон
,FT-F-2R-100-BRAS,RT 1/8 внутр.,BRAS,100 микрон
,FT-F-4N-100-BRAS,NPT 1/4 внутр.,BRAS,100 микрон
,FT-F-4R-100-BRAS,RT 1/4 внутр.,BRAS,100 микрон
,FT-F-6N-100-BRAS,NPT 3/8 внутр.,BRAS,100 микрон
,FT-F-6R-100-BRAS,RT 3/8 внутр.,BRAS,100 микрон
,FT-F-8N-100-BRAS,NPT 1/2 внутр.,BRAS,100 микрон
