"pagetitle";"value"
DT110-F-A-M-F-S-S-1;92.5
DT110-F-A-M-F-S-S-2;107.5
DT110-F-A-M-F-S-S-3;167.5
DT110-F-B-2-M-S-S-1;105.0
DT110-F-B-2-M-S-S-2;120.0
DT110-F-B-2-M-S-S-3;180.0
DT110-F-B-2-F-S-S-1;105.0
DT110-F-B-2-F-S-S-2;120.0
DT110-F-B-2-F-S-S-3;180.0
DT110-F-B-4-M-S-S-1;105.0
DT110-F-B-4-M-S-S-2;120.0
DT110-F-B-4-M-S-S-3;180.0
DT110-F-B-4-F-S-S-1;105.0
DT110-F-B-4-F-S-S-2;120.0
DT110-F-B-4-F-S-S-3;180.0
DT110-F-B-6-M-S-S-1;105.0
DT110-F-B-6-M-S-S-2;120.0
DT110-F-B-6-M-S-S-3;180.0
DT110-F-B-6-F-S-S-1;105.0
DT110-F-B-6-F-S-S-2;120.0
DT110-F-B-6-F-S-S-3;180.0
DT110-F-B-M-M-S-S-1;105.0
DT110-F-B-M-M-S-S-2;120.0
DT110-F-B-M-M-S-S-3;180.0
DT110-F-B-M-F-S-S-1;105.0
DT110-F-B-M-F-S-S-2;120.0
DT110-F-B-M-F-S-S-3;180.0
DT110-F-C-2-M-S-S-1;122.5
DT110-F-C-2-M-S-S-2;137.5
DT110-F-C-2-M-S-S-3;197.5
DT110-F-C-2-F-S-S-1;122.5
DT110-F-C-2-F-S-S-2;137.5
DT110-F-C-2-F-S-S-3;197.5
DT110-F-C-4-M-S-S-1;122.5
DT110-F-C-4-M-S-S-2;137.5
DT110-F-C-4-M-S-S-3;197.5
DT110-F-C-4-F-S-S-1;122.5
DT110-F-C-4-F-S-S-2;137.5
DT110-F-C-4-F-S-S-3;197.5
DT110-F-C-6-M-S-S-1;122.5
DT110-F-C-6-M-S-S-2;137.5
DT110-F-C-6-M-S-S-3;197.5
DT110-F-C-6-F-S-S-1;122.5
DT110-F-C-6-F-S-S-2;137.5
DT110-F-C-6-F-S-S-3;197.5
DT110-F-C-M-M-S-S-1;122.5
DT110-F-C-M-M-S-S-2;137.5
DT110-F-C-M-M-S-S-3;197.5
DT110-F-C-M-F-S-S-1;122.5
DT110-F-C-M-F-S-S-2;137.5
DT110-F-C-M-F-S-S-3;197.5
DT110-M-A-2-M-S-S-1-1;92.5
DT110-M-A-2-M-S-S-2-2;107.5
DT110-M-A-2-M-S-S-3-3;167.5
DT110-M-A-2-F-S-S-1-1;92.5
DT110-M-A-2-F-S-S-2-2;107.5
DT110-M-A-2-F-S-S-3-3;167.5
DT110-M-A-4-M-S-S-1-1;92.5
DT110-M-A-4-M-S-S-2-2;107.5
DT110-M-A-4-M-S-S-3-3;167.5
DT110-M-A-4-F-S-S-1-1;92.5
DT110-M-A-4-F-S-S-2-2;107.5
DT110-M-A-4-F-S-S-3-3;167.5
DT110-M-A-6-M-S-S-1-1;92.5
DT110-M-A-6-M-S-S-2-2;107.5
DT110-M-A-6-M-S-S-3-3;167.5
DT110-M-A-6-F-S-S-1-1;92.5
DT110-M-A-6-F-S-S-2-2;107.5
DT110-M-A-6-F-S-S-3-3;167.5
DT110-M-A-M-M-S-S-1-1;92.5
DT110-M-A-M-F-S-S-1-1;92.5
DT110-M-A-M-F-S-S-3-3;167.5
DT110-M-B-2-M-S-S-1-1;105.0
DT110-M-B-2-M-S-S-2-2;120.0
DT110-M-B-2-M-S-S-3-3;180.0
DT110-M-B-2-F-S-S-1-1;105.0
DT110-M-B-2-F-S-S-2-2;120.0
DT110-M-B-2-F-S-S-3-3;180.0
DT110-M-B-4-M-S-S-1-1;105.0
DT110-M-B-4-M-S-S-2-2;120.0
DT110-M-B-4-M-S-S-3-3;180.0
DT110-M-B-4-F-S-S-1-1;105.0
DT110-M-B-4-F-S-S-2-2;120.0
DT110-M-B-4-F-S-S-3-3;180.0
DT110-M-B-6-M-S-S-1-1;105.0
DT110-M-B-6-M-S-S-2-2;120.0
DT110-M-B-6-M-S-S-3-3;180.0
DT110-M-B-6-F-S-S-1-1;105.0
DT110-M-B-6-F-S-S-2-2;120.0
DT110-M-B-6-F-S-S-3-3;180.0
DT110-M-B-M-M-S-S-1-1;105.0
DT110-M-B-M-M-S-S-2-2;120.0
DT110-M-B-M-M-S-S-3-3;180.0
DT110-M-B-M-F-S-S-1-1;105.0
DT110-M-B-M-F-S-S-2-2;120.0
DT110-M-B-M-F-S-S-3-3;180.0
DT110-M-C-2-M-S-S-1-1;122.5
DT110-M-C-2-M-S-S-2-2;137.5
DT110-M-C-2-M-S-S-3-3;197.5
DT110-M-C-2-F-S-S-1-1;122.5
DT110-M-C-2-F-S-S-2-2;137.5
DT110-M-C-2-F-S-S-3-3;197.5
DT110-M-C-4-M-S-S-1-1;122.5
DT110-M-C-4-M-S-S-2-2;137.5
DT110-M-C-4-M-S-S-3-3;197.5
DT110-M-C-4-F-S-S-1-1;122.5
DT110-M-C-4-F-S-S-2-2;137.5
DT110-M-C-4-F-S-S-3-3;197.5
DT110-M-C-6-M-S-S-1-1;122.5
DT110-M-C-6-M-S-S-2-2;137.5
DT110-M-C-6-M-S-S-3-3;197.5
DT110-M-C-6-F-S-S-1-1;122.5
DT110-M-C-6-F-S-S-2-2;137.5
DT110-M-C-6-F-S-S-3-3;197.5
DT110-M-C-M-M-S-S-1-1;122.5
DT110-M-C-M-M-S-S-2-2;137.5
DT110-M-C-M-M-S-S-3-3;197.5
DT110-M-C-M-F-S-S-1-1;122.5
DT110-M-C-M-F-S-S-2-2;137.5
DT110-M-C-M-F-S-S-3-3;197.5
DT110-A-A-1-M-S-S-1;92.5
DT110-A-A-1-M-S-S-2;107.5
DT110-A-A-1-M-S-S-3;167.5
DT110-A-A-1-F-S-S-1;92.5
DT110-A-A-1-F-S-S-2;107.5
DT110-A-A-1-F-S-S-3;167.5
DT110-A-A-3-M-S-S-1;92.5
DT110-A-A-3-M-S-S-2;107.5
DT110-A-A-3-M-S-S-3;167.5
DT110-A-A-3-F-S-S-1;92.5
DT110-A-A-3-F-S-S-2;107.5
DT110-A-A-3-F-S-S-3;167.5
DT110-A-A-5-M-S-S-1;92.5
DT110-A-A-5-M-S-S-2;107.5
DT110-A-A-5-M-S-S-3;167.5
DT110-A-A-5-F-S-S-1;92.5
DT110-A-A-5-F-S-S-2;107.5
DT110-A-A-5-F-S-S-3;167.5
DT110-A-A-M-M-S-S-1;92.5
DT110-A-A-M-M-S-S-2;107.5
DT110-A-A-M-M-S-S-3;167.5
DT110-A-A-M-F-S-S-1;92.5
DT110-A-A-M-F-S-S-2;107.5
DT110-A-A-M-F-S-S-3;167.5
DT110-A-B-1-M-S-S-1;105.0
DT110-A-B-1-M-S-S-2;120.0
DT110-A-B-1-M-S-S-3;180.0
DT110-A-B-1-F-S-S-1;105.0
DT110-A-B-1-F-S-S-2;120.0
DT110-A-B-1-F-S-S-3;180.0
DT110-A-B-3-M-S-S-1;105.0
DT110-A-B-3-M-S-S-2;120.0
DT110-A-B-3-M-S-S-3;180.0
DT110-A-B-3-F-S-S-1;105.0
DT110-A-B-3-F-S-S-2;120.0
DT110-A-B-3-F-S-S-3;180.0
DT110-A-B-5-M-S-S-1;105.0
DT110-A-B-5-M-S-S-2;120.0
DT110-A-B-5-M-S-S-3;180.0
DT110-A-B-5-F-S-S-1;105.0
DT110-A-B-5-F-S-S-2;120.0
DT110-A-B-5-F-S-S-3;180.0
DT110-A-B-M-M-S-S-1;105.0
DT110-A-B-M-M-S-S-2;120.0
DT110-A-B-M-M-S-S-3;180.0
DT110-A-B-M-F-S-S-1;105.0
DT110-A-B-M-F-S-S-2;120.0
DT110-A-B-M-F-S-S-3;180.0
DT110-A-C-1-M-S-S-1;122.5
DT110-A-C-1-M-S-S-2;137.5
DT110-A-C-1-M-S-S-3;197.5
DT110-A-C-1-F-S-S-1;122.5
DT110-A-C-1-F-S-S-2;137.5
DT110-A-C-1-F-S-S-3;197.5
DT110-A-C-3-M-S-S-1;122.5
DT110-A-C-3-M-S-S-2;137.5
DT110-A-C-3-M-S-S-3;197.5
DT110-A-C-3-F-S-S-1;122.5
DT110-A-C-3-F-S-S-2;137.5
DT110-A-C-3-F-S-S-3;197.5
DT110-A-C-5-M-S-S-1;122.5
DT110-A-C-5-M-S-S-2;137.5
DT110-A-C-5-M-S-S-3;197.5
DT110-A-C-5-F-S-S-1;122.5
DT110-A-C-5-F-S-S-2;137.5
DT110-A-C-5-F-S-S-3;197.5
DT110-A-C-M-M-S-S-1;122.5
DT110-A-C-M-M-S-S-2;137.5
DT110-A-C-M-M-S-S-3;197.5
DT110-A-C-M-F-S-S-1;122.5
DT110-A-C-M-F-S-S-2;137.5
DT110-A-C-M-F-S-S-3;197.5
DT110-C-A-1-M-S-S-1;92.5
DT110-C-A-1-M-S-S-2;107.5
DT110-C-A-1-M-S-S-3;167.5
DT110-C-A-1-F-S-S-1;92.5
DT110-C-A-1-F-S-S-2;107.5
DT110-C-A-1-F-S-S-3;167.5
DT110-C-A-3-M-S-S-1;92.5
DT110-C-A-3-M-S-S-2;107.5
DT110-C-A-3-M-S-S-3;167.5
DT110-C-A-3-F-S-S-1;92.5
DT110-C-A-3-F-S-S-2;107.5
DT110-C-A-3-F-S-S-3;167.5
DT110-C-A-5-M-S-S-1;92.5
DT110-C-A-5-M-S-S-2;107.5
DT110-C-A-5-M-S-S-3;167.5
DT110-C-A-5-F-S-S-1;92.5
DT110-C-A-5-F-S-S-2;107.5
DT110-C-A-5-F-S-S-3;167.5
DT110-C-A-M-M-S-S-1;92.5
DT110-C-A-M-M-S-S-2;107.5
DT110-C-A-M-M-S-S-3;167.5
DT110-C-A-M-F-S-S-1;92.5
DT110-C-A-M-F-S-S-2;107.5
DT110-C-A-M-F-S-S-3;167.5
DT110-C-B-1-M-S-S-1;105.0
DT110-C-B-1-M-S-S-2;120.0
DT110-C-B-1-M-S-S-3;180.0
DT110-C-B-1-F-S-S-1;105.0
DT110-C-B-1-F-S-S-2;120.0
DT110-C-B-1-F-S-S-3;180.0
DT110-C-B-3-M-S-S-1;105.0
DT110-C-B-3-M-S-S-2;120.0
DT110-C-B-3-M-S-S-3;180.0
DT110-C-B-3-F-S-S-1;105.0
DT110-C-B-3-F-S-S-2;120.0
DT110-C-B-3-F-S-S-3;180.0
DT110-C-B-5-M-S-S-1;105.0
DT110-C-B-5-M-S-S-2;120.0
DT110-C-B-5-M-S-S-3;180.0
DT110-C-B-5-F-S-S-1;105.0
DT110-C-B-5-F-S-S-2;120.0
DT110-C-B-5-F-S-S-3;180.0
DT110-C-B-M-M-S-S-1;105.0
DT110-C-B-M-M-S-S-2;120.0
DT110-C-B-M-M-S-S-3;180.0
DT110-C-B-M-F-S-S-1;105.0
DT110-C-B-M-F-S-S-2;120.0
DT110-C-B-M-F-S-S-3;180.0
DT110-C-C-1-M-S-S-1;122.5
DT110-C-C-1-M-S-S-2;137.5
DT110-C-C-1-M-S-S-3;197.5
DT110-C-C-1-F-S-S-1;122.5
DT110-C-C-1-F-S-S-2;137.5
DT110-C-C-1-F-S-S-3;197.5
DT110-C-C-3-M-S-S-1;122.5
DT110-C-C-3-M-S-S-2;137.5
DT110-C-C-3-M-S-S-3;197.5
DT110-C-C-3-F-S-S-1;122.5
DT110-C-C-3-F-S-S-2;137.5
DT110-C-C-3-F-S-S-3;197.5
DT110-C-C-5-M-S-S-1;122.5
DT110-C-C-5-M-S-S-2;137.5
DT110-C-C-5-M-S-S-3;197.5
DT110-C-C-5-F-S-S-1;122.5
DT110-C-C-5-F-S-S-2;137.5
DT110-C-C-5-F-S-S-3;197.5
DT110-C-C-M-M-S-S-1;122.5
DT110-C-C-M-M-S-S-2;137.5
DT110-C-C-M-M-S-S-3;197.5
DT110-C-C-M-F-S-S-1;122.5
DT110-C-C-M-F-S-S-2;137.5
DT110-C-C-M-F-S-S-3;197.5
DT110-E-A-1-M-S-S-1;92.5
DT110-E-A-1-M-S-S-2;107.5
DT110-E-A-1-M-S-S-3;167.5
DT110-E-A-1-F-S-S-1;92.5
DT110-E-A-1-F-S-S-2;107.5
DT110-E-A-1-F-S-S-3;167.5
DT110-E-A-3-M-S-S-1;92.5
DT110-E-A-3-M-S-S-2;107.5
DT110-E-A-3-M-S-S-3;167.5
DT110-E-A-3-F-S-S-1;92.5
DT110-E-A-3-F-S-S-2;107.5
DT110-E-A-3-F-S-S-3;167.5
DT110-E-A-5-M-S-S-1;92.5
DT110-E-A-5-M-S-S-2;107.5
DT110-E-A-5-M-S-S-3;167.5
DT110-E-A-5-F-S-S-1;92.5
DT110-E-A-5-F-S-S-2;107.5
DT110-E-A-5-F-S-S-3;167.5
DT110-E-A-M-M-S-S-1;92.5
DT110-E-A-M-M-S-S-2;107.5
DT110-E-A-M-M-S-S-3;167.5
DT110-E-A-M-F-S-S-1;92.5
DT110-E-A-M-F-S-S-2;107.5
DT110-E-A-M-F-S-S-3;167.5
DT110-E-B-1-M-S-S-1;105.0
DT110-E-B-1-M-S-S-2;120.0
DT110-E-B-1-M-S-S-3;180.0
DT110-E-B-1-F-S-S-1;105.0
DT110-E-B-1-F-S-S-2;120.0
DT110-E-B-1-F-S-S-3;180.0
DT110-E-B-3-M-S-S-1;105.0
DT110-E-B-3-M-S-S-2;120.0
DT110-E-B-3-M-S-S-3;180.0
DT110-E-B-3-F-S-S-1;105.0
DT110-E-B-3-F-S-S-2;120.0
DT110-E-B-3-F-S-S-3;180.0
DT110-E-B-5-M-S-S-1;105.0
DT110-E-B-5-M-S-S-2;120.0
DT110-E-B-5-M-S-S-3;180.0
DT110-E-B-5-F-S-S-1;105.0
DT110-E-B-5-F-S-S-2;120.0
DT110-E-B-5-F-S-S-3;180.0
DT110-E-B-M-M-S-S-1;105.0
DT110-E-B-M-M-S-S-2;120.0
DT110-E-B-M-M-S-S-3;180.0
DT110-E-B-M-F-S-S-1;105.0
DT110-E-B-M-F-S-S-2;120.0
DT110-E-B-M-F-S-S-3;180.0
DT110-E-C-1-M-S-S-1;122.5
DT110-E-C-1-M-S-S-2;137.5
DT110-E-C-1-M-S-S-3;197.5
DT110-E-C-1-F-S-S-1;122.5
DT110-E-C-1-F-S-S-2;137.5
DT110-E-C-1-F-S-S-3;197.5
DT110-E-C-3-M-S-S-1;122.5
DT110-E-C-3-M-S-S-2;137.5
DT110-E-C-3-M-S-S-3;197.5
DT110-E-C-3-F-S-S-1;122.5
DT110-E-C-3-F-S-S-2;137.5
DT110-E-C-3-F-S-S-3;197.5
DT110-E-C-5-M-S-S-1;122.5
DT110-E-C-5-M-S-S-2;137.5
DT110-E-C-5-M-S-S-3;197.5
DT110-E-C-5-F-S-S-1;122.5
DT110-E-C-5-F-S-S-2;137.5
DT110-E-C-5-F-S-S-3;197.5
DT110-E-C-M-M-S-S-1;122.5
DT110-E-C-M-M-S-S-2;137.5
DT110-E-C-M-M-S-S-3;197.5
DT110-E-C-M-F-S-S-1;122.5
DT110-E-C-M-F-S-S-2;137.5
DT110-E-C-M-F-S-S-3;197.5
DT110-M-A-1-M-S-S-1-1;92.5
DT110-M-A-1-M-S-S-2-2;107.5
DT110-M-A-1-M-S-S-3-3;167.5
DT110-M-A-1-F-S-S-1-1;92.5
DT110-M-A-1-F-S-S-2-2;107.5
DT110-M-A-1-F-S-S-3-3;167.5
DT110-M-A-3-M-S-S-1-1;92.5
DT110-M-A-3-M-S-S-2-2;107.5
DT110-M-A-3-M-S-S-3-3;167.5
DT110-M-A-3-F-S-S-1-1;92.5
DT110-M-A-3-F-S-S-2-2;107.5
DT110-M-A-3-F-S-S-3-3;167.5
DT110-M-A-5-M-S-S-1-1;92.5
DT110-M-A-5-M-S-S-2-2;107.5
DT110-M-A-5-M-S-S-3-3;167.5
DT110-M-A-5-F-S-S-1-1;92.5
DT110-M-A-5-F-S-S-2-2;107.5
DT110-M-A-5-F-S-S-3-3;167.5
DT110-M-A-M-M-S-S-2-2;107.5
DT110-M-A-M-M-S-S-3-3;167.5
DT110-M-A-M-F-S-S-2-2;107.5
DT110-M-B-1-M-S-S-1-1;105.0
DT110-M-B-1-M-S-S-2-2;120.0
DT110-M-B-1-M-S-S-3-3;180.0
DT110-M-B-1-F-S-S-1-1;105.0
DT110-M-B-1-F-S-S-2-2;120.0
DT110-M-B-1-F-S-S-3-3;180.0
DT110-M-B-3-M-S-S-1-1;105.0
DT110-M-B-3-M-S-S-2-2;120.0
DT110-M-B-3-M-S-S-3-3;180.0
DT110-M-B-3-F-S-S-1-1;105.0
DT110-M-B-3-F-S-S-2-2;120.0
DT110-M-B-3-F-S-S-3-3;180.0
DT110-M-B-5-M-S-S-1-1;105.0
DT110-M-B-5-M-S-S-2-2;120.0
DT110-M-B-5-M-S-S-3-3;180.0
DT110-M-B-5-F-S-S-1-1;105.0
DT110-M-B-5-F-S-S-2-2;120.0
DT110-M-B-5-F-S-S-3-3;180.0
DT110-M-C-1-M-S-S-1-1;122.5
DT110-M-C-1-M-S-S-2-2;137.5
DT110-M-C-1-M-S-S-3-3;197.5
DT110-M-C-1-F-S-S-1-1;122.5
DT110-M-C-1-F-S-S-2-2;137.5
DT110-M-C-1-F-S-S-3-3;197.5
DT110-M-C-3-M-S-S-1-1;122.5
DT110-M-C-3-M-S-S-2-2;137.5
DT110-M-C-3-M-S-S-3-3;197.5
DT110-M-C-3-F-S-S-1-1;122.5
DT110-M-C-3-F-S-S-2-2;137.5
DT110-M-C-3-F-S-S-3-3;197.5
DT110-M-C-5-M-S-S-1-1;122.5
DT110-M-C-5-M-S-S-2-2;137.5
DT110-M-C-5-M-S-S-3-3;197.5
DT110-M-C-5-F-S-S-1-1;122.5
DT110-M-C-5-F-S-S-2-2;137.5
DT110-M-C-5-F-S-S-3-3;197.5
