pagetitle,15;16;19;25;38;60;91;94;102;127;128;6;123;126
"FI2-H-4T-WF-BRAS";"";"Hy-Lok 1/4";;"4.8";"V73B-D-4T-NE-B";"BRAS";"B-4F-LE";"без фильтрующего элемента";"FI2-H-4T-WF-*";"H-600-B-L-1/4-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI2-H-6T-WF-BRAS";"";"Hy-Lok 3/8";;"7.1";"V73B-D-6T-NE-B";"BRAS";"B-6F-LE";"без фильтрующего элемента";"FI2-H-6T-WF-*";"H-600-B-L-3/8-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI3-H-8T-WF-BRAS";"";"Hy-Lok 1/2";;"10.4";"V73C-D-8T-NE-B";"BRAS";"B-8F-LE";"без фильтрующего элемента";"FI3-H-8T-WF-*";"H-600-B-L-1/2-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI1-H-3M-WF-BRAS";"";"Hy-Lok 3мм";;"2.4";"V73A-D-3M-NE-B";"BRAS";"B-3F-MM-LE";"без фильтрующего элемента";"FI1-H-3M-WF-*";"H-600-B-L-3 MM-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI2-H-8M-WF-BRAS";"";"Hy-Lok 8мм";;"4.8";"V73B-D-8M-NE-B";"BRAS";"B-8F-MM-LE";"без фильтрующего элемента";"FI2-H-8M-WF-*";"H-600-B-L-8 MM-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI3-H-10M-WF-BRAS";"";"Hy-Lok 10мм";;"7.1";"V73C-D-10M-NE-B";"BRAS";"B-10F-MM-LE";"без фильтрующего элемента";"FI3-H-10M-WF-*";"H-600-B-L-10 MM-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI3-H-12M-WF-BRAS";"";"Hy-Lok 12мм";;"7.1";"V73C-D-12M-NE-B";"BRAS";"B-12F-MM-LE";"без фильтрующего элемента";"FI3-H-12M-WF-*";"H-600-B-L-12 MM-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI4-H-12M-WF-BRAS";"";"Hy-Lok 12мм";;"10.4";"V73D-D-12M-NE-B";"BRAS";"B-12F-MM-LE";"без фильтрующего элемента";"FI4-H-12M-WF-*";"H-600-B-L-12 MM-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI4-H-8T-WF-BRAS";"";"Hy-Lok 1/2";;"10.4";"V73D-D-8T-NE-B";"BRAS";"B-8F-LE";"без фильтрующего элемента";"FI4-H-8T-WF-*";"H-600-B-L-1/2-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI2-H-6M-WF-BRAS";"";"Hy-Lok 6мм";;"4.8";"V73B-D-6M-NE-B";"BRAS";"B-6F-MM-LE";"без фильтрующего элемента";"FI2-H-6M-WF-*";"H-600-B-L-6 MM-LE";"";"assets/images/CV700_H_s100.jpg";;;
"FI1-F-2N-05";"";"NPT 1/8 внутр.";;"2.4";"V73A-F-2N-05";"S316";"SS-2F4-05";"0,5 микрон";"FI1-F-2N-05-*";"H-610-SS-N-1/8-0,5";"";"assets/images/CV700_F_s100.jpg";"2F-F2L-5-SS";"2F-F2L-5-SS";
"FI1-H-2T-05";"";"Hy-Lok 1/8";;"2.4";"V73A-D-2T-05";"S316";"SS-2F-05";"0,5 микрон";"FI1-H-2T-05-*";"H-600-SS-L-1/8-0,5";"";"assets/images/CV700_H_s100.jpg";"2A-F2L-5-SS";"2A-F2L-5-SS";
"FI1-H-3M-05";"";"Hy-Lok 3мм";;"2.4";"V73A-D-3M-05";"S316";"SS-3F-MM-05";"0,5 микрон";"FI1-H-3M-05-*";"H-600-SS-L-3 MM-0,5";"";"assets/images/CV700_H_s100.jpg";"M3A-F2L-5-SS";"M3A-F2L-5-SS";
"FI1-M-2N-05";"";"NPT 1/8 наруж.";;"2.4";"V73A-M-2N-05";"S316";"SS-2F2-05";"0,5 микрон";"FI1-M-2N-05-*";"H-680-SS-N-1/8-0,5";"";"assets/images/CV700_M_s100.jpg";"2M-F2L-5-SS";"2M-F2L-5-SS";
"FI1-M-4N-05";"";"NPT 1/4 наруж.";;"4.8";"V73A-M-4N-05";"S316";"SS-4F2-05";"0,5 микрон";"FI1-M-4N-05-*";"H-680-SS-N-1/4-0,5";"";"assets/images/CV700_M_s100.jpg";"4M-F2L-5-SS";"4M-F2L-5-SS";
"FI1-F-2N-2";"";"NPT 1/8 внутр.";"";"2.4";"V73A-F-2N-2";"S316";"SS-2F4-2";"2 микрона";"FI1-F-2N-2-*";"H-610-SS-N-1/8-2";"";"assets/images/CV700_F_s100.jpg";"2F-F2L-1-SS";"2F-F2L-1-SS";
"FI1-H-2T-2";"";"Hy-Lok 1/8";;"2.4";"V73A-D-2T-2";"S316";"SS-2F-2";"2 микрона";"FI1-H-2T-2-*";"H-600-SS-L-1/8-2";"";"assets/images/CV700_H_s100.jpg";"2A-F2L-1-SS";"2A-F2L-1-SS";
"FI1-H-3M-2";"";"Hy-Lok 3мм";;"2.4";"V73A-D-3M-2";"S316";"SS-3F-MM-2";"2 микрона";"FI1-H-3M-2-*";"H-600-SS-L-3 MM-2";"";"assets/images/CV700_H_s100.jpg";"M3A-F2L-1-SS";"M3A-F2L-1-SS";
"FI1-M-2N-2";"";"NPT 1/8 наруж.";;"2.4";"V73A-M-2N-2";"S316";"SS-2F2-2";"2 микрона";"FI1-M-2N-2-*";"H-680-SS-N-1/8-2";"";"assets/images/CV700_M_s100.jpg";"2M-F2L-1-SS";"2M-F2L-1-SS";
"FI1-M-4N-2";"";"NPT 1/4 наруж.";;"4.8";"V73A-M-4N-2";"S316";"SS-4F2-2";"2 микрона";"FI1-M-4N-2-*";"H-680-SS-N-1/4-2";"";"assets/images/CV700_M_s100.jpg";"4M-F2L-1-SS";"4M-F2L-1-SS";
"FI1-F-2N-7";"";"NPT 1/8 внутр.";"";"2.4";"V73A-F-2N-7";"S316";"SS-2F4-7";"7 микрон";"FI1-F-2N-7-*";"H-610-SS-N-1/8-7";"";"assets/images/CV700_F_s100.jpg";"2F-F2L-7-SS";"2F-F2L-7-SS";
"FI1-H-2T-7";"";"Hy-Lok 1/8";;"2.4";"V73A-D-2T-7";"S316";"SS-2F-7";"7 микрон";"FI1-H-2T-7-*";"H-600-SS-L-1/8-7";"";"assets/images/CV700_H_s100.jpg";"2A-F2L-7-SS";"2A-F2L-7-SS";
"FI1-H-3M-7";"";"Hy-Lok 3мм";"";"2.4";"V73A-D-3M-7";"S316";"SS-3F-MM-7";"7 микрон";"FI1-H-3M-7-*";"H-600-SS-L-3 MM-7";"";"assets/images/CV700_H_s100.jpg";"M3A-F2L-7-SS";"M3A-F2L-7-SS";
"FI1-M-2N-7";"";"NPT 1/8 наруж.";;"2.4";"V73A-M-2N-7";"S316";"SS-2F2-7";"7 микрон";"FI1-M-2N-7-*";"H-680-SS-N-1/8-7";"";"assets/images/CV700_M_s100.jpg";"2M-F2L-7-SS";"2M-F2L-7-SS";
"FI1-M-4N-7";"";"NPT 1/4 наруж.";;"4.8";"V73A-M-4N-7";"S316";"SS-4F2-7";"7 микрон";"FI1-M-4N-7-*";"H-680-SS-N-1/4-7";"";"assets/images/CV700_M_s100.jpg";"4M-F2L-7-SS";"4M-F2L-7-SS";
"FI1-F-2N-15";"";"NPT 1/8 внутр.";;"2.4";"V73A-F-2N-15";"S316";"SS-2F4-15";"15 микрон";"FI1-F-2N-15-*";"H-610-SS-N-1/8-15";"";"assets/images/CV700_F_s100.jpg";"2F-F2L-10-SS";"2F-F2L-10-SS";
"FI1-H-2T-15";"";"Hy-Lok 1/8";;"2.4";"V73A-D-2T-15";"S316";"SS-2F-15";"15 микрон";"FI1-H-2T-15-*";"H-600-SS-L-1/8-15";"";"assets/images/CV700_H_s100.jpg";"2A-F2L-10-SS";"2A-F2L-10-SS";
"FI1-H-3M-15";"";"Hy-Lok 3мм";"";"2.4";"V73A-D-3M-15";"S316";"SS-3F-MM-15";"15 микрон";"FI1-H-3M-15-*";"H-600-SS-L-3 MM-15";"";"assets/images/CV700_H_s100.jpg";"M3A-F2L-10-SS";"M3A-F2L-10-SS";
"FI1-M-2N-15";"";"NPT 1/8 наруж.";;"2.4";"V73A-M-2N-15";"S316";"SS-2F2-15";"15 микрон";"FI1-M-2N-15-*";"H-680-SS-N-1/8-15";"";"assets/images/CV700_M_s100.jpg";"2M-F2L-10-SS";"2M-F2L-10-SS";
"FI1-M-4N-15";"";"NPT 1/4 наруж.";;"4.8";"V73A-M-4N-15";"S316";"SS-4F2-15";"15 микрон";"FI1-M-4N-15-*";"H-680-SS-N-1/4-15";"";"assets/images/CV700_M_s100.jpg";"4M-F2L-10-SS";"4M-F2L-10-SS";
"FI1-F-2N-60";"";"NPT 1/8 внутр.";;"2.4";"V73A-F-2N-60";"S316";"SS-2F4-60";"60 микрон";"FI1-F-2N-60-*";"H-610-SS-N-1/8-60";"";"assets/images/CV700_F_s100.jpg";"2F-F2L-50-SS";"2F-F2L-50-SS";
"FI1-H-2T-60";"";"Hy-Lok 1/8";;"2.4";"V73A-D-2T-60";"S316";"SS-2F-60";"60 микрон";"FI1-H-2T-60-*";"H-600-SS-L-1/8-60";"";"assets/images/CV700_H_s100.jpg";"2A-F2L-50-SS";"2A-F2L-50-SS";
"FI1-H-3M-60";"";"Hy-Lok 3мм";;"2.4";"V73A-D-3M-60";"S316";"SS-3F-MM-60";"60 микрон";"FI1-H-3M-60-*";"H-600-SS-L-3 MM-60";"";"assets/images/CV700_H_s100.jpg";"M3A-F2L-50-SS";"M3A-F2L-50-SS";
"FI1-M-2N-60";"";"NPT 1/8 наруж.";"";"2.4";"V73A-M-2N-60";"S316";"SS-2F2-60";"60 микрон";"FI1-M-2N-60-*";"H-680-SS-N-1/8-60";"";"assets/images/CV700_M_s100.jpg";"2M-F2L-50-SS";"2M-F2L-50-SS";
"FI1-M-4N-60";"";"NPT 1/4 наруж.";;"4.8";"V73A-M-4N-60";"S316";"SS-4F2-60";"60 микрон";"FI1-M-4N-60-*";"H-680-SS-N-1/4-60";"";"assets/images/CV700_M_s100.jpg";"4M-F2L-50-SS";"4M-F2L-50-SS";
"FI1-F-2N-90";"";"NPT 1/8 внутр.";;"2.4";"V73A-F-2N-90";"S316";"SS-2F4-90";"90 микрон";"FI1-F-2N-90-*";"H-610-SS-N-1/8-90";"";"assets/images/CV700_F_s100.jpg";"2F-F2L-100-SS";"2F-F2L-100-SS";
"FI1-H-2T-90";"";"Hy-Lok 1/8";;"2.4";"V73A-D-2T-90";"S316";"SS-2F-90";"90 микрон";"FI1-H-2T-90-*";"H-600-SS-L-1/8-90";"";"assets/images/CV700_H_s100.jpg";"2A-F2L-100-SS";"2A-F2L-100-SS";
"FI1-H-3M-90";"";"Hy-Lok 3мм";;"2.4";"V73A-D-3M-90";"S316";"SS-3F-MM-90";"90 микрон";"FI1-H-3M-90-*";"H-600-SS-L-3 MM-90";"";"assets/images/CV700_H_s100.jpg";"M3A-F2L-100-SS";"M3A-F2L-100-SS";
"FI1-M-2N-90";"";"NPT 1/8 наруж.";;"2.4";"V73A-M-2N-90";"S316";"SS-2F2-90";"90 микрон";"FI1-M-2N-90-*";"H-680-SS-N-1/8-90";"";"assets/images/CV700_M_s100.jpg";"2M-F2L-100-SS";"2M-F2L-100-SS";
"FI1-M-4N-90";"";"NPT 1/4 наруж.";;"4.8";"V73A-M-4N-90";"S316";"SS-4F2-90";"90 микрон";"FI1-M-4N-90-*";"H-680-SS-N-1/4-90";"";"assets/images/CV700_M_s100.jpg";"4M-F2L-100-SS";"4M-F2L-100-SS";
"FI2-F-4N-05";"";"NPT 1/4 внутр.";;"4.8";"V73B-F-4N-05";"S316";"SS-4F4-05";"0,5 микрон";"FI2-F-4N-05-*";"H-610-SS-N-1/4-0,5";"";"assets/images/CV700_F_s100.jpg";"4F-F4L-5-SS";"4F-F4L-5-SS";
"FI2-H-4T-05";"";"Hy-Lok 1/4";"";"4.8";"V73B-D-4T-05";"S316";"SS-4F-05";"0,5 микрон";"FI2-H-4T-05-*";"H-600-SS-L-1/4-0,5";"";"assets/images/CV700_H_s100.jpg";"4A-F4L-5-SS";"4A-F4L-5-SS";
"FI2-H-6M-05";"";"Hy-Lok 6мм";;"4.8";"V73B-D-6M-05";"S316";"SS-6F-MM-05";"0,5 микрон";"FI2-H-6M-05-*";"H-600-SS-L-6 MM-0,5";"";"assets/images/CV700_H_s100.jpg";"M6A-F4L-5-SS";"M6A-F4L-5-SS";
"FI2-H-6T-05";"";"Hy-Lok 3/8";;"7.1";"V73B-D-6T-05";"S316";"SS-6F-05";"0,5 микрон";"FI2-H-6T-05-*";"H-600-SS-L-3/8-0,5";"";"assets/images/CV700_H_s100.jpg";"6A-F4L-5-SS";"6A-F4L-5-SS";
"FI2-H-8M-05";"";"Hy-Lok 8мм";;"4.8";"V73B-D-8M-05";"S316";"SS-8F-MM-05";"0,5 микрон";"FI2-H-8M-05-*";"H-600-SS-L-8 MM-0,5";"";"assets/images/CV700_H_s100.jpg";"M8A-F4L-5-SS";"M8A-F4L-5-SS";
"FI2-M-6N-05";"";"NPT 3/8 наруж.";;"7.1";"V73B-M-6N-05";"S316";"SS-6F2-05";"0,5 микрон";"FI2-M-6N-05-*";"H-680-SS-N-3/8-0,5";"";"assets/images/CV700_M_s100.jpg";"6M-F4L-5-SS";"6M-F4L-5-SS";
"FI2-F-4N-2";"";"NPT 1/4 внутр.";;"4.8";"V73B-F-4N-2";"S316";"SS-4F4-2";"2 микрона";"FI2-F-4N-2-*";"H-610-SS-N-1/4-2";"";"assets/images/CV700_F_s100.jpg";"4F-F4L-1-SS";"4F-F4L-1-SS";
"FI2-H-4T-2";"";"Hy-Lok 1/4";"";"4.8";"V73B-D-4T-2";"S316";"SS-4F-2";"2 микрона";"FI2-H-4T-2-*";"H-600-SS-L-1/4-2";"";"assets/images/CV700_H_s100.jpg";"4A-F4L-1-SS";"4A-F4L-1-SS";
"FI2-H-6M-2";"";"Hy-Lok 6мм";;"4.8";"V73B-D-6M-2";"S316";"SS-6F-MM-2";"2 микрона";"FI2-H-6M-2-*";"H-600-SS-L-6 MM-2";"";"assets/images/CV700_H_s100.jpg";"M6A-F4L-1-SS";"M6A-F4L-1-SS";
"FI2-H-6T-2";"";"Hy-Lok 3/8";;"7.1";"V73B-D-6T-2";"S316";"SS-6F-2";"2 микрона";"FI2-H-6T-2-*";"H-600-SS-L-3/8-2";"";"assets/images/CV700_H_s100.jpg";"6A-F4L-1-SS";"6A-F4L-1-SS";
"FI2-H-8M-2";"";"Hy-Lok 8мм";;"4.8";"V73B-D-8M-2";"S316";"SS-8F-MM-2";"2 микрона";"FI2-H-8M-2-*";"H-600-SS-L-8 MM-2";"";"assets/images/CV700_H_s100.jpg";"M8A-F4L-1-SS";"M8A-F4L-1-SS";
"FI2-M-6N-2";"";"NPT 3/8 наруж.";;"7.1";"V73B-M-6N-2";"S316";"SS-6F2-2";"2 микрона";"FI2-M-6N-2-*";"H-680-SS-N-3/8-2";"";"assets/images/CV700_M_s100.jpg";"6M-F4L-1-SS";"6M-F4L-1-SS";
"FI2-F-4N-7";"";"NPT 1/4 внутр.";;"4.8";"V73B-F-4N-7";"S316";"SS-4F4-7";"7 микрон";"FI2-F-4N-7-*";"H-610-SS-N-1/4-7";"";"assets/images/CV700_F_s100.jpg";"4F-F4L-7-SS";"4F-F4L-7-SS";
"FI2-H-4T-7";"";"Hy-Lok 1/4";"";"4.8";"V73B-D-4T-7";"S316";"SS-4F-7";"7 микрон";"FI2-H-4T-7-*";"H-600-SS-L-1/4-7";"";"assets/images/CV700_H_s100.jpg";"4A-F4L-7-SS";"4A-F4L-7-SS";
"FI2-H-6M-7";"";"Hy-Lok 6мм";;"4.8";"V73B-D-6M-7";"S316";"SS-6F-MM-7";"7 микрон";"FI2-H-6M-7-*";"H-600-SS-L-6 MM-7";"";"assets/images/CV700_H_s100.jpg";"M6A-F4L-7-SS";"M6A-F4L-7-SS";
"FI2-H-6T-7";"";"Hy-Lok 3/8";;"7.1";"V73B-D-6T-7";"S316";"SS-6F-7";"7 микрон";"FI2-H-6T-7-*";"H-600-SS-L-3/8-7";"";"assets/images/CV700_H_s100.jpg";"6A-F4L-7-SS";"6A-F4L-7-SS";
"FI2-H-8M-7";"";"Hy-Lok 8мм";;"4.8";"V73B-D-8M-7";"S316";"SS-8F-MM-7";"7 микрон";"FI2-H-8M-7-*";"H-600-SS-L-8 MM-7";"";"assets/images/CV700_H_s100.jpg";"M8A-F4L-7-SS";"M8A-F4L-7-SS";
"FI2-M-6N-7";"";"NPT 3/8 наруж.";;"7.1";"V73B-M-6N-7";"S316";"SS-6F2-7";"7 микрон";"FI2-M-6N-7-*";"H-680-SS-N-3/8-7";"";"assets/images/CV700_M_s100.jpg";"6M-F4L-7-SS";"6M-F4L-7-SS";
"FI2-F-4N-15";"";"NPT 1/4 внутр.";;"4.8";"V73B-F-4N-15";"S316";"SS-4F4-15";"15 микрон";"FI2-F-4N-15-*";"H-610-SS-N-1/4-15";"";"assets/images/CV700_F_s100.jpg";"4F-F4L-10-SS";"4F-F4L-10-SS";
"FI2-H-4T-15";"";"Hy-Lok 1/4";;"4.8";"V73B-D-4T-15";"S316";"SS-4F-15";"15 микрон";"FI2-H-4T-15-*";"H-600-SS-L-1/4-15";"";"assets/images/CV700_H_s100.jpg";"4A-F4L-10-SS";"4A-F4L-10-SS";
"FI2-H-6M-15";"";"Hy-Lok 6мм";;"4.8";"V73B-D-6M-15";"S316";"SS-6F-MM-15";"15 микрон";"FI2-H-6M-15-*";"H-600-SS-L-6 MM-15";"";"assets/images/CV700_H_s100.jpg";"M6A-F4L-10-SS";"M6A-F4L-10-SS";
