pagetitle,15;16;17;25;6
"AR41E080.INT.E.24/DC";"";"8000 Н ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.INT.E.24/DC";"";"10000 Н ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.INT.E.24/DC";"";"16000 Н ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.INT.E.24/DC";"";"20000 Н ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.INT.E.24/DC";"";"25000 Н ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.INT.E.24/DC";"";"30000 Н ";"24/DC";"интеллектуальный блок ручное управление  позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.INT.F.220/50";"";"2000 Н ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.INT.F.220/50";"";"3000 H ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.INT.F.220/50";"";"5000 Н ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.INT.F.220/50";"";"8000 Н ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.INT.F.220/50";"";"10000 Н ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.INT.F.220/50";"";"16000 Н ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.INT.F.220/50";"";"20000 Н ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.INT.F.220/50";"";"25000 Н ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.INT.F.220/50";"";"30000 Н ";"220/50";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.INT.F.24/DC";"";"2000 Н ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.INT.F.24/DC";"";"3000 H ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.INT.F.24/DC";"";"5000 Н ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.INT.F.24/DC";"";"8000 Н ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.INT.F.24/DC";"";"10000 Н ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.INT.F.24/DC";"";"16000 Н ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.INT.F.24/DC";"";"20000 Н ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.INT.F.24/DC";"";"25000 Н ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.INT.F.24/DC";"";"30000 Н ";"24/DC";"интеллектуальный блок выносное  ручное управление вкл/выкл  -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.INT.G.220/50";"";"2000 Н ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.INT.G.220/50";"";"3000 H ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.INT.G.220/50";"";"5000 Н ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.INT.G.220/50";"";"8000 Н ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.INT.G.220/50";"";"10000 Н ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.INT.G.220/50";"";"16000 Н ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.INT.G.220/50";"";"20000 Н ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.INT.G.220/50";"";"25000 Н ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.INT.G.220/50";"";"30000 Н ";"220/50";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E020.INT.G.24/DC";"";"2000 Н ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E030.INT.G.24/DC";"";"3000 H ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E050.INT.G.24/DC";"";"5000 Н ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E080.INT.G.24/DC";"";"8000 Н ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E100.INT.G.24/DC";"";"10000 Н ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E160.INT.G.24/DC";"";"16000 Н ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E200.INT.G.24/DC";"";"20000 Н ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E250.INT.G.24/DC";"";"25000 Н ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
"AR41E300.INT.G.24/DC";"";"30000 Н ";"24/DC";"интеллектуальный блок выносное ручное управление позиционер -40°C  ATEX";"products/valves/zatvor/AR41E.png";
