#,Заказной код,Параметр:Заказной код:Подсоединение инструмента,Параметр:Заказной код:Подсоединение процесса,Параметр:Заказной код:Материал верхней части корпуса,Параметр:Заказной код:Материал нижней части корпуса,Параметр:Заказной код:Материал мембраны
,DT108-D-3-F-S-S-1,G3/8 внутр.,G 3/8 внутр.,SS316,SS316,SS316L
,DT108-D-1-M-S-S-1,G3/8 внутр.,G 1/4 наруж.,SS316,SS316,SS316L
,DT108-D-5-F-S-S-1,G3/8 внутр.,G 1/2 внутр.,SS316,SS316,SS316L
,DT108-C-M-F-S-S-1,G3/8 внутр.,M20x1.5 внутр.,SS316,SS316,SS316L
,DT108-F-5-M-S-S-1,G1/2 внутр.,G 1/2 наруж.,SS316,SS316,SS316L
,DT108-F-1-F-S-S-1,G1/2 внутр.,G 1/4 внутр.,SS316,SS316,SS316L
,DT108-F-1-M-S-S-1,G1/2 внутр.,G 1/4 наруж.,SS316,SS316,SS316L
,DT108-F-3-F-S-S-1,G1/2 внутр.,G 3/8 внутр.,SS316,SS316,SS316L
,DT108-F-3-M-S-S-1,G1/2 внутр.,G 3/8 наруж.,SS316,SS316,SS316L
,DT108-F-5-F-S-S-1,G1/2 внутр.,G 1/2 внутр.,SS316,SS316,SS316L
,DT108-E-M-F-S-S-1,G1/2 внутр.,M20x1.5 внутр.,SS316,SS316,SS316L
,DT108-M-1-M-S-S-1,M20x1.5 внутр.,G 1/4 наруж.,SS316,SS316,SS316L
,DT108-M-1-F-S-S-1,M20x1.5 внутр.,G 1/4 внутр.,SS316,SS316,SS316L
,DT108-M-3-M-S-S-1,M20x1.5 внутр.,G 3/8 наруж.,SS316,SS316,SS316L
,DT108-M-3-F-S-S-1,M20x1.5 внутр.,G 3/8 внутр.,SS316,SS316,SS316L
,DT108-M-5-M-S-S-1,M20x1.5 внутр.,G 1/2 наруж.,SS316,SS316,SS316L
,DT108-M-5-F-S-S-1,M20x1.5 внутр.,G 1/2 внутр.,SS316,SS316,SS316L
,DT108-M-M-M-S-S-1,M20x1.5 внутр.,M20x1.5 наруж.,SS316,SS316,SS316L
,DT108-M-M-F-S-S-1,M20x1.5 внутр.,M20x1.5 внутр.,SS316,SS316,SS316L
