,"Код","Параметр:Код:Подсоед. инструмента","Параметр:Код:Подсоед. к процессу","Параметр:Код:Материал верхней части корпуса","Параметр:Код:Диаметр мембраны","Параметр:Код:Материал нижней части корпуса","Параметр:Код:Материал мембраны"
,"DT123-D-B-3-2-S-T-1","FNPT 3/8","ANSI 300# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-3-2-S-T-2","FNPT 3/8","ANSI 300# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-3-2-S-T-3","FNPT 3/8","ANSI 300# 1","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-B-3-G10-S-T-1","FNPT 3/8","Гост Py10 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-3-G10-S-T-2","FNPT 3/8","Гост Py10 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-3-G10-S-T-3","FNPT 3/8","Гост Py10 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-B-3-G16-S-T-1","FNPT 3/8","Гост Py16 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-3-G16-S-T-2","FNPT 3/8","Гост Py16 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-3-G16-S-T-3","FNPT 3/8","Гост Py16 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-B-3-G25-S-T-1","FNPT 3/8","Гост Py25 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-3-G25-S-T-2","FNPT 3/8","Гост Py25 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-3-G25-S-T-3","FNPT 3/8","Гост Py25 Dy25","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-B-4-1-S-T-1","FNPT 3/8","ANSI 150# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-4-1-S-T-2","FNPT 3/8","ANSI 150# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-4-1-S-T-3","FNPT 3/8","ANSI 150# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-B-4-2-S-T-1","FNPT 3/8","ANSI 300# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-4-2-S-T-2","FNPT 3/8","ANSI 300# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-4-2-S-T-3","FNPT 3/8","ANSI 300# 1 1/2","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-B-4-G10-S-T-1","FNPT 3/8","Гост Py10 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-4-G10-S-T-2","FNPT 3/8","Гост Py10 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-4-G10-S-T-3","FNPT 3/8","Гост Py10 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-B-4-G16-S-T-1","FNPT 3/8","Гост Py16 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-4-G16-S-T-2","FNPT 3/8","Гост Py16 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-4-G16-S-T-3","FNPT 3/8","Гост Py16 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
