#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Материал мембраны,Параметр:Заказной код:Материал нижней секции мембраны,Параметр:Заказной код:Заполнение глицерином,Параметр:Заказной код:Поверка
,GD-32-S-L-S-4N-63A-60bar-VE,от 0 до 60бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-100bar-VE,от 0 до 100бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-160bar-VE,от 0 до 160бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-250bar-VE,от 0 до 250бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-400bar-VE,от 0 до 400бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-60kPa-VE,от 0 до 60кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-100kPa-VE,от 0 до 100кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-160kPa-VE,от 0 до 160кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-250kPa-VE,от 0 до 250кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-400kPa-VE,от 0 до 400кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-600kPa-VE,от 0 до 600кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-1Mpa-VE,от 0 до 1МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-1,6MPa-VE",от 0 до 1.6МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-2,5MPa-VE",от 0 до 2.5МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-4MPa-VE,от 0 до 4МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-6MPa-VE,от 0 до 6МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-10MPa-VE,от 0 до 10МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-16MPa-VE,от 0 до 16МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-25MPa-VE,от 0 до 25МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-40MPa-VE,от 0 до 40МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-8psi-VE,от 0 до 8psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-15psi-VE,от 0 до 15psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-23psi-VE,от 0 до 23psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-35psi-VE,от 0 до 35psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-60psi-VE,от 0 до 6psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-85psi-VE,от 0 до 85psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-150psi-VE,от 0 до 150psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-230psi-VE,от 0 до 230psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-350psi-VE,от 0 до 350psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-600psi-VE,от 0 до 600psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-850psi-VE,от 0 до 850psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-1500psi-VE,от 0 до 1500psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-2300psi-VE,от 0 до 2300psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-3500psi-VE,от 0 до 3500psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-6000psi-VE,от 0 до 6000psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V0bar-VE,от -1 до 0бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-V0,6bar-VE",от -1 до 0.6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-V1,5bar-VE",от -1 до 1.5бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V3bar-VE,от -1 до 3бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V5bar-VE,от -1 до 5бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V9bar-VE,от -1 до 9бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V15bar-VE,от -1 до 15бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V24bar-VE,от -1 до 24бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V0kPa-VE,от -100 до 0КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V60kPa-VE,от -100 до 60КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V150kPa-VE,от -100 до 150КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V300kPa-VE,от -100 до 300КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V500kPa-VE,от -100 до 500КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-V0,9MPa-VE",от -0.1 до 0.9МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-V1,5MPa-VE",от -0.1 до 1.5МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-V2,4MPa-VE",от -0.1 до 2.4МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V0psi-VE,от -14.5 до 0psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V8psi-VE,от -14.5 до 8psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V20psi-VE,от -14.5 до 20psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V40psi-VE,от -14.5 до 40psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V70psi-VE,от -14.5 до 70psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V130psi-VE,от -14.5 до 130psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V200psi-VE,от -14.5 до 200psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-V350psi-VE,от -14.5 до 350psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-0,6bar-GW",от 0 до 0.6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,GD-32-S-L-S-4N-63A-1bar-GW,от 0 до 1бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,"GD-32-S-L-S-4N-63A-1,6bar-GW",от 0 до 1.6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,"GD-32-S-L-S-4N-63A-2,5bar-GW",от 0 до 2.5бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,GD-32-S-L-S-4N-63A-4bar-GW,от 0 до 4бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,GD-32-S-L-S-4N-63A-6bar-GW,от 0 до 6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,GD-32-S-L-S-4N-63A-10bar-GW,от 0 до 10бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,GD-32-S-L-S-4N-63A-16bar-GW,от 0 до 16бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,GD-32-S-L-S-4N-63A-25bar-GW,от 0 до 25бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
,GD-32-S-L-S-4N-63A-40bar-GW,от 0 до 40бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,да,нет
