"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Конфигурация","Параметр:Код:Поверка"
,"G43-S-8G-150A-2.5kPa","от 0 до 2.5кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-4kPa","от 0 до 4кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-6kPa","от 0 до 6кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-10kPa","от 0 до 10кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-16kPa","от 0 до 16кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-25kPa","от 0 до 25кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-40kPa","от 0 до 40кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-60kPa","от 0 до 60кПа","G 1/2","150мм","A","нет"
,"G43-S-8N-100A-1.6kPa","от 0 до 1.6кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-2.5kPa","от 0 до 2.5кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-4kPa","от 0 до 4кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-6kPa","от 0 до 6кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-10kPa","от 0 до 10кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-16kPa","от 0 до 16кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-25kPa","от 0 до 25кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-40kPa","от 0 до 40кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-60kPa","от 0 до 60кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-150A-1.6kPa","от 0 до 1.6кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-2.5kPa","от 0 до 2.5кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-4kPa","от 0 до 4кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-6kPa","от 0 до 6кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-10kPa","от 0 до 10кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-16kPa","от 0 до 16кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-25kPa","от 0 до 25кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-40kPa","от 0 до 40кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-60kPa","от 0 до 60кПа","NPT 1/2","150мм","A","нет"
,"G43-S-20M-100A-1.6kPa","от 0 до 1.6кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-2.5kPa","от 0 до 2.5кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-4kPa","от 0 до 4кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-6kPa","от 0 до 6кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-10kPa","от 0 до 10кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-16kPa","от 0 до 16кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-25kPa","от 0 до 25кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-40kPa","от 0 до 40кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-60kPa","от 0 до 60кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-150A-1.6kPa","от 0 до 1.6кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-2.5kPa","от 0 до 2.5кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-4kPa","от 0 до 4кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-6kPa","от 0 до 6кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-10kPa","от 0 до 10кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-16kPa","от 0 до 16кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-25kPa","от 0 до 25кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-40kPa","от 0 до 40кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-60kPa","от 0 до 60кПа","M20x1.5","150мм","A","нет"
,"G43-S-8G-100A-V600mbar","от -600 до 0мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V400mbar","от -400 до 0мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V250mbar","от -250 до 0мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V160mbar","от -160 до 0мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V100mbar","от -100 до 0мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V60mbar","от -60 до 0мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V25mbar","от -25 до 0мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V16mbar","от -16 до 0мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-150A-V600mbar","от -600 до 0мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V400mbar","от -400 до 0мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V250mbar","от -250 до 0мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V160mbar","от -160 до 0мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V100mbar","от -100 до 0мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V60mbar","от -60 до 0мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V25mbar","от -25 до 0мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V16mbar","от -16 до 0мбар","G 1/2","150мм","A","нет"
,"G43-S-8N-100A-V600mbar","от -600 до 0мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V400mbar","от -400 до 0мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V250mbar","от -250 до 0мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V160mbar","от -160 до 0мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V100mbar","от -100 до 0мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V60mbar","от -60 до 0мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V25mbar","от -25 до 0мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V16mbar","от -16 до 0мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-150A-V600mbar","от -600 до 0мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V400mbar","от -400 до 0мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V250mbar","от -250 до 0мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V160mbar","от -160 до 0мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V100mbar","от -100 до 0мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V60mbar","от -60 до 0мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V25mbar","от -25 до 0мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V16mbar","от -16 до 0мбар","NPT 1/2","150мм","A","нет"
,"G43-S-20M-100A-V600mbar","от -600 до 0мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V400mbar","от -400 до 0мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V250mbar","от -250 до 0мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V160mbar","от -160 до 0мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V100mbar","от -100 до 0мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V60mbar","от -60 до 0мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V25mbar","от -25 до 0мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V16mbar","от -16 до 0мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-150A-V600mbar","от -600 до 0мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V400mbar","от -400 до 0мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V250mbar","от -250 до 0мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V160mbar","от -160 до 0мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V100mbar","от -100 до 0мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V60mbar","от -60 до 0мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V25mbar","от -25 до 0мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V16mbar","от -16 до 0мбар","M20x1.5","150мм","A","нет"
,"G43-S-8G-100A-V60kPa","от -60 до 0кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V40kPa","от -40 до 0кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V25kPa","от -25 до 0кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V16kPa","от -16 до 0кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V10kPa","от -10 до 0кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V6kPa","от -6 до 0кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V2.5kPa","от -2.5 до 0кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-V1.6kPa","от -1.6 до 0кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-150A-V60kPa","от -60 до 0кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V40kPa","от -40 до 0кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V25kPa","от -25 до 0кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V16kPa","от -16 до 0кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V10kPa","от -10 до 0кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V6kPa","от -6 до 0кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V2.5kPa","от -2.5 до 0кПа","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-V1.6kPa","от -1.6 до 0кПа","G 1/2","150мм","A","нет"
,"G43-S-8N-100A-V60kPa","от -60 до 0кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V40kPa","от -40 до 0кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V25kPa","от -25 до 0кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V16kPa","от -16 до 0кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V10kPa","от -10 до 0кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V6kPa","от -6 до 0кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V2.5kPa","от -2.5 до 0кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-V1.6kPa","от -1.6 до 0кПа","NPT 1/2","100мм","A","нет"
,"G43-S-8N-150A-V60kPa","от -60 до 0кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V40kPa","от -40 до 0кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V25kPa","от -25 до 0кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V16kPa","от -16 до 0кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V10kPa","от -10 до 0кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V6kPa","от -6 до 0кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V2.5kPa","от -2.5 до 0кПа","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-V1.6kPa","от -1.6 до 0кПа","NPT 1/2","150мм","A","нет"
,"G43-S-20M-100A-V60kPa","от -60 до 0кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V40kPa","от -40 до 0кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V25kPa","от -25 до 0кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V16kPa","от -16 до 0кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V10kPa","от -10 до 0кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V6kPa","от -6 до 0кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V2.5kPa","от -2.5 до 0кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-V1.6kPa","от -1.6 до 0кПа","M20x1.5","100мм","A","нет"
,"G43-S-20M-150A-V60kPa","от -60 до 0кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V40kPa","от -40 до 0кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V25kPa","от -25 до 0кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V16kPa","от -16 до 0кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V10kPa","от -10 до 0кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V6kPa","от -6 до 0кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V2.5kPa","от -2.5 до 0кПа","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-V1.6kPa","от -1.6 до 0кПа","M20x1.5","150мм","A","нет"
,"G43-S-8G-100A-16mbar-VE","от 0 до 16мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-25mbar-VE","от 0 до 25мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-40mbar-VE","от 0 до 40мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-60mbar-VE","от 0 до 60мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-100mbar-VE","от 0 до 100мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-160mbar-VE","от 0 до 160мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-250mbar-VE","от 0 до 250мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-400mbar-VE","от 0 до 400мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-600mbar-VE","от 0 до 600мбар","G 1/2","100мм","A","да"
,"G43-S-8G-150A-16mbar-VE","от 0 до 16мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-25mbar-VE","от 0 до 25мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-40mbar-VE","от 0 до 40мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-60mbar-VE","от 0 до 60мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-100mbar-VE","от 0 до 100мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-160mbar-VE","от 0 до 160мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-250mbar-VE","от 0 до 250мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-400mbar-VE","от 0 до 400мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-600mbar-VE","от 0 до 600мбар","G 1/2","150мм","A","да"
,"G43-S-8N-100A-16mbar-VE","от 0 до 16мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-25mbar-VE","от 0 до 25мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-40mbar-VE","от 0 до 40мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-60mbar-VE","от 0 до 60мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-100mbar-VE","от 0 до 100мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-160mbar-VE","от 0 до 160мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-250mbar-VE","от 0 до 250мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-400mbar-VE","от 0 до 400мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-600mbar-VE","от 0 до 600мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-150A-16mbar-VE","от 0 до 16мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-25mbar-VE","от 0 до 25мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-40mbar-VE","от 0 до 40мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-60mbar-VE","от 0 до 60мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-100mbar-VE","от 0 до 100мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-160mbar-VE","от 0 до 160мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-250mbar-VE","от 0 до 250мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-400mbar-VE","от 0 до 400мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-600mbar-VE","от 0 до 600мбар","NPT 1/2","150мм","A","да"
,"G43-S-20M-100A-16mbar-VE","от 0 до 16мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-25mbar-VE","от 0 до 25мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-40mbar-VE","от 0 до 40мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-60mbar-VE","от 0 до 60мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-100mbar-VE","от 0 до 100мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-160mbar-VE","от 0 до 160мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-250mbar-VE","от 0 до 250мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-400mbar-VE","от 0 до 400мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-600mbar-VE","от 0 до 600мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-150A-16mbar-VE","от 0 до 16мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-25mbar-VE","от 0 до 25мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-40mbar-VE","от 0 до 40мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-60mbar-VE","от 0 до 60мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-100mbar-VE","от 0 до 100мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-160mbar-VE","от 0 до 160мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-250mbar-VE","от 0 до 250мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-400mbar-VE","от 0 до 400мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-600mbar-VE","от 0 до 600мбар","M20x1.5","150мм","A","да"
,"G43-S-8G-100A-1.6kPa-VE","от 0 до 1.6кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-2.5kPa-VE","от 0 до 2.5кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-4kPa-VE","от 0 до 4кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-6kPa-VE","от 0 до 6кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-10kPa-VE","от 0 до 10кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-16kPa-VE","от 0 до 16кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-25kPa-VE","от 0 до 25кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-40kPa-VE","от 0 до 40кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-60kPa-VE","от 0 до 60кПа","G 1/2","100мм","A","да"
,"G43-S-8G-150A-1.6kPa-VE","от 0 до 1.6кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-2.5kPa-VE","от 0 до 2.5кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-4kPa-VE","от 0 до 4кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-6kPa-VE","от 0 до 6кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-10kPa-VE","от 0 до 10кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-16kPa-VE","от 0 до 16кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-25kPa-VE","от 0 до 25кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-40kPa-VE","от 0 до 40кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-60kPa-VE","от 0 до 60кПа","G 1/2","150мм","A","да"
,"G43-S-8N-100A-1.6kPa-VE","от 0 до 1.6кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-2.5kPa-VE","от 0 до 2.5кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-4kPa-VE","от 0 до 4кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-6kPa-VE","от 0 до 6кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-10kPa-VE","от 0 до 10кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-16kPa-VE","от 0 до 16кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-25kPa-VE","от 0 до 25кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-40kPa-VE","от 0 до 40кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-60kPa-VE","от 0 до 60кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-150A-1.6kPa-VE","от 0 до 1.6кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-2.5kPa-VE","от 0 до 2.5кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-4kPa-VE","от 0 до 4кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-6kPa-VE","от 0 до 6кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-10kPa-VE","от 0 до 10кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-16kPa-VE","от 0 до 16кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-25kPa-VE","от 0 до 25кПа","NPT 1/2","150мм","A","да"
