#,Заказной код,Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Диапазон давлений,Параметр:Заказной код:Диаметр шкалы,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Форма микропереключателей
,"G69-A-8N-100D-0,6bar-2M",NPT 1/2 внутр.,"0-0,6 бар",100,Алюминий,SPDTx2
,"G69-A-8N-100D-0,6bar-MA",NPT 1/2 внутр.,"0-0,6 бар",100,Алюминий,4-20 мА
,"G69-A-4N-100D-0,6bar-1M",NPT 1/4 внутр.,"0-0,6 бар",100,Алюминий,SPDTx1
,"G69-A-4N-100D-0,6bar-2M",NPT 1/4 внутр.,"0-0,6 бар",100,Алюминий,SPDTx2
,"G69-A-4N-100D-0,6bar-MA",NPT 1/4 внутр.,"0-0,6 бар",100,Алюминий,4-20 мА
,"G69-S-8N-100D-0,6bar-1M",NPT 1/2 внутр.,"0-0,6 бар",100,SS316,SPDTx1
,"G69-S-8N-100D-0,6bar-2M",NPT 1/2 внутр.,"0-0,6 бар",100,SS316,SPDTx2
,"G69-S-8N-100D-0,6bar-MA",NPT 1/2 внутр.,"0-0,6 бар",100,SS316,4-20 мА
,"G69-S-4N-100D-0,6bar-1M",NPT 1/4 внутр.,"0-0,6 бар",100,SS316,SPDTx1
,"G69-S-4N-100D-0,6bar-2M",NPT 1/4 внутр.,"0-0,6 бар",100,SS316,SPDTx2
,"G69-S-4N-100D-0,6bar-MA",NPT 1/4 внутр.,"0-0,6 бар",100,SS316,4-20 мА
,"G69-A-8N-100D-0,8bar-1M",NPT 1/2 внутр.,"0-0,8 бар",100,Алюминий,SPDTx1
,"G69-A-8N-100D-0,8bar-2M",NPT 1/2 внутр.,"0-0,8 бар",100,Алюминий,SPDTx2
,"G69-A-8N-100D-0,8bar-MA",NPT 1/2 внутр.,"0-0,8 бар",100,Алюминий,4-20 мА
,"G69-A-4N-100D-0,8bar-1M",NPT 1/4 внутр.,"0-0,8 бар",100,Алюминий,SPDTx1
,"G69-A-4N-100D-0,8bar-2M",NPT 1/4 внутр.,"0-0,8 бар",100,Алюминий,SPDTx2
,"G69-A-4N-100D-0,8bar-MA",NPT 1/4 внутр.,"0-0,8 бар",100,Алюминий,4-20 мА
,"G69-S-8N-100D-0,8bar-1M",NPT 1/2 внутр.,"0-0,8 бар",100,SS316,SPDTx1
,"G69-S-8N-100D-0,8bar-2M",NPT 1/2 внутр.,"0-0,8 бар",100,SS316,SPDTx2
,"G69-S-8N-100D-0,8bar-MA",NPT 1/2 внутр.,"0-0,8 бар",100,SS316,4-20 мА
,"G69-S-4N-100D-0,8bar-1M",NPT 1/4 внутр.,"0-0,8 бар",100,SS316,SPDTx1
,"G69-S-4N-100D-0,8bar-2M",NPT 1/4 внутр.,"0-0,8 бар",100,SS316,SPDTx2
,"G69-S-4N-100D-0,8bar-MA",NPT 1/4 внутр.,"0-0,8 бар",100,SS316,4-20 мА
,"G69-A-8N-100D-1,2bar-1M",NPT 1/2 внутр.,"0-1,2 бар",100,Алюминий,SPDTx1
,"G69-A-8N-100D-1,2bar-2M",NPT 1/2 внутр.,"0-1,2 бар",100,Алюминий,SPDTx2
,"G69-A-8N-100D-1,2bar-MA",NPT 1/2 внутр.,"0-1,2 бар",100,Алюминий,4-20 мА
,"G69-A-4N-100D-1,2bar-1M",NPT 1/4 внутр.,"0-1,2 бар",100,Алюминий,SPDTx1
,"G69-A-4N-100D-1,2bar-2M",NPT 1/4 внутр.,"0-1,2 бар",100,Алюминий,SPDTx2
,"G69-A-4N-100D-1,2bar-MA",NPT 1/4 внутр.,"0-1,2 бар",100,Алюминий,4-20 мА
,"G69-S-8N-100D-1,2bar-1M",NPT 1/2 внутр.,"0-1,2 бар",100,SS316,SPDTx1
,"G69-S-8N-100D-1,2bar-2M",NPT 1/2 внутр.,"0-1,2 бар",100,SS316,SPDTx2
,"G69-S-8N-100D-1,2bar-MA",NPT 1/2 внутр.,"0-1,2 бар",100,SS316,4-20 мА
,"G69-S-4N-100D-1,2bar-1M",NPT 1/4 внутр.,"0-1,2 бар",100,SS316,SPDTx1
,"G69-S-4N-100D-1,2bar-2M",NPT 1/4 внутр.,"0-1,2 бар",100,SS316,SPDTx2
,"G69-S-4N-100D-1,2bar-MA",NPT 1/4 внутр.,"0-1,2 бар",100,SS316,4-20 мА
,G69-A-8N-100D-2bar-1M,NPT 1/2 внутр.,0-2 бар,100,Алюминий,SPDTx1
,G69-A-8N-100D-2bar-2M,NPT 1/2 внутр.,0-2 бар,100,Алюминий,SPDTx2
,G69-A-8N-100D-2bar-MA,NPT 1/2 внутр.,0-2 бар,100,Алюминий,4-20 мА
,G69-A-4N-100D-2bar-1M,NPT 1/4 внутр.,0-2 бар,100,Алюминий,SPDTx1
,G69-A-4N-100D-2bar-2M,NPT 1/4 внутр.,0-2 бар,100,Алюминий,SPDTx2
,G69-A-4N-100D-2bar-MA,NPT 1/4 внутр.,0-2 бар,100,Алюминий,4-20 мА
,G69-S-8N-100D-2bar-1M,NPT 1/2 внутр.,0-2 бар,100,SS316,SPDTx1
,G69-S-8N-100D-2bar-2M,NPT 1/2 внутр.,0-2 бар,100,SS316,SPDTx2
,G69-S-8N-100D-2bar-MA,NPT 1/2 внутр.,0-2 бар,100,SS316,4-20 мА
,G69-S-4N-100D-2bar-1M,NPT 1/4 внутр.,0-2 бар,100,SS316,SPDTx1
,G69-S-4N-100D-2bar-2M,NPT 1/4 внутр.,0-2 бар,100,SS316,SPDTx2
,G69-S-4N-100D-2bar-MA,NPT 1/4 внутр.,0-2 бар,100,SS316,4-20 мА
,"G69-A-8N-100D-2,5bar-1M",NPT 1/2 внутр.,"0-2,5 бар",100,Алюминий,SPDTx1
,"G69-A-8N-100D-2,5bar-2M",NPT 1/2 внутр.,"0-2,5 бар",100,Алюминий,SPDTx2
,"G69-A-8N-100D-2,5bar-MA",NPT 1/2 внутр.,"0-2,5 бар",100,Алюминий,4-20 мА
,"G69-A-4N-100D-2,5bar-1M",NPT 1/4 внутр.,"0-2,5 бар",100,Алюминий,SPDTx1
,"G69-A-4N-100D-2,5bar-2M",NPT 1/4 внутр.,"0-2,5 бар",100,Алюминий,SPDTx2
,"G69-A-4N-100D-2,5bar-MA",NPT 1/4 внутр.,"0-2,5 бар",100,Алюминий,4-20 мА
,"G69-S-8N-100D-2,5bar-1M",NPT 1/2 внутр.,"0-2,5 бар",100,SS316,SPDTx1
,"G69-S-8N-100D-2,5bar-2M",NPT 1/2 внутр.,"0-2,5 бар",100,SS316,SPDTx2
,"G69-S-8N-100D-2,5bar-MA",NPT 1/2 внутр.,"0-2,5 бар",100,SS316,4-20 мА
,"G69-S-4N-100D-2,5bar-1M",NPT 1/4 внутр.,"0-2,5 бар",100,SS316,SPDTx1
,"G69-S-4N-100D-2,5bar-2M",NPT 1/4 внутр.,"0-2,5 бар",100,SS316,SPDTx2
,"G69-S-4N-100D-2,5bar-MA",NPT 1/4 внутр.,"0-2,5 бар",100,SS316,4-20 мА
,G69-A-8N-100D-4bar-1M,NPT 1/2 внутр.,0-4 бар,100,Алюминий,SPDTx1
,G69-A-8N-100D-4bar-2M,NPT 1/2 внутр.,0-4 бар,100,Алюминий,SPDTx2
,G69-A-8N-100D-4bar-MA,NPT 1/2 внутр.,0-4 бар,100,Алюминий,4-20 мА
,G69-A-4N-100D-4bar-1M,NPT 1/4 внутр.,0-4 бар,100,Алюминий,SPDTx1
,G69-A-4N-100D-4bar-2M,NPT 1/4 внутр.,0-4 бар,100,Алюминий,SPDTx2
,G69-A-4N-100D-4bar-MA,NPT 1/4 внутр.,0-4 бар,100,Алюминий,4-20 мА
,G69-S-8N-100D-4bar-1M,NPT 1/2 внутр.,0-4 бар,100,SS316,SPDTx1
,G69-S-8N-100D-4bar-2M,NPT 1/2 внутр.,0-4 бар,100,SS316,SPDTx2
,G69-S-8N-100D-4bar-MA,NPT 1/2 внутр.,0-4 бар,100,SS316,4-20 мА
,G69-S-4N-100D-4bar-1M,NPT 1/4 внутр.,0-4 бар,100,SS316,SPDTx1
,G69-S-4N-100D-4bar-2M,NPT 1/4 внутр.,0-4 бар,100,SS316,SPDTx2
,G69-S-4N-100D-4bar-MA,NPT 1/4 внутр.,0-4 бар,100,SS316,4-20 мА
,"G69-A-20M-100D-0,2bar-1M",M20x1.5 внутр.,"0-0,25 бар",100,Алюминий,SPDTx1
,"G69-A-20M-100D-0,2bar-2M",M20x1.5 внутр.,"0-0,25 бар",100,Алюминий,SPDTx2
,"G69-A-20M-100D-0,2bar-MA",M20x1.5 внутр.,"0-0,25 бар",100,Алюминий,4-20 мА
,"G69-S-20M-100D-0,2bar-1M",M20x1.5 внутр.,"0-0,25 бар",100,SS316,SPDTx1
,"G69-S-20M-100D-0,2bar-2M",M20x1.5 внутр.,"0-0,25 бар",100,SS316,SPDTx2
,"G69-S-20M-100D-0,2bar-MA",M20x1.5 внутр.,"0-0,25 бар",100,SS316,4-20 мА
,"G69-A-20M-100D-0,5bar-1M",M20x1.5 внутр.,"0-0,5 бар",100,Алюминий,SPDTx1
,"G69-A-20M-100D-0,5bar-2M",M20x1.5 внутр.,"0-0,5 бар",100,Алюминий,SPDTx2
,"G69-A-20M-100D-0,5bar-MA",M20x1.5 внутр.,"0-0,5 бар",100,Алюминий,4-20 мА
,"G69-S-20M-100D-0,5bar-1M",M20x1.5 внутр.,"0-0,5 бар",100,SS316,SPDTx1
,"G69-S-20M-100D-0,5bar-2M",M20x1.5 внутр.,"0-0,5 бар",100,SS316,SPDTx2
,"G69-S-20M-100D-0,5bar-MA",M20x1.5 внутр.,"0-0,5 бар",100,SS316,4-20 мА
,"G69-A-20M-100D-0,6bar-1M",M20x1.5 внутр.,"0-0,6 бар",100,Алюминий,SPDTx1
,"G69-A-20M-100D-0,6bar-2M",M20x1.5 внутр.,"0-0,6 бар",100,Алюминий,SPDTx2
,"G69-A-20M-100D-0,6bar-MA",M20x1.5 внутр.,"0-0,6 бар",100,Алюминий,4-20 мА
,"G69-S-20M-100D-0,6bar-1M",M20x1.5 внутр.,"0-0,6 бар",100,SS316,SPDTx1
,"G69-S-20M-100D-0,6bar-2M",M20x1.5 внутр.,"0-0,6 бар",100,SS316,SPDTx2
,"G69-S-20M-100D-0,6bar-MA",M20x1.5 внутр.,"0-0,6 бар",100,SS316,4-20 мА
,"G69-A-20M-100D-0,8bar-1M",M20x1.5 внутр.,"0-0,8 бар",100,Алюминий,SPDTx1
,"G69-A-20M-100D-0,8bar-2M",M20x1.5 внутр.,"0-0,8 бар",100,Алюминий,SPDTx2
,"G69-A-20M-100D-0,8bar-MA",M20x1.5 внутр.,"0-0,8 бар",100,Алюминий,4-20 мА
,"G69-S-20M-100D-0,8bar-1M",M20x1.5 внутр.,"0-0,8 бар",100,SS316,SPDTx1
,"G69-S-20M-100D-0,8bar-2M",M20x1.5 внутр.,"0-0,8 бар",100,SS316,SPDTx2
,"G69-S-20M-100D-0,8bar-MA",M20x1.5 внутр.,"0-0,8 бар",100,SS316,4-20 мА
,"G69-A-20M-100D-1,2bar-1M",M20x1.5 внутр.,"0-1,2 бар",100,Алюминий,SPDTx1
,"G69-A-20M-100D-1,2bar-2M",M20x1.5 внутр.,"0-1,2 бар",100,Алюминий,SPDTx2
,"G69-A-20M-100D-1,2bar-MA",M20x1.5 внутр.,"0-1,2 бар",100,Алюминий,4-20 мА
,"G69-S-20M-100D-1,2bar-1M",M20x1.5 внутр.,"0-1,2 бар",100,SS316,SPDTx1
,"G69-S-20M-100D-1,2bar-2M",M20x1.5 внутр.,"0-1,2 бар",100,SS316,SPDTx2
,"G69-S-20M-100D-1,2bar-MA",M20x1.5 внутр.,"0-1,2 бар",100,SS316,4-20 мА
,G69-A-20M-100D-2bar-1M,M20x1.5 внутр.,0-2 бар,100,Алюминий,SPDTx1
,G69-A-20M-100D-2bar-2M,M20x1.5 внутр.,0-2 бар,100,Алюминий,SPDTx2
,G69-A-20M-100D-2bar-MA,M20x1.5 внутр.,0-2 бар,100,Алюминий,4-20 мА
,G69-S-20M-100D-2bar-1M,M20x1.5 внутр.,0-2 бар,100,SS316,SPDTx1
,G69-S-20M-100D-2bar-2M,M20x1.5 внутр.,0-2 бар,100,SS316,SPDTx2
,G69-S-20M-100D-2bar-MA,M20x1.5 внутр.,0-2 бар,100,SS316,4-20 мА
,"G69-A-20M-100D-2,5bar-1M",M20x1.5 внутр.,"0-2,5 бар",100,Алюминий,SPDTx1
,"G69-A-20M-100D-2,5bar-2M",M20x1.5 внутр.,"0-2,5 бар",100,Алюминий,SPDTx2
,"G69-A-20M-100D-2,5bar-MA",M20x1.5 внутр.,"0-2,5 бар",100,Алюминий,4-20 мА
,"G69-S-20M-100D-2,5bar-1M",M20x1.5 внутр.,"0-2,5 бар",100,SS316,SPDTx1
,"G69-S-20M-100D-2,5bar-2M",M20x1.5 внутр.,"0-2,5 бар",100,SS316,SPDTx2
,"G69-S-20M-100D-2,5bar-MA",M20x1.5 внутр.,"0-2,5 бар",100,SS316,4-20 мА
,G69-A-20M-100D-4bar-1M,M20x1.5 внутр.,0-4 бар,100,Алюминий,SPDTx1
,G69-A-20M-100D-4bar-2M,M20x1.5 внутр.,0-4 бар,100,Алюминий,SPDTx2
,G69-A-20M-100D-4bar-MA,M20x1.5 внутр.,0-4 бар,100,Алюминий,4-20 мА
,G69-S-20M-100D-4bar-1M,M20x1.5 внутр.,0-4 бар,100,SS316,SPDTx1
,G69-S-20M-100D-4bar-2M,M20x1.5 внутр.,0-4 бар,100,SS316,SPDTx2
,G69-S-20M-100D-4bar-MA,M20x1.5 внутр.,0-4 бар,100,SS316,4-20 мА
