"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G10-C-4G-63A-1,6bar","от 0 до 1.6бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-2,5bar","от 0 до 2.5бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-4bar","от 0 до 4бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-6bar","от 0 до 6бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-10bar","от 0 до 10бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-16bar","от 0 до 16бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-25bar","от 0 до 25бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-40bar","от 0 до 40бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-60bar","от 0 до 60бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-100bar","от 0 до 100бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-160bar","от 0 до 160бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-250bar","от 0 до 250бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-400bar","от 0 до 400бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-0,6bar","от 0 до 0.6бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-1bar","от 0 до 1бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-1,6bar","от 0 до 1.6бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-2,5bar","от 0 до 2.5бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-4bar","от 0 до 4бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-6bar","от 0 до 6бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-10bar","от 0 до 10бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-16bar","от 0 до 16бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-25bar","от 0 до 25бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-40bar","от 0 до 40бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-60bar","от 0 до 60бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-100bar","от 0 до 100бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-160bar","от 0 до 160бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-250bar","от 0 до 250бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-400bar","от 0 до 400бар","G 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-0,6bar","от 0 до 0.6бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-1bar","от 0 до 1бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-1,6bar","от 0 до 1.6бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-2,5bar","от 0 до 2.5бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-4bar","от 0 до 4бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-6bar","от 0 до 6бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-10bar","от 0 до 10бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-16bar","от 0 до 16бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-25bar","от 0 до 25бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-40bar","от 0 до 40бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-60bar","от 0 до 60бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-100bar","от 0 до 100бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-160bar","от 0 до 160бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-250bar","от 0 до 250бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-400bar","от 0 до 400бар","G 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-0,6bar","от 0 до 0.6бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-1bar","от 0 до 1бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-1,6bar","от 0 до 1.6бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-2,5bar","от 0 до 2.5бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-4bar","от 0 до 4бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-6bar","от 0 до 6бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-10bar","от 0 до 10бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-16bar","от 0 до 16бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-25bar","от 0 до 25бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-40bar","от 0 до 40бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-60bar","от 0 до 60бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-100bar","от 0 до 100бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-160bar","от 0 до 160бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-250bar","от 0 до 250бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-400bar","от 0 до 400бар","G 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40B-0,6bar","от 0 до 0.6бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-1bar","от 0 до 1бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-1,6bar","от 0 до 1.6бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-2,5bar","от 0 до 2.5бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-4bar","от 0 до 4бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-6bar","от 0 до 6бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-10bar","от 0 до 10бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-16bar","от 0 до 16бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-25bar","от 0 до 25бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-40bar","от 0 до 40бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-60bar","от 0 до 60бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-100bar","от 0 до 100бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-160bar","от 0 до 160бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-250bar","от 0 до 250бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-400bar","от 0 до 400бар","G 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-0,6bar","от 0 до 0.6бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-1bar","от 0 до 1бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-1,6bar","от 0 до 1.6бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-2,5bar","от 0 до 2.5бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-4bar","от 0 до 4бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-6bar","от 0 до 6бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-10bar","от 0 до 10бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-16bar","от 0 до 16бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-25bar","от 0 до 25бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-40bar","от 0 до 40бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-60bar","от 0 до 60бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-100bar","от 0 до 100бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-160bar","от 0 до 160бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-250bar","от 0 до 250бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-400bar","от 0 до 400бар","G 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-0,6bar","от 0 до 0.6бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-1bar","от 0 до 1бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-1,6bar","от 0 до 1.6бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-2,5bar","от 0 до 2.5бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-4bar","от 0 до 4бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-6bar","от 0 до 6бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-10bar","от 0 до 10бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-16bar","от 0 до 16бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-25bar","от 0 до 25бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-40bar","от 0 до 40бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-60bar","от 0 до 60бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-100bar","от 0 до 100бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-160bar","от 0 до 160бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-250bar","от 0 до 250бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-400bar","от 0 до 400бар","G 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-0,6bar","от 0 до 0.6бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-1bar","от 0 до 1бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-1,6bar","от 0 до 1.6бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-2,5bar","от 0 до 2.5бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-4bar","от 0 до 4бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-6bar","от 0 до 6бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-10bar","от 0 до 10бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-16bar","от 0 до 16бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-25bar","от 0 до 25бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-40bar","от 0 до 40бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-60bar","от 0 до 60бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-100bar","от 0 до 100бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-160bar","от 0 до 160бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-250bar","от 0 до 250бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-400bar","от 0 до 400бар","G 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-0,6bar","от 0 до 0.6бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-1bar","от 0 до 1бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-1,6bar","от 0 до 1.6бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-2,5bar","от 0 до 2.5бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-4bar","от 0 до 4бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-6bar","от 0 до 6бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-10bar","от 0 до 10бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-16bar","от 0 до 16бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-25bar","от 0 до 25бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-40bar","от 0 до 40бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-60bar","от 0 до 60бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-100bar","от 0 до 100бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-160bar","от 0 до 160бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-250bar","от 0 до 250бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150B-400bar","от 0 до 400бар","G 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-0,6bar","от 0 до 0.6бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-1bar","от 0 до 1бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-1,6bar","от 0 до 1.6бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-2,5bar","от 0 до 2.5бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-4bar","от 0 до 4бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-6bar","от 0 до 6бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-10bar","от 0 до 10бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-16bar","от 0 до 16бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-25bar","от 0 до 25бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-40bar","от 0 до 40бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-60bar","от 0 до 60бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-100bar","от 0 до 100бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-160bar","от 0 до 160бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-250bar","от 0 до 250бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-250B-400bar","от 0 до 400бар","G 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8G-150F-0,6bar","от 0 до 0.6бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-1bar","от 0 до 1бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-1,6bar","от 0 до 1.6бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-2,5bar","от 0 до 2.5бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-4bar","от 0 до 4бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-6bar","от 0 до 6бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-10bar","от 0 до 10бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-16bar","от 0 до 16бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-25bar","от 0 до 25бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-40bar","от 0 до 40бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-60bar","от 0 до 60бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-100bar","от 0 до 100бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-160bar","от 0 до 160бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-250bar","от 0 до 250бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-150F-400bar","от 0 до 400бар","G 1/2","150мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-0,6bar","от 0 до 0.6бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-1bar","от 0 до 1бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-1,6bar","от 0 до 1.6бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-2,5bar","от 0 до 2.5бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-4bar","от 0 до 4бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-6bar","от 0 до 6бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-10bar","от 0 до 10бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-16bar","от 0 до 16бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-25bar","от 0 до 25бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-40bar","от 0 до 40бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-60bar","от 0 до 60бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-100bar","от 0 до 100бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-160bar","от 0 до 160бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-250bar","от 0 до 250бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-8G-250F-400bar","от 0 до 400бар","G 1/2","250мм","нет","<img src=assets/inventory/F.png>"
,"G10-C-10M-40A-0,6bar","от 0 до 0.6бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-1bar","от 0 до 1бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-1,6bar","от 0 до 1.6бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-2,5bar","от 0 до 2.5бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-4bar","от 0 до 4бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-6bar","от 0 до 6бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-10bar","от 0 до 10бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-16bar","от 0 до 16бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-25bar","от 0 до 25бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-40bar","от 0 до 40бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-60bar","от 0 до 60бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-100bar","от 0 до 100бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-160bar","от 0 до 160бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-250bar","от 0 до 250бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-10M-40A-400bar","от 0 до 400бар","M10x1","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-0,6bar","от 0 до 0.6бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-1bar","от 0 до 1бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-1,6bar","от 0 до 1.6бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-2,5bar","от 0 до 2.5бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-4bar","от 0 до 4бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-6bar","от 0 до 6бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-10bar","от 0 до 10бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-16bar","от 0 до 16бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-25bar","от 0 до 25бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-40bar","от 0 до 40бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-60bar","от 0 до 60бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-100bar","от 0 до 100бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-160bar","от 0 до 160бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-12M-50A-250bar","от 0 до 250бар","M12x1.5","50мм","нет","<img src=assets/inventory/A.png>"
