#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Конфигурация,Параметр:Заказной код:Поверка
,G62-A-12M-114D-30mbar-VE,от 0 до 30мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-40mbar-VE,от 0 до 40мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-50mbar-VE,от 0 до 50мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-80mbar-VE,от 0 до 80мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-100mbar-VE,от 0 до 100мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-150mbar-VE,от 0 до 150мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-200mbar-VE,от 0 до 200мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-250mbar-VE,от 0 до 250мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-300mbar-VE,от 0 до 300мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-2G-114D-1kPa,от 0 до 1кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-1.5kPa,от 0 до 1.5кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-2kPa,от 0 до 2кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-3kPa,от 0 до 3кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-4kPa,от 0 до 4кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-5kPa,от 0 до 5кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-8kPa,от 0 до 8кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-10kPa,от 0 до 10кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-15kPa,от 0 до 15кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-20kPa,от 0 до 20кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-25kPa,от 0 до 25кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-30kPa,от 0 до 30кПа,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-1kPa,от 0 до 1кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-1.5kPa,от 0 до 1.5кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-2kPa,от 0 до 2кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-3kPa,от 0 до 3кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-4kPa,от 0 до 4кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-5kPa,от 0 до 5кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-8kPa,от 0 до 8кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-10kPa,от 0 до 10кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-15kPa,от 0 до 15кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-20kPa,от 0 до 20кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-25kPa,от 0 до 25кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-30kPa,от 0 до 30кПа,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-1kPa,от 0 до 1кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-1.5kPa,от 0 до 1.5кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-2kPa,от 0 до 2кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-3kPa,от 0 до 3кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-4kPa,от 0 до 4кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-5kPa,от 0 до 5кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-8kPa,от 0 до 8кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-10kPa,от 0 до 10кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-15kPa,от 0 до 15кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-20kPa,от 0 до 20кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-25kPa,от 0 до 25кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-30kPa,от 0 до 30кПа,M10x1,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-1kPa,от 0 до 1кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-1.5kPa,от 0 до 1.5кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-2kPa,от 0 до 2кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-3kPa,от 0 до 3кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-4kPa,от 0 до 4кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-5kPa,от 0 до 5кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-8kPa,от 0 до 8кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-10kPa,от 0 до 10кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-15kPa,от 0 до 15кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-20kPa,от 0 до 20кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-25kPa,от 0 до 25кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-30kPa,от 0 до 30кПа,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-1kPa,от 0 до 1кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-1.5kPa,от 0 до 1.5кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-2kPa,от 0 до 2кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-3kPa,от 0 до 3кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-4kPa,от 0 до 4кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-5kPa,от 0 до 5кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-8kPa,от 0 до 8кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-10kPa,от 0 до 10кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-15kPa,от 0 до 15кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-20kPa,от 0 до 20кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-25kPa,от 0 до 25кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-30kPa,от 0 до 30кПа,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-1kPa,от 0 до 1кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-1.5kPa,от 0 до 1.5кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-2kPa,от 0 до 2кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-3kPa,от 0 до 3кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-4kPa,от 0 до 4кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-5kPa,от 0 до 5кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-8kPa,от 0 до 8кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-10kPa,от 0 до 10кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-15kPa,от 0 до 15кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-20kPa,от 0 до 20кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-25kPa,от 0 до 25кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-30kPa,от 0 до 30кПа,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-1kPa-VE,от 0 до 1кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-1.5kPa-VE,от 0 до 1.5кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-2kPa-VE,от 0 до 2кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-3kPa-VE,от 0 до 3кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-4kPa-VE,от 0 до 4кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-5kPa-VE,от 0 до 5кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-8kPa-VE,от 0 до 8кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-10kPa-VE,от 0 до 10кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-15kPa-VE,от 0 до 15кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-20kPa-VE,от 0 до 20кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-25kPa-VE,от 0 до 25кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-30kPa-VE,от 0 до 30кПа,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-1kPa-VE,от 0 до 1кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-1.5kPa-VE,от 0 до 1.5кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-2kPa-VE,от 0 до 2кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-3kPa-VE,от 0 до 3кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-4kPa-VE,от 0 до 4кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-5kPa-VE,от 0 до 5кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-8kPa-VE,от 0 до 8кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-10kPa-VE,от 0 до 10кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-15kPa-VE,от 0 до 15кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-20kPa-VE,от 0 до 20кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-25kPa-VE,от 0 до 25кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-30kPa-VE,от 0 до 30кПа,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-10M-114D-1kPa-VE,от 0 до 1кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-1.5kPa-VE,от 0 до 1.5кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-2kPa-VE,от 0 до 2кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-3kPa-VE,от 0 до 3кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-4kPa-VE,от 0 до 4кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-5kPa-VE,от 0 до 5кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-8kPa-VE,от 0 до 8кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-10kPa-VE,от 0 до 10кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-15kPa-VE,от 0 до 15кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-20kPa-VE,от 0 до 20кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-25kPa-VE,от 0 до 25кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-30kPa-VE,от 0 до 30кПа,M10x1,114мм,D-штуцера сзади,да
,G62-A-4N-114D-1kPa-VE,от 0 до 1кПа,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-1.5kPa-VE,от 0 до 1.5кПа,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-2kPa-VE,от 0 до 2кПа,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-3kPa-VE,от 0 до 3кПа,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-4kPa-VE,от 0 до 4кПа,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-5kPa-VE,от 0 до 5кПа,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-8kPa-VE,от 0 до 8кПа,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-10kPa-VE,от 0 до 10кПа,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-15kPa-VE,от 0 до 15кПа,NPT 1/4,114мм,D-штуцера сзади,да
