#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Длина (мм),Параметр:Заказной код:Шкала,"Параметр:Заказной код:Материал деталей, контактирующих со средой"
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,ANSI 150# 3/4,600,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,Гост Py10 Dy20,600,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,Гост Py10 Dy20,600,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,Гост Py16 Dy20,600,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,Гост Py16 Dy20,600,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,NPT 1 наруж.,600,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,NPT 1 наруж.,600,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,ANSI 150# 1,600,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,ANSI 150# 1,600,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,Гост Py10 Dy25,600,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,Гост Py10 Dy25,600,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,Гост Py16 Dy25,600,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,Гост Py16 Dy25,600,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,NPT 1/2 наруж.,700,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,NPT 1/2 наруж.,700,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,ANSI 150# 1/2,700,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,ANSI 150# 1/2,700,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,Гост Py10 Dy15,700,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,Гост Py10 Dy15,700,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,Гост Py16 Dy15,700,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,Гост Py16 Dy15,700,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,NPT 3/4 наруж.,700,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,NPT 3/4 наруж.,700,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,ANSI 150# 3/4,700,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,ANSI 150# 3/4,700,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,Гост Py10 Dy20,700,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,Гост Py10 Dy20,700,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,Гост Py16 Dy20,700,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,Гост Py16 Dy20,700,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,NPT 1 наруж.,700,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,NPT 1 наруж.,700,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,ANSI 150# 1,700,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,ANSI 150# 1,700,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,Гост Py10 Dy25,700,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,Гост Py10 Dy25,700,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-700mm,Гост Py16 Dy25,700,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-700mm,Гост Py16 Dy25,700,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,NPT 1/2 наруж.,800,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,NPT 1/2 наруж.,800,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,ANSI 150# 1/2,800,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,ANSI 150# 1/2,800,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,Гост Py10 Dy15,800,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,Гост Py10 Dy15,800,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,Гост Py16 Dy15,800,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,Гост Py16 Dy15,800,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,NPT 3/4 наруж.,800,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,NPT 3/4 наруж.,800,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,ANSI 150# 3/4,800,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,ANSI 150# 3/4,800,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,Гост Py10 Dy20,800,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,Гост Py10 Dy20,800,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,Гост Py16 Dy20,800,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,Гост Py16 Dy20,800,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,NPT 1 наруж.,800,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,NPT 1 наруж.,800,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,ANSI 150# 1,800,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,ANSI 150# 1,800,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,Гост Py10 Dy25,800,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,Гост Py10 Dy25,800,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-800mm,Гост Py16 Dy25,800,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-800mm,Гост Py16 Dy25,800,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,NPT 1/2 наруж.,900,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,NPT 1/2 наруж.,900,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,ANSI 150# 1/2,900,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,ANSI 150# 1/2,900,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,Гост Py10 Dy15,900,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,Гост Py10 Dy15,900,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,Гост Py16 Dy15,900,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,Гост Py16 Dy15,900,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,NPT 3/4 наруж.,900,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,NPT 3/4 наруж.,900,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,ANSI 150# 3/4,900,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,ANSI 150# 3/4,900,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,Гост Py10 Dy20,900,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,Гост Py10 Dy20,900,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,Гост Py16 Dy20,900,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,Гост Py16 Dy20,900,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,NPT 1 наруж.,900,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,NPT 1 наруж.,900,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,ANSI 150# 1,900,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,ANSI 150# 1,900,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,Гост Py10 Dy25,900,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,Гост Py10 Dy25,900,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-900mm,Гост Py16 Dy25,900,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-900mm,Гост Py16 Dy25,900,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,NPT 1/2 наруж.,1000,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,NPT 1/2 наруж.,1000,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,ANSI 150# 1/2,1000,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,ANSI 150# 1/2,1000,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,Гост Py10 Dy15,1000,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,Гост Py10 Dy15,1000,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,Гост Py16 Dy15,1000,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,Гост Py16 Dy15,1000,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,NPT 3/4 наруж.,1000,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,NPT 3/4 наруж.,1000,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,ANSI 150# 3/4,1000,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,ANSI 150# 3/4,1000,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,Гост Py10 Dy20,1000,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,Гост Py10 Dy20,1000,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,Гост Py16 Dy20,1000,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,Гост Py16 Dy20,1000,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,NPT 1 наруж.,1000,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,NPT 1 наруж.,1000,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,ANSI 150# 1,1000,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,ANSI 150# 1,1000,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,Гост Py10 Dy25,1000,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,Гост Py10 Dy25,1000,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1000mm,Гост Py16 Dy25,1000,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1000mm,Гост Py16 Dy25,1000,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,NPT 1/2 наруж.,1100,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,NPT 1/2 наруж.,1100,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,ANSI 150# 1/2,1100,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,ANSI 150# 1/2,1100,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,Гост Py10 Dy15,1100,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,Гост Py10 Dy15,1100,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,Гост Py16 Dy15,1100,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,Гост Py16 Dy15,1100,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,NPT 3/4 наруж.,1100,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,NPT 3/4 наруж.,1100,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,ANSI 150# 3/4,1100,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,ANSI 150# 3/4,1100,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,Гост Py10 Dy20,1100,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,Гост Py10 Dy20,1100,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,Гост Py16 Dy20,1100,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,Гост Py16 Dy20,1100,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,NPT 1 наруж.,1100,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,NPT 1 наруж.,1100,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,ANSI 150# 1,1100,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,ANSI 150# 1,1100,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,Гост Py10 Dy25,1100,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,Гост Py10 Dy25,1100,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1100mm,Гост Py16 Dy25,1100,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1100mm,Гост Py16 Dy25,1100,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,NPT 1/2 наруж.,1200,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,NPT 1/2 наруж.,1200,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,ANSI 150# 1/2,1200,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,ANSI 150# 1/2,1200,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,Гост Py10 Dy15,1200,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,Гост Py10 Dy15,1200,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,Гост Py16 Dy15,1200,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,Гост Py16 Dy15,1200,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,NPT 3/4 наруж.,1200,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,NPT 3/4 наруж.,1200,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,ANSI 150# 3/4,1200,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,ANSI 150# 3/4,1200,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,Гост Py10 Dy20,1200,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,Гост Py10 Dy20,1200,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,Гост Py16 Dy20,1200,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,Гост Py16 Dy20,1200,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,NPT 1 наруж.,1200,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,NPT 1 наруж.,1200,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,ANSI 150# 1,1200,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,ANSI 150# 1,1200,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,Гост Py10 Dy25,1200,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,Гост Py10 Dy25,1200,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1200mm,Гост Py16 Dy25,1200,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1200mm,Гост Py16 Dy25,1200,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,NPT 1/2 наруж.,1300,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,NPT 1/2 наруж.,1300,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,ANSI 150# 1/2,1300,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,ANSI 150# 1/2,1300,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,Гост Py10 Dy15,1300,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,Гост Py10 Dy15,1300,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,Гост Py16 Dy15,1300,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,Гост Py16 Dy15,1300,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,NPT 3/4 наруж.,1300,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,NPT 3/4 наруж.,1300,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,ANSI 150# 3/4,1300,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,ANSI 150# 3/4,1300,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,Гост Py10 Dy20,1300,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,Гост Py10 Dy20,1300,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,Гост Py16 Dy20,1300,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,Гост Py16 Dy20,1300,Без шкалы,SS316
